Table,18.2 (continued),Vade ve turlerine gore mevduat bankalari mevduati / Deposits in deposit money banks by due date and types,Source: T.C. Merkez Bankasi
Unit,Million TL (Milyon TL),,,,,,,,,
Note_1,"2005-2008 data in YTL; from 1.1.2009 YTL renamed TL",,,,,,,,,,
Year,Saving_Deposits_Sight,Saving_Deposits_Time,Certificates_of_Deposits_Time,Official_Deposits_Sight,Official_Deposits_Time,Commercial_Corp_Deposits_Sight,Commercial_Corp_Deposits_Time,Other_Corp_Deposits_Sight,Other_Corp_Deposits_Time
1986,877600,4848100,787300,430100,258000,2718000,618800,330100,663900
1987,1490900,5400500,1367300,693200,326800,4444900,874800,464400,1376300
1988,1829900,10779300,1251000,1370400,110500,5259100,1242800,834100,2885800
1989,3372700,19440200,1978700,1630400,61000,7907200,1713100,2150400,5673900
1990,5261100,27257600,2382100,3307600,203800,11892600,2631600,3524400,9344800
1991,7293600,50011000,3396500,2993300,143000,17530300,4108000,5685200,15019900
1992,12164200,78585800,3708900,6272100,321000,30377100,5845600,8131100,26910500
1993,19421600,103674600,3063700,11988000,551700,47823400,9022500,12740600,42822200
1994,34538200,291688800,4633400,17340400,1723800,79828300,28631300,21850600,83285600
1995,54611700,629673000,6918900,33039500,3764200,120677400,81346300,30561000,157311600
1996,133776100,1598106600,11208200,158798600,6939200,376397300,97992400,87327300,329872900
1997,236498500,2955006000,159600,184138500,37228600,572771600,377451200,265733300,773796100
1998,326003600,6099221900,15700,291929400,72601800,877452800,1208413500,406715800,1631387800
1999,633117000,12707639000,14000,618585000,178376000,1421368000,2219276000,959208000,2955791000
2000,905778000,16982273000,0,947514000,375427000,2077426000,3735951000,1871527000,3764934000
2001,1586698000,25778843000,0,817189000,644643000,3540384000,4577311000,1995838000,5576666000
2002,2307305000,32297042000,0,1398351000,1188988000,4756252000,8153484000,1918756000,5983257000
2003,3835720000,41466709000,0,2081074000,2350670000,7195918000,9540560000,3084645000,9071517000
2004,5235801000,56849705000,0,3054537000,3340493000,8254006000,13125809000,3274530000,10452129000
2005,8379343000,79016206000,0,5205094000,5116972000,12082387000,19473923000,3382901000,13503452000
2006,9243701000,100907222000,0,5387950000,4614230000,9609607000,21303797000,3895954000,16289212000
2007,10864637000,126597988000,0,6907099000,7577893000,11697455000,27400228000,2743676000,18669349000
2008,12367896000,169291518000,0,7387414000,9924900000,12278320000,39892068000,3135037000,16737414000
2009,16827184000,181922545000,0,9846516000,11218053000,16825064000,50565018000,3036683000,17356495000
2010,23330452000,216538738000,0,11645397000,14190440000,22446641000,70275900000,3385284000,22458288000
2011,25458819000,242663262000,0,11341273000,20583768000,25498488000,69142033000,4703513000,22876509000
