Table_Reference,Turkish_Title,English_Title
1.23 (continued),"Ekonomik faaliyet ve cinsiyete göre istihdam edilen nüfus (devam)","Employed population by economic activity and sex (continued)"
Units: Persons (absolute numbers)

Census_Year,Sex,Wholesale_Retail_Trade_Restaurants_Hotels,Transport_Communication_Storage,Finance_Insurance_RealEstate_Business_Services,Community_Social_Personal_Services,Activities_Not_Adequately_Defined
1955,Total,305940,189766,35057,496281,726684
1960,Total,353539,246839,50225,676838,660759
1965,Total,331718,286618,60356,835813,868040
1970,Total,658980,357111,145797,1533905,288015
1975,Total,791210,481403,219992,1825454,223186
1980,Total,1062324,529111,293811,2384757,170696
1985,Total,1354903,614394,388423,2799663,104305
1990,Total,1816255,773890,540531,3282498,138502
2000,Total,2496913,852614,807479,4525629,31472
1955,Male,296476,185310,29549,437062,699720
1960,Male,347199,241700,41113,601504,639270
1965,Male,324641,280711,47688,731845,777466
1970,Male,633288,341616,114981,1358320,240098
1975,Male,746184,463598,167226,1554675,163155
1980,Male,1013239,503316,217848,2029082,130305
1985,Male,1274737,583095,289845,2362147,91500
1990,Male,1681069,735360,386948,2709342,118694
2000,Male,2153896,789569,543783,3563606,26745
1955,Female,9464,4456,5508,59219,26964
1960,Female,6340,5139,9112,75334,21489
1965,Female,7077,5907,12668,103968,90574
1970,Female,25692,15495,30816,175585,47917
1975,Female,45026,17805,52766,270779,60031
1980,Female,49085,25795,75963,355675,40391
1985,Female,80166,31299,98578,437516,12805
1990,Female,135186,38530,153583,573156,19808
2000,Female,343017,63045,263696,962023,4727

Note: Unknown ages included in 15+ population. Does not cover unemployed job-seekers in 1980, 1985, 1990 and 2000.
