Table,19.6 Konsolide bütçe gelir ve harcamalarına ait yüzdeler (Eski seri) - Gelirler / Percentage Breakdown of Consolidated Budget Revenues (Old Series)
Source,Hazine Müsteşarlığı / Undersecretariat of Treasury
Unit,"%, Revenues = 100"
,,,,,,,
Year,Revenues_pct,Direct_Taxes_pct,Indirect_Taxes_pct,Nontax_Revenues_pct,Annexed_Budget_pct,Grants_pct
1980,100,51.6,30.6,16.7,1.1,0.0
1981,100,55.1,30.4,10.3,0.9,3.4
1982,100,57.2,33.1,8.4,1.3,0.0
1983,100,50.0,34.1,13.8,1.3,0.8
1984,100,49.3,35.3,11.2,2.2,2.0
1985,100,39.6,43.4,10.5,4.4,2.1
1986,100,43.4,40.1,8.2,7.3,1.0
1987,100,43.0,43.6,7.9,5.3,0.1
1988,100,40.2,40.7,14.4,4.4,0.2
1989,100,43.5,38.0,14.5,3.7,0.4
1990,100,42.8,39.4,13.7,1.2,3.0
1991,100,42.5,38.8,9.0,1.0,8.7
1992,100,41.0,40.3,17.0,0.8,1.0
1993,100,36.5,38.7,23.4,1.0,0.5
1994,100,38.1,40.8,20.0,0.7,0.5
1995,100,33.0,44.8,20.8,0.9,0.5
1996,100,32.7,50.4,15.9,1.0,0.1
1997,100,33.6,48.9,16.5,0.9,0.0
1998,100,36.2,41.5,20.8,1.5,0.0
1999,100,35.5,42.7,20.3,1.5,0.0
2000,100,32.1,46.4,20.1,1.4,0.0
2001,100,31.0,45.7,22.0,1.3,0.0
2002,100,26.3,51.8,20.0,1.4,0.5
2003,100,27.7,56.4,14.0,1.7,0.1
