Table,11.42 - Employment and basic indicators in financial intermediary institutions by economic activity
Indicator,Personnel cost (Personel maliyeti) - Turkish Lira
Source,TurkStat Financial Intermediary Institution Statistics
NACE_Code,Description_EN,2002,2003,2004,2005,2006,2007,2008,2009,2010
K,Financial and insurance activities,3831479467,4965423458,5932513538,7007904877,8181984097,9771497668,12120315902,13530527611,14749749261
64,Financial service activities (except insurance and pension funding),3336017273,4151395503,4859688550,5814803824,6858140214,8210655566,10269296528,11249313373,12136711881
64.11+64.19,"Monetary intermediation (central bank, commercial banks, special finance houses)",2999428906,3721264391,4403914574,5285348899,6251543318,7461597312,9378042986,10246710593,10978227313
64.91,Financial leasing companies,33693087,40262926,45012104,56107290,72640423,96075746,112366305,110260727,116913985
64.92,Other Credit Granting,,,,,,,,375300601,426033048
64.99,"Other Financial Service Activities n.e.c. (Banks of Development and Investment, Factoring, Asset Management etc.)",,,,,,,,517041452,615537535
64.92+64.99 (2002-2008),"Other credit granting and other financial service activities n.e.c. (agricultural credit cooperatives, banks of development and investment, factoring)",302895280,389868186,410761872,473347635,533956473,652982508,778887237,,
65,Insurance reinsurance and pension funding (except compulsory social security),229952082,297909255,392361514,478775960,552791919,695862008,841462663,913900414,1013079519
65.11,Life insurance,82904094,114031856,165575483,196924135,232749518,283897891,327843944,339341911,374710999
65.12+65.20,Non-life insurance and reinsurance,147047988,183877399,226786031,281851825,320042401,411964117,513618719,574558503,638368520
66,Activities auxiliary to financial services and insurance activities,265510112,516118700,680463474,714325093,771051964,864980094,1009556711,1367313824,1599957861
66.11,Administration of Financial Markets (Stock Markets),,,,,,,,82179317,104661638
66.12,"Security and commodity contracts brokerage (mutual funds companies and foreign exchange offices)",197537090,230856458,238078787,287201876,353684581,405963146,444257576,407798065,478776064
66.19,"Other activities auxiliary to financial services (except insurance and pension funding) (credit surety cooperatives)",,168209171,175163691,133364551,78564766,88721104,76280682,70741391,98869220
66.21,Risk and Damage Evaluation (Insurance Experts),,,,,,,,34567323,46304958
66.22,Activities of insurance agents and brokers (insurance agents - legal entity),67973022,117053071,267220996,293758666,338802617,370295844,489018453,713644812,802138208
66.30,Fund management activities (portfolio management companies),,,,,,,,58382916,69207773
