Table 11.38 - Quarterly Industrial Employment Index - Manufacturing Industry Part 1
Source: TurkStat Statistical Indicators 1923-2011 chunk_008 pages 335-336
Base year: 2005=100
Unit: Index (2005=100)
Year,Manufacturing_Industry_Total,Food_Products,Beverages,Tobacco_Products,Textiles,Wearing_Apparel
2005,100.0,100.0,100.0,100.0,100.0,100.0
2006,102.5,104.8,100.2,93.8,98.0,96.3
2007,106.3,111.0,96.5,86.5,102.2,96.2
2008,106.0,116.1,96.6,76.9,94.0,94.2
2009,95.5,118.3,95.7,84.6,80.6,81.0
2010,100.1,124.1,116.2,68.8,85.7,82.6
2011,105.9,128.8,121.8,71.3,89.2,84.5
