Table,18.1 (continued),Para Stoku / Money Stock (M1 M2),Source: T.C. Merkez Bankasi
Unit,Million TL (Milyon TL),,,,,,,,
Note,"2005-2008 data in YTL; from 1.1.2009 YTL renamed TL",,,,,,,,
Year,Currency_Outside_Banks_Col1,Demand_Deposits_Deposit_Banks_Col2,Demand_Deposits_Central_Bank_Col3,M1_Narrow_Col4,Time_Deposits_Deposit_Banks_Col5,M2_Broad,M1_GNP_ratio,M2_GNP_ratio,M1_GDP_ratio,M2_GDP_ratio
1986,1302000,3926000,28000,5256000,6918000,12173000,0.10,0.24,,
1987,2212000,6400000,17000,8629000,9019000,17648000,0.12,0.24,,
1988,3426000,7873000,13000,11312000,15883000,27194000,0.09,0.21,,
1989,6840000,12693000,25000,19558000,27582000,47139000,0.08,0.20,,
1990,11378000,19993000,28000,31399000,40172000,71570000,0.08,0.18,,
1991,17449000,29325000,19000,46793000,70325000,117118000,0.07,0.18,,
1992,30389000,47768000,184000,78341000,112395000,190736000,0.07,0.17,,
1993,51645000,77135000,307000,129087000,153355000,282442000,0.06,0.14,,
1994,102328000,128341000,177000,230846000,399501000,630348000,0.06,0.16,,
1995,189465000,198672000,47000,388184000,868447000,1256632000,0.05,0.16,,
1996,319024000,577748000,83000,896855000,2028039000,2924893000,0.06,0.20,,
1997,610871000,969852000,487000,1581210000,4077590000,5658800000,0.05,0.19,,
1998,1057864000,1504531000,84000,2562479000,8860720000,11423198000,0.05,0.21,0.04,0.16
1999,1887153000,2793691000,351000,4681195000,17720636000,22401831000,0.06,0.29,0.04,0.21
2000,3196942000,4351012000,1289000,7549243000,24362852000,31912095000,0.06,0.25,0.05,0.19
2001,4462913000,6902190000,3679000,11368782000,35872293000,47241075000,0.06,0.27,0.05,0.20
2002,6899360000,8904318000,23951000,15827629000,46052129000,61879759000,0.06,0.22,0.05,0.18
2003,9775116000,13205301000,33920000,23014337000,59698630000,82712966000,0.06,0.23,0.05,0.18
2004,12443528000,16210716000,139148000,28793392000,79745854000,108539246000,0.07,0.25,0.05,0.19
2005,18193450000,43636054000,161736000,61991240000,176810137000,238801378000,0.13,0.49,0.10,0.37
2006,24439416000,47140599000,190946000,71770961000,225963781000,297734743000,0.12,0.52,0.09,0.39
2007,25008370000,51159712000,182639000,76350721000,268026031000,344376752000,,,0.09,0.41
2008,29271922000,55995144000,209163000,85476229000,350904096000,436380326000,,,0.09,0.46
2009,34233281000,72972946000,140331000,107346558000,385714417000,493060975000,,,0.11,0.52
2010,44346900000,90667824000,175843000,135190567000,452070610000,587261177000,,,0.12,0.53
2011,49505735000,111616740000,90375000,161212850000,513196729000,674409579000,,,0.12,0.52
