Table_20.7,GDP_sectoral_shares_at_1998_constant_prices,Unit:Billion_TL_and_percent
Note: ESA-95 series. 2005-2008 data in Thousand YTL.
Year,GDP_total_BillionTL,GDP_pct,Agriculture_BillionTL,Agriculture_share_pct,Industry_BillionTL,Industry_share_pct,Services_BillionTL,Services_share_pct
1998,70203147,100.0,8757483,12.5,22916660,32.6,36320439,51.7
1999,67840570,100.0,8259850,12.2,21863769,32.2,35850745,52.8
2000,72436399,100.0,8844649,12.2,23231499,32.1,38216680,52.8
2001,68309352,100.0,8147374,11.9,21116413,30.9,37887332,55.5
2002,72519831,100.0,8860621,12.2,22078856,30.4,39691858,54.7
2003,76338193,100.0,8683621,11.4,23795479,31.2,41304948,54.1
2004,83485591,100.0,8929288,10.7,26604746,31.9,45326667,54.3
2005,90499731,100.0,9570752,10.6,28929789,32.0,49232512,54.4
2006,96738320,100.0,9700944,10.0,31870922,32.9,52741071,54.5
2007,101254625,100.0,9046723,8.9,33704158,33.3,56113915,55.4
2008,101921730,100.0,9433550,9.3,33252462,32.6,57424893,56.3
2009,97003114,100.0,9768638,10.1,30399829,31.3,56384545,58.1
2010,105885644,100.0,9999429,9.4,34582263,32.7,60719137,57.3
2011,114889302,100.0,10562830,9.2,37947481,33.0,65983328,57.4
Source: TurkStat National Accounts Chapter.
