Table,19.13 Türkiye brüt dış borç stoku - Borçlu dağılımı (1989-1994) / Gross External Debt - By Borrower (1989-1994)
Source,Hazine Müsteşarlığı / Undersecretariat of Treasury
Unit,Million USD
,,,,,,,
Borrower_Category,1989,1990,1991,1992,1993,1994
Gross_External_Debt_Total,43911,52381,53623,58595,70512,68705
PublicSector_Total,29446,33268,35280,36476,39640,41741
GeneralGovernment,24726,28069,29477,30776,34071,36723
CentralGovernment,23056,26034,27285,28401,31444,33404
LocalAdministrations,643,939,1051,1441,1843,2480
Funds,1027,1095,1142,934,783,839
PublicFinancialInstitutions,1280,1306,1728,1856,1837,1519
PublicBanks,1280,1306,1728,1856,1837,1519
NonFinancialPublic,3440,3894,4074,3844,3733,3500
SOEs,3403,3827,3858,3655,3569,3364
CBRT,7827,8342,7215,6730,7293,9777
PrivateSector_Total,6638,10770,11128,15390,23579,17186
PrivateFinancial,3971,6312,6384,8294,12885,6341
Banks,3959,6280,6316,8162,12421,5746
NonBankFinancial,12,32,68,132,464,595
PrivateNonFinancial,2667,4458,4744,7096,10693,10845
ShortTerm_Total,5745,9500,9117,12660,18473,11187
LongTerm_Total,38166,42881,44506,45935,52039,57518
