year,V_W_ratio,Lp_L_ratio,exploitation_rate,source,e_nipa_calculated,V_star_nipa,S_star_nipa,e_authoritative,methodology,last_updated
1948,0.54,0.57,1.7,Book Table 5.7,1.2928331719287245,1294162.3583853177,1673136.026782049,1.7,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1949,0.535,0.565,1.713,Interpolated from benchmarks,1.2965439287532625,1488866.4391934248,1930380.7424607235,1.713,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1950,0.53,0.5599999999999999,1.726,Interpolated from benchmarks,1.31886866677582,1599685.5953867699,2109775.208448233,1.726,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1951,0.525,0.5549999999999999,1.7389999999999999,Interpolated from benchmarks,1.3587030453486177,1862804.719234086,2530998.44491313,1.7389999999999999,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1952,0.52,0.5499999999999999,1.752,Interpolated from benchmarks,1.3698337928084137,1972743.1746722797,2702330.26519824,1.752,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1953,0.515,0.5449999999999999,1.7650000000000001,Interpolated from benchmarks,1.3969974023835658,2116587.732960018,2956867.5648620655,1.7650000000000001,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1954,0.51,0.54,1.778,Interpolated from benchmarks,1.4172202778549974,2240896.1794330496,3175843.506060309,1.778,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1955,0.505,0.535,1.791,Interpolated from benchmarks,1.4293412010593758,2306077.475004187,3296171.547858457,1.791,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1956,0.5,0.53,1.804,Interpolated from benchmarks,1.457219754998366,2460521.5622058217,3585520.6280457643,1.804,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1957,0.495,0.525,1.8170000000000002,Interpolated from benchmarks,1.4925934006553927,2777262.467978866,4145323.631593164,1.8170000000000002,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1958,0.49,0.52,1.83,Book Table 5.7,1.516656254273976,3040597.9425154887,4611541.886248699,1.83,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1959,0.485,0.518888888888889,1.86,Interpolated from benchmarks,1.5438588382935177,3331707.6904526157,5143686.364515754,1.86,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1960,0.48,0.5177777777777778,1.8900000000000001,Interpolated from benchmarks,1.5718650023298113,3576395.741766148,5621611.300963573,1.8900000000000001,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1961,0.476,0.5166666666666667,1.9200000000000002,Interpolated from benchmarks,1.5894601549039435,3856088.6876403266,6129099.322780138,1.9200000000000002,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1962,0.472,0.5155555555555555,1.9500000000000002,Interpolated from benchmarks,1.6084284468650296,3980040.5117488927,6401610.378772169,1.9500000000000002,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1963,0.46799999999999997,0.5144444444444445,1.98,Interpolated from benchmarks,1.6322082209859365,4158696.325188797,6787858.330557158,1.98,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1964,0.46399999999999997,0.5133333333333333,2.0100000000000002,Interpolated from benchmarks,1.655445386275561,4255835.998569221,7045304.068576862,2.0100000000000002,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1965,0.45999999999999996,0.5122222222222222,2.04,Interpolated from benchmarks,1.6765248319689474,4340021.006382004,7276152.988466292,2.04,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1966,0.456,0.5111111111111111,2.0700000000000003,Interpolated from benchmarks,1.7016193741643897,4616358.339189526,7855284.788050242,2.0700000000000003,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1967,0.452,0.51,2.1,Book Table 5.7,1.722124713280793,4941137.701327868,8509255.347180171,2.1,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1968,0.448,0.509,2.1,Interpolated from benchmarks,1.7448624310198741,5297845.694063826,9244011.91691238,2.1,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1969,0.444,0.508,2.1,Interpolated from benchmarks,1.7793139527616226,5715817.010790864,10170232.958732415,2.1,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1970,0.44,0.507,2.1,Interpolated from benchmarks,1.8000030412132493,5924194.803732602,10663568.663458413,2.1,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1971,0.436,0.506,2.1,Interpolated from benchmarks,1.8302180030568258,6336478.921264104,11597137.797687657,2.1,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1972,0.432,0.505,2.1,Interpolated from benchmarks,1.8466722055741267,6608289.72591722,12203344.963232394,2.1,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1973,0.428,0.504,2.1,Interpolated from benchmarks,1.8937092405958744,6513136.150163724,12333986.112824082,2.1,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1974,0.424,0.503,2.1,Interpolated from benchmarks,1.9065617005375248,6628795.664681647,12638207.934971213,2.1,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1975,0.42000000000000004,0.502,2.1,Interpolated from benchmarks,1.9310217988432148,6696947.360052051,12931951.33796603,2.1,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1976,0.41600000000000004,0.501,2.1,Interpolated from benchmarks,1.9643897145319686,6958998.119812461,13670184.330006907,2.1,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1977,0.41200000000000003,0.5,2.1,Book Table 5.7,2.0015253442775367,7265119.498019926,14541320.804491777,2.1,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1978,0.40800000000000003,0.48833333333333334,2.1283333333333334,Interpolated from benchmarks,2.020216496907208,7699168.372993253,15553986.959587198,2.1283333333333334,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1979,0.404,0.4766666666666667,2.1566666666666667,Interpolated from benchmarks,2.0491126499227317,8263005.783699698,16931829.677763745,2.1566666666666667,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1980,0.4,0.46499999999999997,2.185,Interpolated from benchmarks,2.078255682443193,8800678.261507876,18290059.606333025,2.185,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1981,0.39555555555555555,0.4533333333333333,2.2133333333333334,Interpolated from benchmarks,2.121449366557054,8942618.190930447,18971311.696510985,2.2133333333333334,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1982,0.39111111111111113,0.44166666666666665,2.2416666666666667,Interpolated from benchmarks,2.1553181131199923,9059649.862905292,19526427.44804483,2.2416666666666667,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1983,0.38666666666666666,0.43,2.27,Interpolated from benchmarks,2.1885101740257844,9107785.869705064,19932482.03869781,2.27,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1984,0.38222222222222224,0.41833333333333333,2.2983333333333333,Interpolated from benchmarks,2.234167121837188,9118892.643561972,20373130.13180916,2.2983333333333333,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1985,0.37777777777777777,0.4066666666666667,2.3266666666666667,Interpolated from benchmarks,2.259712360700729,9209508.892094791,20810841.079449873,2.3266666666666667,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1986,0.37333333333333335,0.395,2.355,Interpolated from benchmarks,2.3157429724775636,9542642.970749045,22098308.39837452,2.355,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1987,0.3688888888888889,0.3833333333333333,2.3833333333333333,Interpolated from benchmarks,2.352789658125721,9837252.764871038,23144986.569557235,2.3833333333333333,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1988,0.36444444444444446,0.3716666666666667,2.4116666666666666,Interpolated from benchmarks,2.381747620153819,10433781.40979995,24850634.04199619,2.4116666666666666,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
1989,0.36,0.36,2.44,Book Table 5.7,2.4352521928989734,11006995.5684189,26804810.095221408,2.44,"Shaikh-Tonak 1994, exact book method",2025-12-05T23:08:56.916042
