"date","value"
"1959-01-01","72.334"
"1960-01-01","75.555"
"1961-01-01","76.771"
"1962-01-01","82.476"
"1963-01-01","87.71"
"1964-01-01","86.151"
"1965-01-01","94.303"
"1966-01-01","103.058"
"1967-01-01","107.917"
"1968-01-01","127.217"
"1969-01-01","142.951"
"1970-01-01","134.43"
"1971-01-01","135.261"
"1972-01-01","155.017"
"1973-01-01","168.677"
"1974-01-01","186.521"
"1975-01-01","181.455"
"1976-01-01","212.392"
"1977-01-01","241.641"
"1978-01-01","279.825"
"1979-01-01","316.862"
"1980-01-01","344.494"
"1981-01-01","394.288"
"1982-01-01","371.766"
"1983-01-01","379.484"
"1984-01-01","409.681"
"1985-01-01","442.913"
"1986-01-01","462.034"
"1987-01-01","526.416"
"1988-01-01","549.808"
"1989-01-01","601.144"
"1990-01-01","620.563"
"1991-01-01","617.116"
"1992-01-01","645.424"
"1993-01-01","699.268"
"1994-01-01","763.463"
"1995-01-01","825.697"
"1996-01-01","916.958"
"1997-01-01","1015.091"
"1998-01-01","1095.258"
"1999-01-01","1174.537"
"2000-01-01","1288.531"
"2001-01-01","1226.823"
"2002-01-01","1053.184"
"2003-01-01","1053.864"
"2004-01-01","1140.597"
"2005-01-01","1367.823"
"2006-01-01","1534.776"
"2007-01-01","1607.657"
"2008-01-01","1489.516"
"2009-01-01","1123.665"
"2010-01-01","1273.598"
"2011-01-01","1478.403"
"2012-01-01","1572.95"
"2013-01-01","1744.886"
"2014-01-01","1900.45"
"2015-01-01","2025.71"
"2016-01-01","2021.131"
"2017-01-01","1999.804"
"2018-01-01","2028.439"
"2019-01-01","2112.971"
"2020-01-01","2149.223"
"2021-01-01","2675.072"
"2022-01-01","3252.924"
"2023-01-01","2918.06"
"2024-01-01","3118.885"
