"date","value"
"1959-01-01","."
"1960-01-01","103.195"
"1961-01-01","111.770"
"1962-01-01","121.549"
"1963-01-01","125.925"
"1964-01-01","130.815"
"1965-01-01","137.134"
"1966-01-01","158.444"
"1967-01-01","179.295"
"1968-01-01","196.386"
"1969-01-01","207.859"
"1970-01-01","227.762"
"1971-01-01","245.846"
"1972-01-01","272.503"
"1973-01-01","289.646"
"1974-01-01","322.385"
"1975-01-01","385.147"
"1976-01-01","414.798"
"1977-01-01","451.022"
"1978-01-01","502.285"
"1979-01-01","553.210"
"1980-01-01","644.982"
"1981-01-01","732.245"
"1982-01-01","811.566"
"1983-01-01","883.789"
"1984-01-01","946.523"
"1985-01-01","1028.892"
"1986-01-01","1089.204"
"1987-01-01","1126.226"
"1988-01-01","1171.062"
"1989-01-01","1245.662"
"1990-01-01","1343.040"
"1991-01-01","1399.589"
"1992-01-01","1524.785"
"1993-01-01","1572.685"
"1994-01-01","1606.120"
"1995-01-01","1673.693"
"1996-01-01","1735.498"
"1997-01-01","1769.179"
"1998-01-01","1803.608"
"1999-01-01","1871.144"
"2000-01-01","1942.965"
"2001-01-01","2058.839"
"2002-01-01","2207.123"
"2003-01-01","2385.334"
"2004-01-01","2520.229"
"2005-01-01","2725.650"
"2006-01-01","2857.529"
"2007-01-01","3047.783"
"2008-01-01","3384.478"
"2009-01-01","3737.987"
"2010-01-01","3965.309"
"2011-01-01","3978.839"
"2012-01-01","3902.144"
"2013-01-01","3857.798"
"2014-01-01","3965.010"
"2015-01-01","4053.659"
"2016-01-01","4200.989"
"2017-01-01","4337.514"
"2018-01-01","4592.927"
"2019-01-01","4874.823"
"2020-01-01","6860.711"
"2021-01-01","7471.303"
"2022-01-01","6309.563"
"2023-01-01","6873.463"
"2024-01-01","7321.491"
