year,labor_share,nsw1,nsw2,personal_income,compensation,nsw1_positive,adjusted_labor_share_1,adjusted_labor_share_2
1959,0.710069444444445,-7.59054166666668,-36.7743958333334,403.2,286.3,False,0.691243696263228,0.6188631055720903
1960,0.714556213017751,-10.6786887573964,-42.4764402366864,422.5,301.9,False,0.6892812100416648,0.6140202597948246
1961,0.705282248923147,-6.27612899569257,-39.4243946950805,441.1,311.1,False,0.6910538902840797,0.615904795522375
1962,0.709656789597101,-9.25971328075037,-45.0264154764442,469.1,332.9,False,0.6899174732876779,0.6136721051450775
1963,0.712662337662338,-10.9767922077922,-49.032961038961,492.8,351.2,False,0.6903880028250974,0.6131636342553555
1964,0.713096139288418,-6.79267524602574,-47.6530840272521,528.4,376.8,False,0.7002409628197849,0.6229124072156471
1965,0.711807988787666,-5.79070830413455,-48.9974532235459,570.8,406.3,False,0.7016630898666174,0.6259680216826452
1966,0.725588140509185,-11.8117739284563,-57.6689444086368,620.6,450.3,False,0.706555311104647,0.6326636409786712
1967,0.725401832657353,-8.1433255220069,-57.3981099594412,665.7,482.9,False,0.7131691069220265,0.639179645546881
1968,0.728205830026002,-11.2399677022034,-66.87489311619,730.7,532.1,False,0.7128233643051817,0.636684147918174
1969,0.732225415469199,-20.5686267649632,-82.002339122829,800.3,586.0,False,0.7065242699425675,0.6297609157530563
1970,0.722993291695582,-3.24924242424242,-69.3308292852186,864.6,625.1,False,0.7192352042282648,0.6428049626587805
1971,0.71558845617423,12.3139105246218,-59.6027293208883,932.1,667.0,True,0.7287993890404694,0.651643890869125
1972,0.716686205549043,3.08729972645563,-74.2431418522861,1023.6,733.6,True,0.7197023248597656,0.6441548047554849
1973,0.715854194115064,0.284295125164675,-83.6138164251208,1138.5,815.0,True,0.7161039043699298,0.6424121067851379
1974,0.712639077883615,10.6595765628752,-78.3490442647883,1249.3,890.3,True,0.7211715172999884,0.6499247224327319
1975,0.695149608603409,55.1864862096715,-38.8672558343698,1366.9,950.2,True,0.7355230713363606,0.6667150078027874
1976,0.701688805820706,44.2923377611642,-58.4349034109872,1498.1,1051.2,True,0.7312544808498525,0.6626827959341917
1977,0.70668601136501,32.8710826985854,-79.9866733164067,1654.2,1169.0,True,0.7265572982097599,0.658332321777048
1978,0.709975799946222,21.8650803979564,-99.469783812853,1859.5,1320.2,True,0.7217343804237463,0.656483041778514
1979,0.712738822849993,11.8905110929304,-116.473750902353,2077.9,1481.0,True,0.7184611921136392,0.6566852346588611
1980,0.701916436464088,38.4814105662983,-102.112451657459,2316.8,1626.2,True,0.718526161328685,0.6578416558798947
1981,0.691590585153511,25.8424490157556,-137.096292846412,2595.9,1795.3,True,0.7015456870510246,0.638777960304167
1982,0.681697135454153,44.2277304951779,-119.993109435728,2778.8,1894.3,True,0.6976132612981065,0.6385155068966001
1983,0.67814930801091,62.9999042327509,-115.556808566522,2969.7,2013.9,True,0.6993635398298651,0.6392373611588636
1984,0.675768750190473,38.5628647182518,-157.274919086947,3281.3,2217.4,True,0.687521063212218,0.6278380766504288
1985,0.67948462698029,24.1480013652265,-185.201212207401,3515.9,2389.0,True,0.6863528545650411,0.62680929144532
1986,0.682880996483316,26.6762044508872,-194.167509811817,3725.1,2543.8,True,0.6900422014042275,0.6307568897984439
1987,0.688772027406265,2.54935145248135,-236.798928071196,3955.3,2724.3,True,0.6894165680106392,0.628903261934317
1988,0.690010057773723,-5.64974621663976,-264.058512852899,4275.3,2950.0,False,0.6886885724471635,0.628246318889224
1989,0.680481572907193,-7.47724273526478,-278.921342167944,4618.2,3142.6,False,0.6788624912876735,0.6200854570681337
1990,0.681557753083903,24.1406740952186,-265.52137096544,4904.5,3342.7,True,0.6864799009267449,0.6274194370546564
1991,0.680720159334267,97.2567648044803,-213.900420027213,5071.1,3452.0,True,0.6998987921367122,0.638539878916367
1992,0.678476380572189,155.714398702595,-172.261083666001,5410.8,3671.1,True,0.7072548234461807,0.6466398529485472
1993,0.676613303109726,169.361272313523,-171.04288048098,5646.8,3820.7,True,0.7066057364017716,0.646323071388932
