"LineNumber","LineDescription","TimePeriod","DataValue"
"1","Current transfer receipts","1929","448"
"1","Current transfer receipts","1930","416"
"1","Current transfer receipts","1931","339"
"1","Current transfer receipts","1932","306"
"1","Current transfer receipts","1933","262"
"1","Current transfer receipts","1934","257"
"1","Current transfer receipts","1935","272"
"1","Current transfer receipts","1936","298"
"1","Current transfer receipts","1937","311"
"1","Current transfer receipts","1938","317"
"1","Current transfer receipts","1939","305"
"1","Current transfer receipts","1940","314"
"1","Current transfer receipts","1941","333"
"1","Current transfer receipts","1942","383"
"1","Current transfer receipts","1943","471"
"1","Current transfer receipts","1944","627"
"1","Current transfer receipts","1945","660"
"1","Current transfer receipts","1946","511"
"1","Current transfer receipts","1947","542"
"1","Current transfer receipts","1948","613"
"1","Current transfer receipts","1949","652"
"1","Current transfer receipts","1950","583"
"1","Current transfer receipts","1951","636"
"1","Current transfer receipts","1952","678"
"1","Current transfer receipts","1953","722"
"1","Current transfer receipts","1954","785"
"1","Current transfer receipts","1955","797"
"1","Current transfer receipts","1956","904"
"1","Current transfer receipts","1957","995"
"1","Current transfer receipts","1958","1,037"
"1","Current transfer receipts","1959","656"
"1","Current transfer receipts","1960","772"
"1","Current transfer receipts","1961","1,016"
"1","Current transfer receipts","1962","1,111"
"1","Current transfer receipts","1963","1,191"
"1","Current transfer receipts","1964","1,419"
"1","Current transfer receipts","1965","1,798"
"1","Current transfer receipts","1966","2,057"
"1","Current transfer receipts","1967","2,348"
"1","Current transfer receipts","1968","2,434"
"1","Current transfer receipts","1969","2,595"
"1","Current transfer receipts","1970","2,712"
"1","Current transfer receipts","1971","2,916"
"1","Current transfer receipts","1972","3,453"
"1","Current transfer receipts","1973","3,635"
"1","Current transfer receipts","1974","4,118"
"1","Current transfer receipts","1975","4,685"
"1","Current transfer receipts","1976","5,460"
"1","Current transfer receipts","1977","6,457"
"1","Current transfer receipts","1978","7,767"
"1","Current transfer receipts","1979","8,855"
"1","Current transfer receipts","1980","10,319"
"1","Current transfer receipts","1981","11,689"
"1","Current transfer receipts","1982","13,996"
"1","Current transfer receipts","1983","16,015"
"1","Current transfer receipts","1984","18,599"
"1","Current transfer receipts","1985","22,225"
"1","Current transfer receipts","1986","24,972"
"1","Current transfer receipts","1987","26,260"
"1","Current transfer receipts","1988","27,005"
"1","Current transfer receipts","1989","31,588"
"1","Current transfer receipts","1990","35,338"
"1","Current transfer receipts","1991","43,824"
"1","Current transfer receipts","1992","49,548"
"1","Current transfer receipts","1993","54,208"
"1","Current transfer receipts","1994","58,795"
"1","Current transfer receipts","1995","57,505"
"1","Current transfer receipts","1996","65,657"
"1","Current transfer receipts","1997","68,030"
"1","Current transfer receipts","1998","74,163"
"1","Current transfer receipts","1999","81,674"
"1","Current transfer receipts","2000","91,519"
"1","Current transfer receipts","2001","97,608"
"1","Current transfer receipts","2002","103,151"
"1","Current transfer receipts","2003","109,540"
"1","Current transfer receipts","2004","119,807"
"1","Current transfer receipts","2005","125,677"
"1","Current transfer receipts","2006","132,990"
"1","Current transfer receipts","2007","140,470"
"1","Current transfer receipts","2008","152,144"
"1","Current transfer receipts","2009","167,884"
"1","Current transfer receipts","2010","165,728"
"1","Current transfer receipts","2011","169,476"
"1","Current transfer receipts","2012","160,000"
"1","Current transfer receipts","2013","177,335"
"1","Current transfer receipts","2014","210,011"
"1","Current transfer receipts","2015","214,819"
"1","Current transfer receipts","2016","207,005"
"1","Current transfer receipts","2017","208,390"
"1","Current transfer receipts","2018","224,248"
"1","Current transfer receipts","2019","216,817"
"1","Current transfer receipts","2020","210,421"
"1","Current transfer receipts","2021","225,815"
"1","Current transfer receipts","2022","259,643"
"1","Current transfer receipts","2023","255,263"
"1","Current transfer receipts","2024","284,384"
"2","From business (net)","1929","113"
"2","From business (net)","1930","115"
"2","From business (net)","1931","111"
"2","From business (net)","1932","108"
"2","From business (net)","1933","98"
"2","From business (net)","1934","97"
"2","From business (net)","1935","114"
"2","From business (net)","1936","139"
"2","From business (net)","1937","149"
"2","From business (net)","1938","153"
"2","From business (net)","1939","154"
"2","From business (net)","1940","164"
"2","From business (net)","1941","177"
"2","From business (net)","1942","203"
"2","From business (net)","1943","255"
"2","From business (net)","1944","379"
"2","From business (net)","1945","391"
"2","From business (net)","1946","264"
"2","From business (net)","1947","323"
"2","From business (net)","1948","337"
"2","From business (net)","1949","334"
"2","From business (net)","1950","269"
"2","From business (net)","1951","287"
"2","From business (net)","1952","309"
"2","From business (net)","1953","312"
"2","From business (net)","1954","348"
"2","From business (net)","1955","367"
"2","From business (net)","1956","416"
"2","From business (net)","1957","428"
"2","From business (net)","1958","463"
"2","From business (net)","1959","336"
"2","From business (net)","1960","430"
"2","From business (net)","1961","540"
"2","From business (net)","1962","568"
"2","From business (net)","1963","661"
"2","From business (net)","1964","817"
"2","From business (net)","1965","1,220"
"2","From business (net)","1966","1,279"
"2","From business (net)","1967","1,366"
"2","From business (net)","1968","1,395"
"2","From business (net)","1969","1,467"
"2","From business (net)","1970","1,431"
"2","From business (net)","1971","1,461"
"2","From business (net)","1972","1,667"
"2","From business (net)","1973","1,800"
"2","From business (net)","1974","2,050"
"2","From business (net)","1975","2,192"
"2","From business (net)","1976","2,442"
"2","From business (net)","1977","2,991"
"2","From business (net)","1978","3,912"
"2","From business (net)","1979","4,527"
"2","From business (net)","1980","5,366"
"2","From business (net)","1981","5,737"
"2","From business (net)","1982","6,931"
"2","From business (net)","1983","7,885"
"2","From business (net)","1984","9,431"
"2","From business (net)","1985","11,800"
"2","From business (net)","1986","13,013"
"2","From business (net)","1987","13,064"
"2","From business (net)","1988","12,159"
"2","From business (net)","1989","15,095"
"2","From business (net)","1990","16,986"
"2","From business (net)","1991","21,253"
"2","From business (net)","1992","23,552"
"2","From business (net)","1993","25,639"
"2","From business (net)","1994","27,902"
"2","From business (net)","1995","24,859"
"2","From business (net)","1996","30,725"
"2","From business (net)","1997","29,831"
"2","From business (net)","1998","34,300"
"2","From business (net)","1999","36,451"
"2","From business (net)","2000","41,918"
"2","From business (net)","2001","43,882"
"2","From business (net)","2002","46,228"
"2","From business (net)","2003","48,306"
"2","From business (net)","2004","52,094"
"2","From business (net)","2005","52,308"
"2","From business (net)","2006","56,399"
"2","From business (net)","2007","59,606"
"2","From business (net)","2008","67,984"
"2","From business (net)","2009","84,585"
"2","From business (net)","2010","82,570"
"2","From business (net)","2011","85,261"
"2","From business (net)","2012","67,197"
"2","From business (net)","2013","82,483"
"2","From business (net)","2014","100,804"
"2","From business (net)","2015","108,850"
"2","From business (net)","2016","100,879"
"2","From business (net)","2017","93,931"
"2","From business (net)","2018","101,454"
"2","From business (net)","2019","93,664"
"2","From business (net)","2020","97,562"
"2","From business (net)","2021","99,674"
"2","From business (net)","2022","115,709"
"2","From business (net)","2023","112,565"
"2","From business (net)","2024","139,976"
"3","Federal","1929","56"
"3","Federal","1930","56"
"3","Federal","1931","49"
"3","Federal","1932","43"
"3","Federal","1933","36"
"3","Federal","1934","37"
"3","Federal","1935","51"
"3","Federal","1936","76"
"3","Federal","1937","82"
"3","Federal","1938","85"
"3","Federal","1939","87"
"3","Federal","1940","95"
"3","Federal","1941","109"
"3","Federal","1942","128"
"3","Federal","1943","186"
"3","Federal","1944","305"
"3","Federal","1945","316"
"3","Federal","1946","208"
"3","Federal","1947","262"
"3","Federal","1948","258"
"3","Federal","1949","245"
"3","Federal","1950","155"
"3","Federal","1951","165"
"3","Federal","1952","173"
"3","Federal","1953","168"
"3","Federal","1954","176"
"3","Federal","1955","197"
"3","Federal","1956","232"
"3","Federal","1957","235"
"3","Federal","1958","242"
"3","Federal","1959","229"
"3","Federal","1960","261"
"3","Federal","1961","312"
"3","Federal","1962","342"
"3","Federal","1963","406"
"3","Federal","1964","559"
"3","Federal","1965","885"
"3","Federal","1966","971"
"3","Federal","1967","909"
"3","Federal","1968","911"
"3","Federal","1969","937"
"3","Federal","1970","871"
"3","Federal","1971","863"
"3","Federal","1972","985"
"3","Federal","1973","920"
"3","Federal","1974","966"
"3","Federal","1975","981"
"3","Federal","1976","1,077"
"3","Federal","1977","1,409"
"3","Federal","1978","2,045"
"3","Federal","1979","2,358"
"3","Federal","1980","2,910"
"3","Federal","1981","2,869"
"3","Federal","1982","3,681"
"3","Federal","1983","4,240"
"3","Federal","1984","5,246"
"3","Federal","1985","7,401"
"3","Federal","1986","6,293"
"3","Federal","1987","8,177"
"3","Federal","1988","6,778"
"3","Federal","1989","8,701"
"3","Federal","1990","9,896"
"3","Federal","1991","13,304"
"3","Federal","1992","14,316"
"3","Federal","1993","15,112"
"3","Federal","1994","15,948"
"3","Federal","1995","11,362"
"3","Federal","1996","15,558"
"3","Federal","1997","12,144"
"3","Federal","1998","12,693"
"3","Federal","1999","12,441"
"3","Federal","2000","13,357"
"3","Federal","2001","14,041"
"3","Federal","2002","13,674"
"3","Federal","2003","14,467"
"3","Federal","2004","15,597"
"3","Federal","2005","15,761"
"3","Federal","2006","18,370"
"3","Federal","2007","20,185"
"3","Federal","2008","25,520"
"3","Federal","2009","42,919"
"3","Federal","2010","42,226"
"3","Federal","2011","43,440"
"3","Federal","2012","26,795"
"3","Federal","2013","36,343"
"3","Federal","2014","53,586"
"3","Federal","2015","42,610"
"3","Federal","2016","45,011"
"3","Federal","2017","43,113"
"3","Federal","2018","46,914"
"3","Federal","2019","37,621"
"3","Federal","2020","38,965"
"3","Federal","2021","39,081"
"3","Federal","2022","46,216"
"3","Federal","2023","44,887"
"3","Federal","2024","58,029"
"4","Deposit insurance premiums","1935","12"
"4","Deposit insurance premiums","1936","37"
"4","Deposit insurance premiums","1937","40"
"4","Deposit insurance premiums","1938","40"
"4","Deposit insurance premiums","1939","43"
"4","Deposit insurance premiums","1940","49"
"4","Deposit insurance premiums","1941","54"
"4","Deposit insurance premiums","1942","61"
"4","Deposit insurance premiums","1943","74"
"4","Deposit insurance premiums","1944","86"
"4","Deposit insurance premiums","1945","99"
"4","Deposit insurance premiums","1946","113"
"4","Deposit insurance premiums","1947","122"
"4","Deposit insurance premiums","1948","130"
"4","Deposit insurance premiums","1949","134"
"4","Deposit insurance premiums","1950","64"
"4","Deposit insurance premiums","1951","66"
"4","Deposit insurance premiums","1952","71"
"4","Deposit insurance premiums","1953","77"
"4","Deposit insurance premiums","1954","82"
"4","Deposit insurance premiums","1955","91"
"4","Deposit insurance premiums","1956","97"
"4","Deposit insurance premiums","1957","103"
"4","Deposit insurance premiums","1958","115"
"4","Deposit insurance premiums","1959","126"
"4","Deposit insurance premiums","1960","132"
"4","Deposit insurance premiums","1961","135"
"4","Deposit insurance premiums","1962","148"
"4","Deposit insurance premiums","1963","162"
"4","Deposit insurance premiums","1964","183"
"4","Deposit insurance premiums","1965","202"
"4","Deposit insurance premiums","1966","212"
"4","Deposit insurance premiums","1967","255"
"4","Deposit insurance premiums","1968","272"
"4","Deposit insurance premiums","1969","257"
"4","Deposit insurance premiums","1970","224"
"4","Deposit insurance premiums","1971","200"
"4","Deposit insurance premiums","1972","217"
"4","Deposit insurance premiums","1973","364"
"4","Deposit insurance premiums","1974","444"
"4","Deposit insurance premiums","1975","391"
"4","Deposit insurance premiums","1976","431"
"4","Deposit insurance premiums","1977","480"
"4","Deposit insurance premiums","1978","553"
"4","Deposit insurance premiums","1979","567"
"4","Deposit insurance premiums","1980","659"
"4","Deposit insurance premiums","1981","1,170"
"4","Deposit insurance premiums","1982","1,562"
"4","Deposit insurance premiums","1983","1,811"
"4","Deposit insurance premiums","1984","1,958"
"4","Deposit insurance premiums","1985","3,169"
"4","Deposit insurance premiums","1986","3,426"
"4","Deposit insurance premiums","1987","3,515"
"4","Deposit insurance premiums","1988","3,481"
"4","Deposit insurance premiums","1989","4,035"
"4","Deposit insurance premiums","1990","4,589"
"4","Deposit insurance premiums","1991","7,532"
"4","Deposit insurance premiums","1992","7,943"
"4","Deposit insurance premiums","1993","8,703"
"4","Deposit insurance premiums","1994","7,793"
"4","Deposit insurance premiums","1995","4,508"
"4","Deposit insurance premiums","1996","7,218"
"4","Deposit insurance premiums","1997","1,993"
"4","Deposit insurance premiums","1998","1,949"
"4","Deposit insurance premiums","1999","2,148"
"4","Deposit insurance premiums","2000","3,298"
"4","Deposit insurance premiums","2001","3,687"
"4","Deposit insurance premiums","2002","3,489"
"4","Deposit insurance premiums","2003","3,043"
"4","Deposit insurance premiums","2004","2,606"
"4","Deposit insurance premiums","2005","2,358"
"4","Deposit insurance premiums","2006","2,495"
"4","Deposit insurance premiums","2007","3,269"
"4","Deposit insurance premiums","2008","9,616"
"4","Deposit insurance premiums","2009","26,314"
"4","Deposit insurance premiums","2010","18,933"
"4","Deposit insurance premiums","2011","17,479"
"4","Deposit insurance premiums","2012","15,480"
"4","Deposit insurance premiums","2013","13,082"
"4","Deposit insurance premiums","2014","11,653"
"4","Deposit insurance premiums","2015","11,602"
"4","Deposit insurance premiums","2016","12,502"
"4","Deposit insurance premiums","2017","13,894"
"4","Deposit insurance premiums","2018","12,291"
"4","Deposit insurance premiums","2019","8,749"
"4","Deposit insurance premiums","2020","8,549"
"4","Deposit insurance premiums","2021","7,822"
"4","Deposit insurance premiums","2022","9,407"
"4","Deposit insurance premiums","2023","12,547"
"4","Deposit insurance premiums","2024","20,411"
"5","Other","1929","56"
"5","Other","1930","56"
"5","Other","1931","49"
"5","Other","1932","43"
"5","Other","1933","36"
"5","Other","1934","37"
"5","Other","1935","39"
"5","Other","1936","39"
"5","Other","1937","42"
"5","Other","1938","45"
"5","Other","1939","44"
"5","Other","1940","46"
"5","Other","1941","55"
"5","Other","1942","67"
"5","Other","1943","112"
"5","Other","1944","219"
"5","Other","1945","217"
"5","Other","1946","95"
"5","Other","1947","140"
"5","Other","1948","128"
"5","Other","1949","111"
"5","Other","1950","91"
"5","Other","1951","99"
"5","Other","1952","102"
"5","Other","1953","91"
"5","Other","1954","94"
"5","Other","1955","106"
"5","Other","1956","135"
"5","Other","1957","132"
"5","Other","1958","127"
"5","Other","1959","103"
"5","Other","1960","129"
"5","Other","1961","177"
"5","Other","1962","194"
"5","Other","1963","244"
"5","Other","1964","376"
"5","Other","1965","683"
"5","Other","1966","759"
"5","Other","1967","654"
"5","Other","1968","639"
"5","Other","1969","680"
"5","Other","1970","647"
"5","Other","1971","663"
"5","Other","1972","768"
"5","Other","1973","556"
"5","Other","1974","522"
"5","Other","1975","590"
"5","Other","1976","646"
"5","Other","1977","929"
"5","Other","1978","1,492"
"5","Other","1979","1,791"
"5","Other","1980","2,251"
"5","Other","1981","1,699"
"5","Other","1982","2,119"
"5","Other","1983","2,429"
"5","Other","1984","3,288"
"5","Other","1985","4,232"
"5","Other","1986","2,867"
"5","Other","1987","4,662"
"5","Other","1988","3,297"
"5","Other","1989","4,666"
"5","Other","1990","5,307"
"5","Other","1991","5,772"
"5","Other","1992","6,373"
"5","Other","1993","6,409"
"5","Other","1994","8,155"
"5","Other","1995","6,854"
"5","Other","1996","8,340"
"5","Other","1997","10,151"
"5","Other","1998","10,744"
"5","Other","1999","10,293"
"5","Other","2000","10,059"
"5","Other","2001","10,354"
"5","Other","2002","10,185"
"5","Other","2003","11,424"
"5","Other","2004","12,991"
"5","Other","2005","13,403"
"5","Other","2006","15,875"
"5","Other","2007","16,916"
"5","Other","2008","15,904"
"5","Other","2009","16,605"
"5","Other","2010","23,293"
"5","Other","2011","25,961"
"5","Other","2012","11,315"
"5","Other","2013","23,261"
"5","Other","2014","41,933"
"5","Other","2015","31,008"
"5","Other","2016","32,509"
"5","Other","2017","29,220"
"5","Other","2018","34,623"
"5","Other","2019","28,872"
"5","Other","2020","30,416"
"5","Other","2021","31,259"
"5","Other","2022","36,809"
"5","Other","2023","32,340"
"5","Other","2024","37,618"
"6","State and local (net)","1929","57"
"6","State and local (net)","1930","59"
"6","State and local (net)","1931","62"
"6","State and local (net)","1932","65"
"6","State and local (net)","1933","62"
"6","State and local (net)","1934","60"
"6","State and local (net)","1935","63"
"6","State and local (net)","1936","63"
"6","State and local (net)","1937","67"
"6","State and local (net)","1938","68"
"6","State and local (net)","1939","67"
"6","State and local (net)","1940","69"
"6","State and local (net)","1941","68"
"6","State and local (net)","1942","75"
"6","State and local (net)","1943","69"
"6","State and local (net)","1944","74"
"6","State and local (net)","1945","75"
"6","State and local (net)","1946","56"
"6","State and local (net)","1947","61"
"6","State and local (net)","1948","79"
"6","State and local (net)","1949","89"
"6","State and local (net)","1950","114"
"6","State and local (net)","1951","122"
"6","State and local (net)","1952","136"
"6","State and local (net)","1953","144"
"6","State and local (net)","1954","172"
"6","State and local (net)","1955","170"
"6","State and local (net)","1956","184"
"6","State and local (net)","1957","193"
"6","State and local (net)","1958","221"
"6","State and local (net)","1959","107"
"6","State and local (net)","1960","169"
"6","State and local (net)","1961","228"
"6","State and local (net)","1962","226"
"6","State and local (net)","1963","255"
"6","State and local (net)","1964","258"
