"date","value"
"1959-01-01","285.829"
"1960-01-01","301.283"
"1961-01-01","310.422"
"1962-01-01","332.202"
"1963-01-01","350.408"
"1964-01-01","375.975"
"1965-01-01","405.415"
"1966-01-01","449.249"
"1967-01-01","481.79"
"1968-01-01","530.751"
"1969-01-01","584.458"
"1970-01-01","623.347"
"1971-01-01","664.995"
"1972-01-01","731.333"
"1973-01-01","812.683"
"1974-01-01","887.715"
"1975-01-01","947.23"
"1976-01-01","1048.347"
"1977-01-01","1165.825"
"1978-01-01","1316.765"
"1979-01-01","1477.231"
"1980-01-01","1622.247"
"1981-01-01","1792.525"
"1982-01-01","1892.983"
"1983-01-01","2012.489"
"1984-01-01","2215.872"
"1985-01-01","2387.324"
"1986-01-01","2542.063"
"1987-01-01","2722.405"
"1988-01-01","2947.987"
"1989-01-01","3139.601"
"1990-01-01","3340.373"
"1991-01-01","3450.516"
"1992-01-01","3668.246"
"1993-01-01","3817.29"
"1994-01-01","4006.192"
"1995-01-01","4198.088"
"1996-01-01","4416.942"
"1997-01-01","4708.818"
"1998-01-01","5071.138"
"1999-01-01","5402.682"
"2000-01-01","5847.146"
"2001-01-01","6038.348"
"2002-01-01","6135.115"
"2003-01-01","6353.606"
"2004-01-01","6719.488"
"2005-01-01","7066.107"
"2006-01-01","7479.676"
"2007-01-01","7878.475"
"2008-01-01","8056.826"
"2009-01-01","7759.019"
"2010-01-01","7925.369"
"2011-01-01","8226.175"
"2012-01-01","8567.363"
"2013-01-01","8835.039"
"2014-01-01","9250.208"
"2015-01-01","9699.419"
"2016-01-01","9966.108"
"2017-01-01","10424.372"
"2018-01-01","10957.404"
"2019-01-01","11446.611"
"2020-01-01","11598.138"
"2021-01-01","12558.374"
"2022-01-01","13443.377"
"2023-01-01","14207.393"
"2024-01-01","15027.059"
