"LineNumber","LineDescription","TimePeriod","DataValue"
"1","Government","1959","124,366"
"1","Government","1960","131,252"
"1","Government","1961","141,066"
"1","Government","1962","152,386"
"1","Government","1963","160,511"
"1","Government","1964","169,086"
"1","Government","1965","181,613"
"1","Government","1966","204,476"
"1","Government","1967","232,556"
"1","Government","1968","261,651"
"1","Government","1969","284,710"
"1","Government","1970","319,221"
"1","Government","1971","354,491"
"1","Government","1972","388,548"
"1","Government","1973","421,512"
"1","Government","1974","473,911"
"1","Government","1975","549,878"
"1","Government","1976","591,024"
"1","Government","1977","640,329"
"1","Government","1978","703,312"
"1","Government","1979","777,924"
"1","Government","1980","894,576"
"1","Government","1981","1,017,366"
"1","Government","1982","1,131,034"
"1","Government","1983","1,227,716"
"1","Government","1984","1,311,655"
"1","Government","1985","1,418,686"
"1","Government","1986","1,512,769"
"1","Government","1987","1,586,742"
"1","Government","1988","1,678,321"
"1","Government","1989","1,810,702"
"1","Government","1990","1,952,868"
"1","Government","1991","2,072,189"
"1","Government","1992","2,254,212"
"1","Government","1993","2,339,289"
"1","Government","1994","2,417,185"
"1","Government","1995","2,536,460"
"1","Government","1996","2,621,763"
"1","Government","1997","2,699,874"
"1","Government","1998","2,767,354"
"1","Government","1999","2,879,452"
"1","Government","2000","3,019,944"
"1","Government","2001","3,229,168"
"1","Government","2002","3,419,767"
"1","Government","2003","3,624,035"
"1","Government","2004","3,817,442"
"1","Government","2005","4,075,265"
"1","Government","2006","4,320,062"
"1","Government","2007","4,599,617"
"1","Government","2008","4,971,972"
"1","Government","2009","5,283,993"
"1","Government","2010","5,559,983"
"1","Government","2011","5,639,475"
"1","Government","2012","5,667,111"
"1","Government","2013","5,729,512"
"1","Government","2014","5,885,690"
"1","Government","2015","6,059,526"
"1","Government","2016","6,238,657"
"1","Government","2017","6,418,502"
"1","Government","2018","6,749,939"
"1","Government","2019","7,133,442"
"1","Government","2020","8,966,601"
"1","Government","2021","9,514,778"
"1","Government","2022","8,792,818"
"1","Government","2023","9,358,874"
"1","Government","2024","10,061,458"
"2","General public service","1959","21,257"
"2","General public service","1960","24,384"
"2","General public service","1961","25,622"
"2","General public service","1962","27,731"
"2","General public service","1963","29,582"
"2","General public service","1964","31,817"
"2","General public service","1965","33,992"
"2","General public service","1966","36,751"
"2","General public service","1967","39,454"
"2","General public service","1968","44,187"
"2","General public service","1969","49,948"
"2","General public service","1970","60,030"
"2","General public service","1971","66,799"
"2","General public service","1972","73,970"
"2","General public service","1973","84,148"
"2","General public service","1974","96,034"
"2","General public service","1975","108,265"
"2","General public service","1976","119,748"
"2","General public service","1977","131,631"
"2","General public service","1978","150,812"
"2","General public service","1979","169,893"
"2","General public service","1980","195,256"
"2","General public service","1981","228,561"
"2","General public service","1982","259,896"
"2","General public service","1983","286,446"
"2","General public service","1984","323,682"
"2","General public service","1985","359,670"
