"LineNumber","LineDescription","TimePeriod","DataValue"
"1","Current receipts","1929","3,694"
"1","Current receipts","1930","2,936"
"1","Current receipts","1931","1,939"
"1","Current receipts","1932","1,624"
"1","Current receipts","1933","2,550"
"1","Current receipts","1934","3,362"
"1","Current receipts","1935","3,667"
"1","Current receipts","1936","4,601"
"1","Current receipts","1937","6,582"
"1","Current receipts","1938","6,019"
"1","Current receipts","1939","6,272"
"1","Current receipts","1940","8,211"
"1","Current receipts","1941","14,910"
"1","Current receipts","1942","22,271"
"1","Current receipts","1943","38,473"
"1","Current receipts","1944","40,067"
"1","Current receipts","1945","41,529"
"1","Current receipts","1946","39,452"
"1","Current receipts","1947","42,814"
"1","Current receipts","1948","42,376"
"1","Current receipts","1949","37,860"
"1","Current receipts","1950","48,803"
"1","Current receipts","1951","62,915"
"1","Current receipts","1952","65,811"
"1","Current receipts","1953","68,607"
"1","Current receipts","1954","62,511"
"1","Current receipts","1955","71,072"
"1","Current receipts","1956","75,843"
"1","Current receipts","1957","79,317"
"1","Current receipts","1958","76,056"
"1","Current receipts","1959","86,603"
"1","Current receipts","1960","93,555"
"1","Current receipts","1961","95,079"
"1","Current receipts","1962","103,187"
"1","Current receipts","1963","111,337"
"1","Current receipts","1964","111,318"
"1","Current receipts","1965","120,427"
"1","Current receipts","1966","137,387"
"1","Current receipts","1967","146,257"
"1","Current receipts","1968","170,578"
"1","Current receipts","1969","191,835"
"1","Current receipts","1970","185,128"
"1","Current receipts","1971","190,706"
"1","Current receipts","1972","219,009"
"1","Current receipts","1973","249,246"
"1","Current receipts","1974","278,501"
"1","Current receipts","1975","276,834"
"1","Current receipts","1976","322,588"
"1","Current receipts","1977","363,870"
"1","Current receipts","1978","423,825"
"1","Current receipts","1979","487,022"
"1","Current receipts","1980","533,695"
"1","Current receipts","1981","621,062"
"1","Current receipts","1982","618,663"
"1","Current receipts","1983","644,765"
"1","Current receipts","1984","711,169"
"1","Current receipts","1985","775,726"
"1","Current receipts","1986","817,908"
"1","Current receipts","1987","899,491"
"1","Current receipts","1988","962,431"
"1","Current receipts","1989","1,042,474"
"1","Current receipts","1990","1,087,629"
"1","Current receipts","1991","1,107,824"
"1","Current receipts","1992","1,154,353"
"1","Current receipts","1993","1,231,038"
"1","Current receipts","1994","1,329,345"
"1","Current receipts","1995","1,417,432"
"1","Current receipts","1996","1,536,346"
"1","Current receipts","1997","1,667,387"
"1","Current receipts","1998","1,789,838"
"1","Current receipts","1999","1,905,951"
"1","Current receipts","2000","2,067,777"
"1","Current receipts","2001","2,032,368"
"1","Current receipts","2002","1,870,886"
"1","Current receipts","2003","1,896,115"
"1","Current receipts","2004","2,028,081"
"1","Current receipts","2005","2,304,706"
"1","Current receipts","2006","2,538,778"
"1","Current receipts","2007","2,668,327"
"1","Current receipts","2008","2,582,050"
"1","Current receipts","2009","2,242,065"
"1","Current receipts","2010","2,446,264"
"1","Current receipts","2011","2,573,610"
"1","Current receipts","2012","2,700,817"
"1","Current receipts","2013","3,136,319"
"1","Current receipts","2014","3,294,416"
"1","Current receipts","2015","3,448,386"
"1","Current receipts","2016","3,460,672"
"1","Current receipts","2017","3,503,747"
"1","Current receipts","2018","3,583,094"
"1","Current receipts","2019","3,704,330"
"1","Current receipts","2020","3,766,665"
"1","Current receipts","2021","4,429,089"
"1","Current receipts","2022","5,115,520"
"1","Current receipts","2023","4,820,876"
"1","Current receipts","2024","5,178,912"
"1","Current receipts","2025","5,677,383"
"2","Current tax receipts","1929","3,536"
"2","Current tax receipts","1930","2,778"
"2","Current tax receipts","1931","1,800"
"2","Current tax receipts","1932","1,492"
"2","Current tax receipts","1933","2,435"
"2","Current tax receipts","1934","3,243"
"2","Current tax receipts","1935","3,530"
"2","Current tax receipts","1936","4,196"
"2","Current tax receipts","1937","5,006"
"2","Current tax receipts","1938","4,297"
"2","Current tax receipts","1939","4,418"
"2","Current tax receipts","1940","6,230"
"2","Current tax receipts","1941","12,446"
"2","Current tax receipts","1942","19,211"
"2","Current tax receipts","1943","34,435"
"2","Current tax receipts","1944","35,312"
"2","Current tax receipts","1945","35,759"
"2","Current tax receipts","1946","32,684"
"2","Current tax receipts","1947","37,046"
"2","Current tax receipts","1948","37,476"
"2","Current tax receipts","1949","32,651"
"2","Current tax receipts","1950","43,124"
"2","Current tax receipts","1951","55,986"
"2","Current tax receipts","1952","58,569"
"2","Current tax receipts","1953","61,148"
"2","Current tax receipts","1954","54,150"
"2","Current tax receipts","1955","61,719"
"2","Current tax receipts","1956","65,426"
"2","Current tax receipts","1957","67,355"
"2","Current tax receipts","1958","64,119"
"2","Current tax receipts","1959","72,334"
"2","Current tax receipts","1960","75,555"
"2","Current tax receipts","1961","76,771"
"2","Current tax receipts","1962","82,476"
"2","Current tax receipts","1963","87,710"
"2","Current tax receipts","1964","86,151"
"2","Current tax receipts","1965","94,303"
"2","Current tax receipts","1966","103,058"
"2","Current tax receipts","1967","107,917"
"2","Current tax receipts","1968","127,217"
"2","Current tax receipts","1969","142,951"
"2","Current tax receipts","1970","134,430"
"2","Current tax receipts","1971","135,261"
"2","Current tax receipts","1972","155,017"
"2","Current tax receipts","1973","168,677"
"2","Current tax receipts","1974","186,521"
"2","Current tax receipts","1975","181,455"
"2","Current tax receipts","1976","212,392"
"2","Current tax receipts","1977","241,641"
"2","Current tax receipts","1978","279,825"
"2","Current tax receipts","1979","316,862"
"2","Current tax receipts","1980","344,494"
"2","Current tax receipts","1981","394,288"
"2","Current tax receipts","1982","371,766"
"2","Current tax receipts","1983","379,484"
"2","Current tax receipts","1984","409,681"
"2","Current tax receipts","1985","442,913"
"2","Current tax receipts","1986","462,034"
"2","Current tax receipts","1987","526,416"
"2","Current tax receipts","1988","549,808"
"2","Current tax receipts","1989","601,144"
"2","Current tax receipts","1990","620,563"
"2","Current tax receipts","1991","617,116"
"2","Current tax receipts","1992","645,424"
"2","Current tax receipts","1993","699,268"
"2","Current tax receipts","1994","763,463"
"2","Current tax receipts","1995","825,697"
"2","Current tax receipts","1996","916,958"
"2","Current tax receipts","1997","1,015,091"
"2","Current tax receipts","1998","1,095,258"
"2","Current tax receipts","1999","1,174,537"
"2","Current tax receipts","2000","1,288,531"
"2","Current tax receipts","2001","1,226,823"
"2","Current tax receipts","2002","1,053,184"
"2","Current tax receipts","2003","1,053,864"
"2","Current tax receipts","2004","1,140,597"
"2","Current tax receipts","2005","1,367,823"
"2","Current tax receipts","2006","1,534,776"
"2","Current tax receipts","2007","1,607,657"
"2","Current tax receipts","2008","1,489,516"
"2","Current tax receipts","2009","1,123,665"
"2","Current tax receipts","2010","1,273,598"
"2","Current tax receipts","2011","1,478,403"
"2","Current tax receipts","2012","1,572,950"
"2","Current tax receipts","2013","1,744,886"
"2","Current tax receipts","2014","1,900,450"
"2","Current tax receipts","2015","2,025,710"
"2","Current tax receipts","2016","2,021,131"
"2","Current tax receipts","2017","1,999,804"
"2","Current tax receipts","2018","2,028,439"
"2","Current tax receipts","2019","2,112,971"
"2","Current tax receipts","2020","2,149,223"
"2","Current tax receipts","2021","2,675,072"
"2","Current tax receipts","2022","3,252,924"
"2","Current tax receipts","2023","2,918,060"
"2","Current tax receipts","2024","3,118,885"
"2","Current tax receipts","2025","3,507,890"
"3","Personal current taxes","1929","1,179"
"3","Personal current taxes","1930","1,045"
"3","Personal current taxes","1931","532"
"3","Personal current taxes","1932","285"
"3","Personal current taxes","1933","390"
"3","Personal current taxes","1934","455"
"3","Personal current taxes","1935","568"
"3","Personal current taxes","1936","732"
"3","Personal current taxes","1937","1,305"
"3","Personal current taxes","1938","1,231"
"3","Personal current taxes","1939","855"
"3","Personal current taxes","1940","1,014"
"3","Personal current taxes","1941","1,601"
"3","Personal current taxes","1942","4,164"
"3","Personal current taxes","1943","15,987"
"3","Personal current taxes","1944","16,876"
"3","Personal current taxes","1945","18,613"
"3","Personal current taxes","1946","16,351"
"3","Personal current taxes","1947","18,793"
"3","Personal current taxes","1948","18,065"
"3","Personal current taxes","1949","15,376"
"3","Personal current taxes","1950","17,432"
"3","Personal current taxes","1951","25,375"
"3","Personal current taxes","1952","30,167"
"3","Personal current taxes","1953","31,306"
"3","Personal current taxes","1954","28,068"
"3","Personal current taxes","1955","30,470"
"3","Personal current taxes","1956","33,913"
"3","Personal current taxes","1957","35,994"
"3","Personal current taxes","1958","35,485"
"3","Personal current taxes","1959","38,466"
"3","Personal current taxes","1960","41,838"
"3","Personal current taxes","1961","42,694"
"3","Personal current taxes","1962","46,529"
"3","Personal current taxes","1963","49,138"
"3","Personal current taxes","1964","45,985"
"3","Personal current taxes","1965","51,068"
"3","Personal current taxes","1966","58,602"
"3","Personal current taxes","1967","64,386"
"3","Personal current taxes","1968","76,435"
"3","Personal current taxes","1969","91,700"
"3","Personal current taxes","1970","88,853"
"3","Personal current taxes","1971","85,803"
"3","Personal current taxes","1972","102,757"
"3","Personal current taxes","1973","109,581"
"3","Personal current taxes","1974","126,525"
"3","Personal current taxes","1975","120,730"
"3","Personal current taxes","1976","141,597"
"3","Personal current taxes","1977","162,513"
"3","Personal current taxes","1978","189,199"
"3","Personal current taxes","1979","224,881"
"3","Personal current taxes","1980","250,621"
"3","Personal current taxes","1981","291,165"
"3","Personal current taxes","1982","295,596"
"3","Personal current taxes","1983","286,774"
"3","Personal current taxes","1984","301,893"
"3","Personal current taxes","1985","336,453"
"3","Personal current taxes","1986","350,601"
"3","Personal current taxes","1987","392,987"
"3","Personal current taxes","1988","403,845"
"3","Personal current taxes","1989","453,095"
"3","Personal current taxes","1990","472,109"
"3","Personal current taxes","1991","463,590"
"3","Personal current taxes","1992","477,497"
"3","Personal current taxes","1993","507,688"
"3","Personal current taxes","1994","545,082"
"3","Personal current taxes","1995","590,297"
"3","Personal current taxes","1996","668,410"
"3","Personal current taxes","1997","749,822"
"3","Personal current taxes","1998","831,199"
"3","Personal current taxes","1999","897,427"
"3","Personal current taxes","2000","999,621"
