"LineNumber","LineDescription","TimePeriod","DataValue"
"1","Personal income","1929","85,289"
"1","Personal income","1930","76,533"
"1","Personal income","1931","65,668"
"1","Personal income","1932","50,294"
"1","Personal income","1933","47,234"
"1","Personal income","1934","54,090"
"1","Personal income","1935","60,843"
"1","Personal income","1936","69,221"
"1","Personal income","1937","74,710"
"1","Personal income","1938","69,084"
"1","Personal income","1939","73,632"
"1","Personal income","1940","79,408"
"1","Personal income","1941","97,878"
"1","Personal income","1942","126,724"
"1","Personal income","1943","156,187"
"1","Personal income","1944","169,717"
"1","Personal income","1945","175,786"
"1","Personal income","1946","182,534"
"1","Personal income","1947","194,481"
"1","Personal income","1948","213,496"
"1","Personal income","1949","211,071"
"1","Personal income","1950","233,735"
"1","Personal income","1951","264,232"
"1","Personal income","1952","282,460"
"1","Personal income","1953","299,227"
"1","Personal income","1954","302,221"
"1","Personal income","1955","324,159"
"1","Personal income","1956","347,903"
"1","Personal income","1957","367,983"
"1","Personal income","1958","378,953"
"1","Personal income","1959","402,865"
"1","Personal income","1960","422,138"
"1","Personal income","1961","440,576"
"1","Personal income","1962","468,837"
"1","Personal income","1963","492,774"
"1","Personal income","1964","528,193"
"1","Personal income","1965","570,659"
"1","Personal income","1966","620,339"
"1","Personal income","1967","665,723"
"1","Personal income","1968","730,915"
"1","Personal income","1969","800,336"
"1","Personal income","1970","865,045"
"1","Personal income","1971","932,785"
"1","Personal income","1972","1,024,456"
"1","Personal income","1973","1,140,780"
"1","Personal income","1974","1,251,819"
"1","Personal income","1975","1,369,389"
"1","Personal income","1976","1,502,647"
"1","Personal income","1977","1,659,236"
"1","Personal income","1978","1,863,721"
"1","Personal income","1979","2,082,709"
"1","Personal income","1980","2,324,458"
"1","Personal income","1981","2,603,200"
"1","Personal income","1982","2,789,461"
"1","Personal income","1983","2,981,716"
"1","Personal income","1984","3,288,674"
"1","Personal income","1985","3,522,893"
"1","Personal income","1986","3,731,193"
"1","Personal income","1987","3,946,806"
"1","Personal income","1988","4,280,021"
"1","Personal income","1989","4,621,012"
"1","Personal income","1990","4,913,303"
"1","Personal income","1991","5,089,913"
"1","Personal income","1992","5,417,494"
"1","Personal income","1993","5,652,865"
"1","Personal income","1994","5,940,921"
"1","Personal income","1995","6,283,359"
"1","Personal income","1996","6,666,199"
"1","Personal income","1997","7,073,974"
"1","Personal income","1998","7,588,358"
"1","Personal income","1999","7,978,599"
"1","Personal income","2000","8,621,299"
"1","Personal income","2001","8,993,143"
"1","Personal income","2002","9,150,049"
"1","Personal income","2003","9,481,755"
"1","Personal income","2004","10,015,873"
"1","Personal income","2005","10,546,102"
"1","Personal income","2006","11,301,996"
"1","Personal income","2007","11,932,119"
"1","Personal income","2008","12,425,679"
"1","Personal income","2009","12,065,682"
"1","Personal income","2010","12,556,628"
"1","Personal income","2011","13,309,571"
"1","Personal income","2012","13,917,794"
"1","Personal income","2013","14,068,770"
"1","Personal income","2014","14,784,074"
"1","Personal income","2015","15,473,741"
"1","Personal income","2016","15,887,651"
"1","Personal income","2017","16,662,756"
"1","Personal income","2018","17,528,192"
"1","Personal income","2019","18,363,160"
"1","Personal income","2020","19,631,652"
"1","Personal income","2021","21,498,910"
"1","Personal income","2022","22,153,803"
"1","Personal income","2023","23,585,016"
"1","Personal income","2024","24,905,900"
"1","Personal income","2025","26,115,883"
"2","Compensation of employees","1929","51,408"
"2","Compensation of employees","1930","47,167"
"2","Compensation of employees","1931","40,071"
"2","Compensation of employees","1932","31,339"
"2","Compensation of employees","1933","29,787"
"2","Compensation of employees","1934","34,553"
"2","Compensation of employees","1935","37,667"
"2","Compensation of employees","1936","43,289"
"2","Compensation of employees","1937","48,310"
"2","Compensation of employees","1938","45,412"
"2","Compensation of employees","1939","48,553"
"2","Compensation of employees","1940","52,749"
"2","Compensation of employees","1941","66,187"
"2","Compensation of employees","1942","88,036"
"2","Compensation of employees","1943","112,698"
"2","Compensation of employees","1944","124,321"
"2","Compensation of employees","1945","126,304"
"2","Compensation of employees","1946","122,485"
"2","Compensation of employees","1947","132,361"
"2","Compensation of employees","1948","144,313"
"2","Compensation of employees","1949","144,334"
"2","Compensation of employees","1950","158,269"
"2","Compensation of employees","1951","185,705"
"2","Compensation of employees","1952","201,088"
"2","Compensation of employees","1953","215,245"
"2","Compensation of employees","1954","214,139"
"2","Compensation of employees","1955","230,571"
"2","Compensation of employees","1956","249,275"
"2","Compensation of employees","1957","262,576"
"2","Compensation of employees","1958","264,670"
"2","Compensation of employees","1959","285,829"
"2","Compensation of employees","1960","301,283"
"2","Compensation of employees","1961","310,422"
"2","Compensation of employees","1962","332,202"
"2","Compensation of employees","1963","350,408"
"2","Compensation of employees","1964","375,975"
"2","Compensation of employees","1965","405,415"
"2","Compensation of employees","1966","449,249"
"2","Compensation of employees","1967","481,790"
"2","Compensation of employees","1968","530,751"
"2","Compensation of employees","1969","584,458"
"2","Compensation of employees","1970","623,347"
"2","Compensation of employees","1971","664,995"
"2","Compensation of employees","1972","731,333"
"2","Compensation of employees","1973","812,683"
"2","Compensation of employees","1974","887,715"
"2","Compensation of employees","1975","947,230"
"2","Compensation of employees","1976","1,048,347"
"2","Compensation of employees","1977","1,165,825"
"2","Compensation of employees","1978","1,316,765"
"2","Compensation of employees","1979","1,477,231"
"2","Compensation of employees","1980","1,622,247"
"2","Compensation of employees","1981","1,792,525"
"2","Compensation of employees","1982","1,892,983"
"2","Compensation of employees","1983","2,012,489"
"2","Compensation of employees","1984","2,215,872"
"2","Compensation of employees","1985","2,387,324"
"2","Compensation of employees","1986","2,542,063"
"2","Compensation of employees","1987","2,722,405"
"2","Compensation of employees","1988","2,947,987"
"2","Compensation of employees","1989","3,139,601"
"2","Compensation of employees","1990","3,340,373"
"2","Compensation of employees","1991","3,450,516"
"2","Compensation of employees","1992","3,668,246"
"2","Compensation of employees","1993","3,817,290"
"2","Compensation of employees","1994","4,006,192"
"2","Compensation of employees","1995","4,198,088"
"2","Compensation of employees","1996","4,416,942"
"2","Compensation of employees","1997","4,708,818"
"2","Compensation of employees","1998","5,071,138"
"2","Compensation of employees","1999","5,402,682"
"2","Compensation of employees","2000","5,847,146"
"2","Compensation of employees","2001","6,038,348"
"2","Compensation of employees","2002","6,135,115"
"2","Compensation of employees","2003","6,353,606"
"2","Compensation of employees","2004","6,719,488"
"2","Compensation of employees","2005","7,066,107"
"2","Compensation of employees","2006","7,479,676"
"2","Compensation of employees","2007","7,878,475"
"2","Compensation of employees","2008","8,056,826"
"2","Compensation of employees","2009","7,759,019"
"2","Compensation of employees","2010","7,925,369"
"2","Compensation of employees","2011","8,226,175"
"2","Compensation of employees","2012","8,567,363"
"2","Compensation of employees","2013","8,835,039"
"2","Compensation of employees","2014","9,250,208"
