year,govt_consumption_pct_gdp,industry_va_pct_gdp,manufacturing_va_pct_gdp,services_va_pct_gdp
1972,14.75,34.34,24.33,51.21
1973,14.50,33.88,24.04,52.67
1974,16.32,36.12,25.70,54.05
1975,17.43,34.36,23.26,54.46
1976,16.28,35.32,24.65,52.65
1977,17.46,35.67,24.92,53.76
1978,18.74,35.16,25.19,54.81
1979,18.46,34.63,24.88,52.78
1980,19.55,34.59,24.86,54.34
1981,19.19,36.03,26.04,54.11
1982,19.13,36.94,26.62,54.64
1983,18.28,36.01,25.88,55.22
1984,17.67,35.82,25.75,54.23
1985,17.86,33.69,23.13,57.69
1986,17.72,31.41,21.41,58.78
1987,17.54,28.78,19.39,58.32
1988,17.59,27.77,18.74,59.84
1989,17.80,27.70,18.62,58.59
1990,18.45,26.54,17.79,60.34
1991,18.69,25.99,17.86,60.07
1992,18.85,25.96,17.91,60.25
1993,17.73,25.97,17.94,59.65
1994,16.79,26.54,18.45,59.57
1995,16.80,25.72,17.70,60.43
