"date","value"
"1960-01-01","5536098360.49526"
"1961-01-01","5721994864.23066"
"1962-01-01","6133158532.21667"
"1963-01-01","6699741645.07827"
"1964-01-01","7340766415.01868"
"1965-01-01","5706251400.19577"
"1966-01-01","5917437693.37459"
"1967-01-01","6016017227.09124"
"1968-01-01","5228045415.27318"
"1969-01-01","5814357708.51005"
"1970-01-01","6495605330.94411"
"1971-01-01","7911136757.06867"
"1972-01-01","9567331064.65727"
"1973-01-01","12802281897.8712"
"1974-01-01","13940981798.1247"
"1975-01-01","12861983284.3912"
"1976-01-01","13604832424.0062"
"1977-01-01","15446825318.4556"
"1978-01-01","18530518394.6488"
"1979-01-01","20731243113.2926"
"1980-01-01","23244547384.6748"
"1981-01-01","24417617184.2478"
"1982-01-01","24164603058.9949"
"1983-01-01","24309279705.5731"
"1984-01-01","21665975318.8842"
"1985-01-01","24679795396.4194"
"1986-01-01","30604668356.5695"
"1987-01-01","40376354069.9474"
"1988-01-01","45176811594.2029"
"1989-01-01","43920222524.7085"
"1990-01-01","45495129385.0475"
"1991-01-01","42745329732.163"
"1992-01-01","41649829859.6342"
"1993-01-01","46775620817.4327"
"1994-01-01","55314732279.1379"
"1995-01-01","63918703506.9075"
"1996-01-01","70140835299.0148"
"1997-01-01","66075143415.4952"
"1998-01-01","56227169851.0448"
"1999-01-01","58762260625.8758"
"2000-01-01","52623281956.7031"
