Category,Year,Value,Unit,Source_Page,Notes
Working_Class_Share,1964-2010 Average,81.3,%,Page 6,"Average over 1964-2010 with std dev 0.88"
Supervisors_Share,1964-2010 Average,18.7,%,Page 6,"Managers-plus-capitalists, stable over 47 years"
Unproductive_Labor_Employment,1964,42.0,%,Page 6,"Approx 42% of total employment"
Unproductive_Labor_Employment,2003,49.0,%,Page 6,"Peak around 49%"
Unproductive_Labor_Employment,2010,47.5,%,Page 6,"Fell back to 47.5%"
Unproductive_Wages_Share,1964,50.7,% of total wages,Page 6,"50.7% of all wages"
Unproductive_Wages_Share,2007,65.5,% of total wages,Page 6,"Peak of 65.5%"
Unproductive_Wages_Share,2010,64.8,% of total wages,Page 6,"Fell back to 64.8%"
Unproductive_WC_Employment,1964,25.1,% of total employment,Page 10,"Unproductive working class"
Unproductive_WC_Employment,2007,30.0,% of total employment,Page 10,"Peak for unproductive WC"
Unproductive_WC_Wages,1964,18.6,% of total wages,Page 10,"Unproductive WC wages"
Unproductive_WC_Wages,1992,16.7,% of total wages,Page 10,"Low point"
Unproductive_WC_Wages,2010,18.1,% of total wages,Page 10,"End of period"
Supervisory_Employment,1964,16.8,% of total employment,Page 10,"Supervisors employment share"
Supervisory_Employment,1991,19.9,% of total employment,Page 10,"Peak supervisory employment"
Supervisory_Employment,2010,17.9,% of total employment,Page 10,"End of period"
Supervisory_Wages,1964,32.1,% of total wages,Page 11,"Just under a third"
Supervisory_Wages,2010,46.7,% of total wages,Page 11,"Nearly 47%"
Unproductive_WC_Share_Value_Added,1964,12.9,% of money value added,Page 12,"Absorbed 12.9% of MVA"
Unproductive_WC_Share_Value_Added,2010,12.9,% of money value added,Page 12,"Continued to absorb 12.9%"
Unproductive_WC_Share_Value_Added,1964-2010 Mean,12.8,% of money value added,Page 12,"Mean 12.8% with std dev 0.34 pp"
Supervisory_Wages_Value_Added,1964,22.1,% of money value added,Page 12,"Supervisors absorbed 22.1%"
Supervisory_Wages_Value_Added,2000,35.5,% of money value added,Page 12,"Peak of 35.5%"
Productive_Labor_Employment,1964,58.0,% of total employment,Page 13,"Productive labor share"
Productive_Labor_Employment,1989,52.0,% of total employment,Page 13,"Fell to just over 52%"
Productive_Wages_Share,1970,47.6,% of total wages,Page 13,"Low in 1970"
Productive_Wages_Share,1966,50.6,% of total wages,Page 13,"High in 1966"
Productive_Wages_Share,1979,47.4,% of total wages,Page 13,"Fell to 47.4%"
Productive_Wages_Share,1992,37.4,% of total wages,Page 13,"Collapsed to ~37.4%"
Productive_Wages_Share,2000,35.2,% of total wages,Page 13,"Fell to 35.2%"
Productive_Labor_Wage_Share_VA,1964,36.0,% of MVA (approx),Page 14 Fig 6,"Value of labor-power ~36% (from graph)"
Productive_Labor_Wage_Share_VA,1979,36.0,% of MVA (approx),Page 14,"Approximately constant 1964-1979"
Productive_Labor_Wage_Share_VA,2007,26.0,% of MVA (approx),Page 14,"Fell by almost 10 pp"
Exploitation_Rate_Implication,1964,1.78,e=(1-λlp)/λlp,Derived,"If λlp=0.36 then e≈1.78"
Exploitation_Rate_Implication,1979,1.78,e=(1-λlp)/λlp,Derived,"Approximately constant"
Exploitation_Rate_Implication,2007,2.85,e=(1-λlp)/λlp,Derived,"If λlp=0.26 then e≈2.85"
World_GDP,1969,14.9,Trillion 2005$,Page 5,"World GDP in 2005 prices"
World_GDP,2010,50.8,Trillion 2005$,Page 5,"Increased to $50.8T"
US_Share_World_GDP,1969,28.6,%,Page 5,"US share of world GDP"
US_Share_World_GDP,2010,25.8,%,Page 5,"Fell slightly"
US_Trade_Openness,1964,12.9,% (X+M)/Y,Page 6,"Exports plus imports to VA"
US_Trade_Openness,2010,42.5,% (X+M)/Y,Page 6,"Grew to 42.5%"
US_Net_Exports,1964-2010 Mean,-2.41,% of VA,Page 6,"Average with std dev 2.72%"
Marxian_VA_Ratio,1964-2007 Mean,108.41,% of price VA,Page 5,"Shaikh-Tonak MVA / Price VA"
Marxian_VA_Ratio,1964-2007 Std Dev,0.83,percentage points,Page 5,"Standard deviation"
