series,subseries,year,source_type,source_table,source_line_or_column,citation,provenance_class_raw,workpackage,note
S201,S201-A,1958,identity,S503-A / NIPA-1.7.5 GDP (recomputed),component_identity,S503-A / NIPA-1.7.5 GDP (recomputed),component_identity,WP-D,PASS; abs_err=0.0; anchor_value=0.838831408747187
S201,S201-A,1989,identity,S503-A / NIPA-1.7.5 GDP (recomputed),component_identity,S503-A / NIPA-1.7.5 GDP (recomputed),component_identity,WP-D,PASS; abs_err=0.0; anchor_value=0.7734659439376912
S201,S503-A(num),1958,book,KB v2 benchmark_reconciled.csv GFP_star (Table 5.3),book_anchor,KB v2 benchmark_reconciled.csv GFP_star (Table 5.3),book_anchor,WP-D,PASS; abs_err=0.0; anchor_value=403.67
S201,S503-A(num),1963,book,KB v2 benchmark_reconciled.csv GFP_star (Table 5.3),book_anchor,KB v2 benchmark_reconciled.csv GFP_star (Table 5.3),book_anchor,WP-D,PASS; abs_err=0.0; anchor_value=523.74
S201,S503-A(num),1967,book,KB v2 benchmark_reconciled.csv GFP_star (Table 5.3),book_anchor,KB v2 benchmark_reconciled.csv GFP_star (Table 5.3),book_anchor,WP-D,PASS; abs_err=0.0; anchor_value=699.15
S201,S503-A(num),1972,book,KB v2 benchmark_reconciled.csv GFP_star (Table 5.3),book_anchor,KB v2 benchmark_reconciled.csv GFP_star (Table 5.3),book_anchor,WP-D,PASS; abs_err=0.0; anchor_value=1014.08
S201,S503-A(num),1977,book,KB v2 benchmark_reconciled.csv GFP_star (Table 5.3),book_anchor,KB v2 benchmark_reconciled.csv GFP_star (Table 5.3),book_anchor,WP-D,PASS; abs_err=0.0; anchor_value=1690.83
S401,spectral radius rebuilt A,1947,BEA,io_matrices_rebuilt 1947_A_rebuilt.csv,,io_matrices_rebuilt 1947_A_rebuilt.csv,matrix_internal,WP-C,old value 0.978708 (column-share artifact)
S401,spectral radius rebuilt A,1967,pipeline,rebuilt (1967 was the only correct year in the old cache: old 0.4945),,rebuilt (1967 was the only correct year in the old cache: old 0.4945),matrix_internal,WP-C,
S401,spectral radius rebuilt A,2017,BEA,rebuilt from BEA Total Requirements (A = I - L^-1),,rebuilt from BEA Total Requirements (A = I - L^-1),matrix_internal_official,WP-C,
S402,mean TR column multiplier,1947,pipeline,rebuilt L colsums (live columns),,rebuilt L colsums (live columns),matrix_internal,WP-C,old Frobenius-norm value 79.94
S402,mean TR column multiplier,1977,pipeline,rebuilt L,,rebuilt L,matrix_internal,WP-C,old 98.94; defective-cache multipliers ~70x
S402,mean TR column multiplier,2017,BEA,BEA published Total Requirements IxI Summary 2017 (official),,BEA published Total Requirements IxI Summary 2017 (official),official_bea,WP-C,
S503,S503-A,1948,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1949,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1950,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1951,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1952,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1953,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1954,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1955,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1956,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1957,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1958,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1959,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1960,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1961,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1962,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1963,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1964,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1965,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1966,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1967,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1968,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
