,"Constant Capital (C*_m) — S&T 1994; billions_usd; period=[1948, 1989]; series_status=validated_book_and_extension","Constant Capital (C*_m) — ; billions_usd; period=[1948, 2024]; series_status=validated_book_and_extension","Constant Capital (C*_m) — BEA GDPbyIndustry; billions_usd; period=[1997, 2024]; series_status=validated_book_and_extension"
Year,S502-A,S502-COMBINED,S502-EXT
1948,198.47,198.47,nan
1949,189.06,189.06,nan
1950,212.56,212.56,nan
1951,244.59,244.59,nan
1952,254.35,254.35,nan
1953,268.66,268.66,nan
1954,261.36,261.36,nan
1955,287.18,287.18,nan
1956,303.11,303.11,nan
1957,314.63,314.63,nan
1958,308.0,308.0,nan
1959,334.93,334.93,nan
1960,343.72,343.72,nan
1961,347.54,347.54,nan
1962,371.4,371.4,nan
1963,389.68,389.68,nan
1964,412.31,412.31,nan
1965,447.41,447.41,nan
1966,483.74,483.74,nan
1967,500.66,500.66,nan
1968,545.14,545.14,nan
1969,586.54,586.54,nan
1970,602.47,602.47,nan
1971,644.7,644.7,nan
1972,714.33,714.33,nan
1973,837.4,837.4,nan
1974,926.56,926.56,nan
1975,1023.78,1023.78,nan
1976,1187.33,1187.33,nan
1977,1367.27,1367.27,nan
1978,1545.89,1545.89,nan
1979,1710.49,1710.49,nan
1980,1851.27,1851.27,nan
1981,2078.34,2078.34,nan
1982,2114.61,2114.61,nan
1983,2235.61,2235.61,nan
1984,2497.25,2497.25,nan
1985,2618.65,2618.65,nan
1986,2664.48,2664.48,nan
1987,2808.66,2808.66,nan
1988,3122.99,3122.99,nan
1989,3278.25,3278.25,nan
1990,nan,3355.011886423566,nan
1991,nan,3433.571191350084,nan
1992,nan,3513.9700022454213,nan
1993,nan,3596.2513920748115,nan
1994,nan,3680.4594423787953,nan
1995,nan,3766.639266889561,nan
1996,nan,3854.837035700212,nan
1997,nan,3945.1,3945.1
1998,nan,3977.3,3977.3
1999,nan,4186.700000000001,4186.700000000001
2000,nan,4504.799999999999,4504.799999999999
2001,nan,4379.200000000001,4379.200000000001
2002,nan,4238.599999999999,4238.599999999999
2003,nan,4402.0,4402.0
2004,nan,4833.9,4833.9
2005,nan,5436.000000000001,5436.000000000001
2006,nan,5729.1,5729.1
2007,nan,6098.499999999999,6098.499999999999
2008,nan,6399.099999999999,6399.099999999999
2009,nan,4944.0,4944.0
2010,nan,5684.499999999999,5684.499999999999
2011,nan,6471.3,6471.3
2012,nan,6751.1,6751.1
2013,nan,7029.6,7029.6
2014,nan,7345.5,7345.5
2015,nan,6866.6,6866.6
2016,nan,6719.7,6719.7
2017,nan,7069.900000000001,7069.900000000001
2018,nan,7618.0,7618.0
2019,nan,7511.0,7511.0
2020,nan,6838.9,6838.9
2021,nan,8409.899999999998,8409.899999999998
2022,nan,9804.499999999998,9804.499999999998
2023,nan,9348.499999999998,9348.499999999998
2024,nan,9367.3,9367.3
