,"Labor Values — S&T 1994; hr_per_dollar; period=[1947, 1977]; series_status=validated_book_and_extension","Labor Values — S&T 1994 + BLS/BEA; hr_per_dollar; period=[1947, 2024]; series_status=validated_book_and_extension","Labor Values — BLS CES + BEA; hr_per_dollar; period=[1990, 2025]; series_status=validated_book_and_extension","Labor Values — BLS CES + rebuilt 1977 BEA I-O (A and nominal X both frozen); hr_per_dollar; period=[1990, 2024]; series_status=validated_book_and_extension"
Year,S701-A,S701-COMBINED,S701-EXT,S701-VAR-FROZEN77
1958,0.1260823635190446,0.1260823635190446,nan,nan
1963,0.1039956210840949,0.1039956210840949,nan,nan
1967,0.1641469546041618,0.1641469546041618,nan,nan
1972,0.095403076041572,0.095403076041572,nan,nan
1977,0.0608876539454238,0.0608876539454238,nan,nan
1990,nan,0.0255993558769199,0.0255993558769199,0.073907450801894
1991,nan,0.0247343686588675,0.0247343686588675,0.0732216415906309
1992,nan,0.0236751534389642,0.0236751534389642,0.0740088580254662
1993,nan,0.0231842274492332,0.0231842274492332,0.0759713825955906
1994,nan,0.022452573842494,0.022452573842494,0.0788402506175817
1995,nan,0.0216077695286821,0.0216077695286821,0.0806485860361765
1996,nan,0.0207715619900107,0.0207715619900107,0.0820741807270245
1997,nan,0.0199832864761758,0.0199832864761758,0.0846377353807253
1998,nan,0.0195523794980985,0.0195523794980985,0.0859959599022673
1999,nan,0.018658295302941,0.018658295302941,0.0867002035188856
2000,nan,0.0175010195787817,0.0175010195787817,0.0878487789364593
2001,nan,0.0169814385642684,0.0169814385642684,0.0869216749937952
2002,nan,0.0158716398224715,0.0158716398224715,0.0856709658324764
2003,nan,0.0147940457349486,0.0147940457349486,0.0844980684941075
2004,nan,0.0139744375975309,0.0139744375975309,0.0857730599501091
2005,nan,0.0131313816647243,0.0131313816647243,0.0875713122913778
2006,nan,0.0125833427310918,0.0125833427310918,0.0897641315717489
2007,nan,0.0123537805203684,0.0123537805203684,0.0911244328211073
2008,nan,0.0116790813695759,0.0116790813695759,0.0909561538288823
2009,nan,0.0118911927442822,0.0118911927442822,0.0860103040650648
2010,nan,0.0110908117575983,0.0110908117575983,0.0864524534940528
2011,nan,0.0105492746158743,0.0105492746158743,0.0885155359624041
2012,nan,0.0104478409444461,0.0104478409444461,0.090791196298288
2013,nan,0.0102907276392995,0.0102907276392995,0.0920475357948211
2014,nan,0.0101038168082558,0.0101038168082558,0.0939467632778699
2015,nan,0.0103882582371973,0.0103882582371973,0.0959745806676325
2016,nan,0.010435111720538,0.010435111720538,0.0975536672393442
2017,nan,0.009786893477124,0.009786893477124,0.0996403455173038
2018,nan,0.0094359621446054,0.0094359621446054,0.1020837752941722
2019,nan,0.0093229057236704,0.0093229057236704,0.1034304152140914
2020,nan,0.0095082620493125,0.0095082620493125,0.0965038110680663
2021,nan,0.0084959652636073,0.0084959652636073,0.100100864013814
2022,nan,0.0077328828008668,0.0077328828008668,0.1040754553538339
2023,nan,0.0076582608016077,0.0076582608016077,0.1067649114028618
2024,nan,0.0073967922743262,0.0073967922743262,0.1086823606418165
