series,display_name,publish,prov_rows,prov_years,data_years,year_coverage_pct
S201,Marxian gross final product as a share of GDP,True,7,6,42,14.3
S401,Input-output A-matrix (technical-coefficient summary),False,3,3,11,27.3
S402,Input-output B-matrix / Leontief inverse (summary),False,3,3,11,27.3
S501,Total product (TP*),True,0,0,77,0.0
S502,Constant capital flow (C*m),True,0,0,77,0.0
S503,Gross final product (GFP* = TP* - C*m),True,80,77,77,100.0
S504,Variable capital (V*),True,79,77,77,100.0
S505,Surplus value (S* = VA* - V*),True,77,77,77,100.0
S506,Rate of exploitation (e = S*/V*),True,78,71,77,92.2
S507,Surplus share of net product (S*/(S*+V*)),True,0,0,42,0.0
S508,Productive consumption (CON*),True,0,0,42,0.0
S509,Productive investment (IG*),True,0,0,42,0.0
S510,Value composition of capital (K/V*),True,0,0,42,0.0
S511,Productive labor share (Lp/L),True,77,77,77,100.0
S512,Productive wage share (V*/W),True,82,77,77,100.0
S513,Marxian profit rate (r* = S*/(K*+V*)),True,1,1,77,1.3
S514,Capacity-adjusted profit rate (r*_adj),True,0,0,58,0.0
S515,Productive employment (Lp),True,77,77,77,100.0
S516,Unproductive employment (Lu = L - Lp),True,77,77,77,100.0
S517,Productive capital stock (K*),True,0,0,77,0.0
S601,Personal income taxes paid by workers,True,1,1,38,2.6
S602,Social insurance taxes paid by workers,True,1,1,38,2.6
S603,Property taxes paid by workers,True,1,1,38,2.6
S604,Total taxes paid by workers,True,1,1,38,2.6
S605,Government cash benefits received by workers,True,1,1,38,2.6
S606,Government services received by workers,True,1,0,38,0.0
S607,Net social wage,True,1,1,74,1.4
S608,"Net transfer normalized to variable capital (book Table N.2, NtrV*/V* = net transfer rate)",True,5,5,38,13.2
S609,Net social wage as a share of national income,True,0,0,38,0.0
S617,Employee compensation,True,1,1,42,2.4
S701,Labor values,True,9,8,40,20.0
S702,Prices of production,True,5,5,38,13.2
S703,Labor-coefficient partition gap (unproductive vs productive),True,7,6,38,13.2
S801,Cross-study comparison of the exploitation rate,True,4,2,42,4.8
S901,Summary of key Marxian indicators,True,12,3,42,7.1
XS001,Social burden rate,True,5,5,42,11.9
XS002,Rate of surplus value S*/V* at I-O benchmark years (Khanjian deviation-analysis basis),True,10,5,5,100.0
XS003,Unproductive exploitation rate,True,5,2,42,4.8
XS004,Marxian productivity index,True,4,4,42,9.5
XS1001,"Labor portion of total taxes, United States (Tonak 1984)",True,4,4,29,13.8
XS1002,"Net tax paid by labor, United States (Tonak 1984)",True,3,3,29,10.3
XS1101,"Net transfer rate, United States (Shaikh & Tonak 1987)",True,2,2,38,5.3
XS1102,"Social benefit rate, United States (Shaikh & Tonak 1987)",True,3,3,38,7.9
XS1103,"Social tax rate, United States (Shaikh & Tonak 1987)",True,3,3,38,7.9
XS1201,"Net social wage as a share of GDP, United States (Shaikh & Tonak 2002)",True,3,3,74,4.1
XS1202,"Net social wage as a share of employee compensation, United States (Shaikh & Tonak 2002)",True,3,3,74,4.1
XS1301,"Net social wage as a share of GDP, extended, United States (Moos 2017)",True,1,0,54,0.0
XS1302,"Net social wage as a share of employee compensation, extended, United States (Moos 2017)",True,1,0,54,0.0
XS1304,"Net social wage / GDP, Moos-vs-Shaikh-Tonak overlap 1959-1997, United States (Moos 2017)",True,1,0,54,0.0
XS1305,"Net social wage / GDP with post-2000 regime shift, United States (Moos 2017)",True,1,0,54,0.0
XS1401,"Rate of exploitation, Mohun classification, United States (Mohun 2005)",True,1,1,42,2.4
XS1402,"Productive labour share of employment, Mohun classification, United States (Mohun 2005)",True,1,1,42,2.4
XS1403,"Variable capital (productive wage bill), Mohun classification, United States (Mohun 2005)",True,1,1,42,2.4
XS1404,"Ratio of Shaikh-Tonak to Mohun exploitation rate, United States (Mohun 2005)",True,3,2,42,4.8
XS1501,"Working-class unproductive labour, United States (Mohun 2013)",True,2,2,42,4.8
XS1502,"Managerial (supervisory) unproductive labour, United States (Mohun 2013)",True,2,2,42,4.8
XS1503,"Total unproductive labour, United States (Mohun 2013)",True,2,2,42,4.8
XS1504,"Unproductive burden ratio (Lu/Lp), United States (Mohun 2013)",True,2,2,42,2.4
XS1601,"Labour share of GDP, Turkey (Karabacak & Tonak 2022)",False,3,2,40,5.0
XS1602,"Net social wage relative to GDP, Turkey (Karabacak & Tonak 2022)",False,3,2,30,6.7
XS1701,"Surplus share of total value (s/TV), New Zealand (Cronin 2001)",True,4,4,24,16.7
XS1702,"Rate of surplus value (s/v), New Zealand (Cronin 2001)",True,4,4,24,16.7
XS1703,"Value composition of capital (c/v), New Zealand (Cronin 2001)",True,4,4,24,16.7
XS1704,"Total value (c+v+s), New Zealand (Cronin 2001)",True,4,4,24,16.7
