,"Unproductive Exploitation Rate — ; ratio; period=[1948, 2024]; series_status=book_period_validated"
Year,XS003-A
1948,1.3654867256637169
1949,1.388157894736842
1950,1.4484821428571424
1951,1.5721495327102808
1952,1.5443925233644862
1953,1.5116666666666667
1954,1.5508108108108107
1955,1.61
1956,1.5794495412844034
1957,1.615779816513761
1958,1.6845945945945942
1959,1.7156880733944957
1960,1.6909999999999998
1961,1.7520183486238523
1962,1.7792660550458712
1963,1.7883486238532105
1964,1.808
1965,1.8682242990654203
1966,1.8766037735849053
1967,1.8682242990654203
1968,1.8497196261682245
1969,1.8112264150943396
1970,1.7775
1971,1.8497196261682245
1972,1.84625
1973,1.8817821782178217
1974,1.835436893203884
1975,2.018529411764706
1976,2.018529411764706
1977,2.069
1978,2.1013265306122446
1979,2.1246875
1980,2.07
1981,2.1922448979591835
1982,2.1268316831683167
1983,2.2528571428571427
1984,2.361875
1985,2.3986597938144327
1986,2.4
1987,2.3858
1988,2.3326732673267325
1989,2.4056
