,"Prices of Production — S&T 1994; labor_value_units; period=[1947, 1977]; series_status=validated_book_and_extension","Prices of Production — S&T 1994 + BLS/BEA; labor_value_units; period=[1947, 2024]; series_status=validated_book_and_extension","Prices of Production — BLS CES + BEA; labor_value_units; period=[1990, 2025]; series_status=validated_book_and_extension","Prices of Production — BLS CES + rebuilt 1977 BEA I-O (A and nominal X both frozen); labor_value_units; period=[1990, 2024]; series_status=validated_book_and_extension"
Year,S702-A,S702-COMBINED,S702-EXT,S702-VAR-FROZEN77
1958,nan,nan,nan,nan
1963,nan,nan,nan,nan
1967,0.040276449815129,0.040276449815129,nan,nan
1972,0.0700467161716925,0.0700467161716925,nan,nan
1977,0.0478280113031453,0.0478280113031453,nan,nan
1990,nan,0.0204149045534999,0.0204149045534999,0.0677115821909633
1991,nan,0.0192214288714607,0.0192214288714607,0.0663052083414151
1992,nan,0.0182320148676809,0.0182320148676809,0.067057379397114
1993,nan,0.0178588025025679,0.0178588025025679,0.0693866735065774
1994,nan,0.0175619841311453,0.0175619841311453,0.0727791781949506
1995,nan,0.0171500938342048,0.0171500938342048,0.0754172029826658
1996,nan,0.0165858027130644,0.0165858027130644,0.077970715818635
1997,nan,0.0160907931984493,0.0160907931984493,0.0817524307630049
1998,nan,0.0154256321600575,0.0154256321600575,0.0851488822051715
1999,nan,0.0147148062694369,0.0147148062694369,0.0882974684048997
2000,nan,0.0139353115592608,0.0139353115592608,0.0907120908170696
2001,nan,0.013705561612471,0.013705561612471,0.0892756370314209
2002,nan,0.0131298098910866,0.0131298098910866,0.0872854262178332
2003,nan,0.0122922461672396,0.0122922461672396,0.0864402180611342
2004,nan,0.0115500822472932,0.0115500822472932,0.0881016067221644
2005,nan,0.0110588729642426,0.0110588729642426,0.0909226006000606
2006,nan,0.0107471972434378,0.0107471972434378,0.0941969541619875
2007,nan,0.0107236378482528,0.0107236378482528,0.0961520694055011
2008,nan,0.0106222736800593,0.0106222736800593,0.0951183638672155
2009,nan,0.0105947583078732,0.0105947583078732,0.0889003654430743
2010,nan,0.0100939172748274,0.0100939172748274,0.0898019203955526
2011,nan,0.0099116615825208,0.0099116615825208,0.0925396639664454
2012,nan,0.0094982787125001,0.0094982787125001,0.0953615617107866
2013,nan,0.0092387276224134,0.0092387276224134,0.0976338953247966
2014,nan,0.0088870291813923,0.0088870291813923,0.1001045848513813
2015,nan,0.0085931121515957,0.0085931121515957,0.101918903362487
2016,nan,0.0083380370660362,0.0083380370660362,0.1032466368543564
2017,nan,0.0081349455370454,0.0081349455370454,0.1050771838478098
2018,nan,0.0077828906044046,0.0077828906044046,0.1065038069672278
2019,nan,0.0074925616124075,0.0074925616124075,0.1074185276991728
2020,nan,0.0071259756178775,0.0071259756178775,0.1031417098147558
2021,nan,0.00649066658344,0.00649066658344,0.107865399191546
2022,nan,0.006097634312329,0.006097634312329,0.1117669939642199
2023,nan,0.0058474412415428,0.0058474412415428,0.1118533437167793
2024,nan,0.0055646997549548,0.0055646997549548,0.1110803137719196
