,"Employee Compensation (EC) — S&T 1994; billions_usd; period=[1948, 1989]; series_status=book_period_validated"
Year,S617-A
1948,142.09
1949,142.0
1950,155.42
1951,181.6
1952,196.35
1953,210.42
1954,209.37
1955,225.92
1956,244.74
1957,257.76
1958,259.76
1959,281.24
1960,296.66
1961,305.56
1962,327.42
1963,345.52
1964,370.99
1965,399.82
1966,442.95
1967,475.52
1968,524.72
1969,578.37
1970,618.29
1971,659.37
1972,726.24
1973,812.83
1974,891.29
1975,948.68
1976,1057.85
1977,1176.62
1978,1329.23
1979,1491.4
1980,1638.22
1981,1807.41
1982,1907.01
1983,2020.7
1984,2213.93
1985,2367.55
1986,2511.4
1987,2689.4
1988,2905.1
1989,3079.0
