,"Surplus Value (S* = VA* - V*) — S&T 1994; billions_usd; period=[1948, 1989]; series_status=book_period_validated","Surplus Value (S* = VA* - V*) — ; billions_usd; period=[1948, 2024]; series_status=book_period_validated","Surplus Value (S* = VA* - V*) — derived; billions_usd; period=[1990, 2025]; series_status=book_period_validated"
Year,S505-A,S505-COMBINED,S505-EXT
1948,149.94,149.94,nan
1949,148.64,148.64,nan
1950,165.26,165.26,nan
1951,188.25,188.25,nan
1952,194.51,194.51,nan
1953,204.52,204.52,nan
1954,208.2,208.2,nan
1955,228.55,228.55,nan
1956,236.97,236.97,nan
1957,250.25,250.25,nan
1958,256.15,256.15,nan
1959,278.42,278.42,nan
1960,286.46,286.46,nan
1961,296.54,296.54,nan
1962,320.2,320.2,nan
1963,337.71,337.71,nan
1964,364.54,364.54,nan
1965,395.0,395.0,nan
1966,430.65,430.65,nan
1967,454.4,454.4,nan
1968,493.63,493.63,nan
1969,523.83,523.83,nan
1970,547.67,547.67,nan
1971,596.7,596.7,nan
1972,645.98,645.98,nan
1973,719.75,719.75,nan
1974,778.25,778.25,nan
1975,867.02,867.02,nan
1976,968.82,968.82,nan
1977,1083.13,1083.13,nan
1978,1221.07,1221.07,nan
1979,1346.24,1346.24,nan
1980,1462.7,1462.7,nan
1981,1668.19,1668.19,nan
1982,1724.68,1724.68,nan
1983,1865.8,1865.8,nan
1984,2101.78,2101.78,nan
1985,2258.68,2258.68,nan
1986,2401.11,2401.11,nan
1987,2563.38,2563.38,nan
1988,2752.81,2752.81,nan
1989,2943.35,2943.35,nan
1990,nan,2994.578224387631,2994.578224387631
1991,nan,2834.3160660365165,2834.3160660365165
1992,nan,2676.248113669418,2676.248113669418
1993,nan,2520.236619680048,2520.236619680048
1994,nan,2366.145379526969,2366.145379526969
1995,nan,2213.839612245989,2213.839612245989
1996,nan,2063.1858419756427,2063.1858419756427
1997,nan,1914.051780391237,1914.051780391237
1998,nan,2028.6915300000005,2028.6915300000005
1999,nan,2105.6740588932457,2105.6740588932457
2000,nan,2218.6484176983167,2218.6484176983167
2001,nan,2207.3756332993744,2207.3756332993744
2002,nan,2254.396810653945,2254.396810653945
2003,nan,2460.4434689767613,2460.4434689767613
2004,nan,2705.511015349668,2705.511015349668
2005,nan,2947.8530514880977,2947.8530514880977
2006,nan,3187.5507239433214,3187.5507239433214
2007,nan,3298.210776358449,3298.210776358449
2008,nan,3300.7882288011456,3300.7882288011456
2009,nan,3118.1966931815427,3118.1966931815427
2010,nan,3360.661275120993,3360.661275120993
2011,nan,3538.51282727184,3538.51282727184
2012,nan,3648.270791948364,3648.270791948364
2013,nan,3872.863592156437,3872.863592156437
2014,nan,4001.195444244884,4001.195444244884
2015,nan,4026.398730761618,4026.398730761618
2016,nan,4014.40742578766,4014.40742578766
2017,nan,4223.3297605148855,4223.3297605148855
2018,nan,4467.134413187936,4467.134413187936
2019,nan,4556.167050252503,4556.167050252503
2020,nan,4395.259223421008,4395.259223421008
2021,nan,5232.533719396706,5232.533719396706
2022,nan,6009.519348545231,6009.519348545231
2023,nan,6256.743375558464,6256.743375558464
2024,nan,6374.819823858421,6374.819823858421
