,"Productive Employment (Lp) — S&T 1994; thousands; period=[1948, 1989]; series_status=book_period_validated","Productive Employment (Lp) — ; thousands; period=[1948, 2024]; series_status=book_period_validated","Productive Employment (Lp) — BLS CES; thousands; period=[1990, 2025]; series_status=book_period_validated"
Year,S515-A,S515-COMBINED,S515-EXT
1948,32994.0,32994.0,nan
1949,31201.0,31201.0,nan
1950,32226.0,32226.0,nan
1951,33123.0,33123.0,nan
1952,32768.0,32768.0,nan
1953,33043.0,33043.0,nan
1954,31230.0,31230.0,nan
1955,31714.0,31714.0,nan
1956,31864.0,31864.0,nan
1957,31433.0,31433.0,nan
1958,29349.0,29349.0,nan
1959,30020.0,30020.0,nan
1960,30047.0,30047.0,nan
1961,29363.0,29363.0,nan
1962,29937.0,30221.248252435747,30221.248252435747
1963,30013.0,30450.393169752733,30450.393169752733
1964,30280.0,31096.617671586748,31096.617671586748
1965,31365.0,32524.44334230564,32524.44334230564
1966,32566.0,34238.15268050255,34238.15268050255
1967,32856.0,34080.87684672286,34080.87684672286
1968,33445.0,34608.24859821956,34608.24859821956
1969,34125.0,35484.812517373946,35484.812517373946
1970,33247.0,34122.8834301754,34122.8834301754
1971,32727.0,33331.129011261706,33331.129011261706
1972,33896.0,34661.40384837041,34661.40384837041
1973,35462.0,36435.236353404616,36435.236353404616
1974,35657.0,35948.67668535707,35948.67668535707
1975,33615.0,32150.16667457676,32150.16667457676
1976,34677.0,33319.18401122781,33319.18401122781
1977,35798.0,34719.33709853483,34719.33709853483
1978,37610.0,36538.36152036397,36538.36152036397
1979,38598.0,37737.63952376756,37737.63952376756
1980,37863.0,35985.30801879437,35985.30801879437
1981,37738.0,35480.63176736208,35480.63176736208
1982,36203.0,32566.44992575819,32566.44992575819
1983,36088.0,31973.380674075037,31973.380674075037
1984,37872.0,34141.59726356185,34141.59726356185
1985,38229.0,34245.916930524574,34245.916930524574
1986,38312.0,33862.88059610418,33862.88059610418
1987,39344.0,34170.46434697711,34170.46434697711
1988,40538.0,34854.912848919594,34854.912848919594
1989,41148.0,35010.5960160281,35010.5960160281
1990,nan,34483.4233478653,34483.4233478653
1991,nan,32552.315009051403,32552.315009051403
1992,nan,31942.920923988582,31942.920923988582
1993,nan,32332.72609176153,32332.72609176153
1994,nan,33446.00009492105,33446.00009492105
1995,nan,34121.688930172015,34121.688930172015
1996,nan,34477.052681180554,34477.052681180554
1997,nan,35235.56018333322,35235.56018333322
1998,nan,35852.91760175198,35852.91760175198
1999,nan,35969.77951875029,35969.77951875029
2000,nan,36175.432602667286,36175.432602667286
2001,nan,34768.90884867551,34768.90884867551
2002,nan,32643.49517597685,32643.49517597685
2003,nan,31324.76717223424,31324.76717223424
2004,nan,31494.58525604953,31494.58525604953
2005,nan,32140.212507881843,32140.212507881843
2006,nan,32966.80651022775,32966.80651022775
2007,nan,32650.46309266329,32650.46309266329
2008,nan,31288.33492213085,31288.33492213085
2009,nan,26654.670325646995,26654.670325646995
2010,nan,25417.56648880271,25417.56648880271
2011,nan,25872.27282342652,25872.27282342652
2012,nan,26432.09515834865,26432.09515834865
2013,nan,26813.33974276397,26813.33974276397
2014,nan,27560.49949488444,27560.49949488444
2015,nan,28113.15482978623,28113.15482978623
2016,nan,28259.68016353541,28259.68016353541
2017,nan,28726.132414859218,28726.132414859218
2018,nan,29578.80633394581,29578.80633394581
2019,nan,29971.597751727222,29971.597751727222
2020,nan,28248.929663504896,28248.929663504896
2021,nan,28821.095165128725,28821.095165128725
2022,nan,30175.658168973023,30175.658168973023
2023,nan,30687.700503759555,30687.700503759555
2024,nan,30643.703086968024,30643.703086968024
