,"Capacity-Adjusted Profit Rate (r*' = r*/u, DIVIDE; stock-form primary) — S&T 1994; rate; period=[1948, 1989]; series_status=validated_book_and_extension","Capacity-Adjusted Profit Rate (r*' = r*/u, DIVIDE; stock-form primary) — ; rate; period=[1967, 1989]; series_status=validated_book_and_extension","Capacity-Adjusted Profit Rate (r*' = r*/u, DIVIDE; stock-form primary) — ; rate; period=[1948, 2024]; series_status=validated_book_and_extension","Capacity-Adjusted Profit Rate (r*' = r*/u, DIVIDE; stock-form primary) — FRED TCU; rate; period=[1990, 2025]; series_status=validated_book_and_extension","Capacity-Adjusted Profit Rate (r*' = r*/u, DIVIDE; stock-form primary) — Derived: S513-FLOW × TCU/100; rate; period=[1967, 2024]; series_status=validated_book_and_extension","Capacity-Adjusted Profit Rate (r*' = r*/u, DIVIDE; stock-form primary) — S&T 1994 Table 5.8 (r*'=r*/u, gross r*); rate; period=[1948, 1989]; series_status=validated_book_and_extension"
Year,S514-A,S514-AMULT,S514-COMBINED,S514-EXT,S514-FLOW,S514-GROSS-A
1948,0.5261509552145317,nan,0.5261509552145317,nan,nan,0.5202185792349726
1949,0.5563199049046276,nan,0.5563199049046276,nan,nan,0.530591846933676
1950,0.4938402645783731,nan,0.4938402645783731,nan,nan,0.4829537152308977
1951,0.4922446560272787,nan,0.4922446560272787,nan,nan,0.4833764713132433
1952,0.4950810436545619,nan,0.4950810436545619,nan,nan,0.4863990317530969
1953,0.4672296816313581,nan,0.4672296816313581,nan,nan,0.4623550901560777
1954,0.4939492404284878,nan,0.4939492404284878,nan,nan,0.4764738191138776
1955,0.4655407187720561,nan,0.4655407187720561,nan,nan,0.454807768845021
1956,0.4447128322763217,nan,0.4447128322763217,nan,nan,0.4338107686562245
1957,0.4586320741706571,nan,0.4586320741706571,nan,nan,0.447949278358635
1958,0.4898771378958338,nan,0.4898771378958338,nan,nan,0.4679453336085772
1959,0.464525451596755,nan,0.464525451596755,nan,nan,0.4491224674151504
1960,0.4664517530027404,nan,0.4664517530027404,nan,nan,0.4512687700460625
1961,0.4760787524867947,nan,0.4760787524867947,nan,nan,0.4607649064144118
1962,0.4704479012227487,nan,0.4704479012227487,nan,nan,0.4587385977957052
