,"ST/Mohun Exploitation Rate Ratio (Mohun 2005) — AS2 cross-validation; ratio; period=[1964, 2001]; series_status=book_period_validated"
Year,XS1404-A
1948,1.0200312443932134
1949,1.0579173727164453
1950,1.06799674924794
1951,1.0636460770367764
1952,1.059895881175947
1953,1.0534517073896346
1954,1.124145535304835
1955,1.157584107143959
1956,1.0971358222519405
1957,1.1081823391201044
1958,1.1832000130357028
1959,1.1916335342703204
1960,1.153115435091207
1961,1.1992162542656752
1962,1.214599278365884
1963,1.186901598410359
1964,1.2344088047326698
1965,1.220549217601784
1966,1.2083209349709862
1967,1.1930177811272205
1968,1.1841761029943183
1969,1.1353230288733958
1970,1.1393572534238845
1971,1.1991333186022337
1972,1.1095510960279655
1973,1.0796917646173678
1974,1.0902899308634035
1975,1.1813255431953524
1976,1.167620706602435
1977,1.1711087634021726
1978,1.1756605520962091
1979,1.0839162813326255
1980,1.1478781321559346
1981,1.1781154182535405
1982,1.2093271176502256
1983,1.1939216811793087
1984,1.210398580169652
1985,1.2542487071696324
1986,1.280479804853722
1987,1.3035747128764466
1988,1.269907797305788
1989,1.3023836027490576
