,"Productive Investment (IG*) — S&T 1994; billions_usd; period=[1948, 1989]; series_status=book_period_validated"
Year,S509-A
1948,44.27
1949,33.55
1950,51.96
1951,56.94
1952,49.73
1953,50.96
1954,49.97
1955,65.31
1956,67.95
1957,66.06
1958,58.4
1959,74.79
1960,72.55
1961,71.27
1962,81.54
1963,86.8
1964,92.94
1965,109.07
1966,120.83
1967,117.28
1968,127.76
1969,142.73
1970,137.31
1971,159.69
1972,187.77
1973,222.71
1974,222.26
1975,198.56
1976,254.84
1977,318.62
1978,387.9
1979,421.18
1980,398.22
1981,485.1
1982,414.52
1983,466.85
1984,626.53
1985,601.72
1986,614.64
1987,651.16
1988,694.94
1989,714.89
