,"Net Transfer Rate (ST 1987) — Shaikh & Tonak 1987; share; period=[1952, 1985]; series_status=book_period_validated"
Year,XS1101-A
1952,-0.0484817927170868
1953,-0.0439554224883566
1954,-0.032686631322539
1955,-0.0435410764872521
1956,-0.0553419955871537
1957,-0.0507697082557418
1958,-0.0271962580843856
1959,-0.0481919357132697
1960,-0.064182902986584
1961,-0.0523795653881398
1962,-0.0595244639912039
1963,-0.0652503473026163
1964,-0.0554699587589962
1965,-0.0538844980241108
1966,-0.0600494412461903
1967,-0.0462060481157469
1968,-0.0502568989175179
1969,-0.0646632778325293
1970,-0.038302414724482
1971,-0.0175735929751126
1972,-0.0308553646177571
1973,-0.0371093586604825
1974,-0.0265595933983327
1975,0.0207164691993085
1976,0.0046586945219075
1977,-0.0078133976984922
1978,-0.020420920382477
1979,-0.0266739305350677
1980,-0.0112702811588187
1981,-0.0232268273385673
1982,-0.0034220061772094
1983,0.0044498936012272
1984,-0.0128515806732823
1985,-0.0180661020886569
1986,-0.0164465238512383
1987,-0.0284915222726258
1988,-0.0324575057657223
1989,-0.0328081519974017
