,"Variable Capital (V*) — S&T 1994; billions_usd; period=[1948, 1989]; series_status=book_period_validated","Variable Capital (V*) — ; billions_usd; period=[1948, 2024]; series_status=book_period_validated","Variable Capital (V*) — BEA NIPA + BLS CES; billions_usd; period=[1990, 2025]; series_status=book_period_validated"
Year,S504-A,S504-COMBINED,S504-EXT
1948,88.41,88.41,nan
1949,85.021,85.021,nan
1950,93.161,93.161,nan
1951,105.912,105.912,nan
1952,111.013,111.013,nan
1953,117.388,117.388,nan
1954,111.952,111.952,nan
1955,120.518,120.518,nan
1956,128.824,128.824,nan
1957,132.999,132.999,nan
1958,127.717,127.717,nan
1959,139.57,139.57,nan
1960,144.23,144.23,nan
1961,146.13,146.13,nan
1962,155.536,155.536,nan
1963,162.758,162.758,nan
1964,171.998,171.998,nan
1965,188.426,188.426,nan
1966,207.068,207.068,nan
1967,216.257,216.257,nan
1968,236.769,236.769,nan
1969,261.216,261.216,nan
1970,270.432,270.432,nan
1971,287.525,287.525,nan
1972,324.303,324.303,nan
1973,370.49,370.49,nan
1974,398.505,398.505,nan
1975,410.75,410.75,nan
1976,459.625,459.625,nan
1977,515.814,515.814,nan
1978,589.202,589.202,nan
1979,664.783,664.783,nan
1980,706.526,706.526,nan
1981,772.351,772.351,nan
1982,786.528,786.528,nan
1983,839.732,839.732,nan
1984,928.68,928.68,nan
1985,967.993,967.993,nan
1986,998.546,998.546,nan
1987,1060.901,1060.901,nan
1988,1146.222,1146.222,nan
1989,1206.396,1206.396,nan
1990,nan,1139.0719999999997,1139.0719999999997
1991,nan,1146.5039999999997,1146.5039999999997
1992,nan,1184.662,1184.662
1993,nan,1229.948,1229.948
1994,nan,1306.013,1306.013
1995,nan,1351.434,1351.434
1996,nan,1396.587,1396.587
1997,nan,1476.643,1476.643
1998,nan,1365.253,1365.253
1999,nan,1440.9059999999995,1440.9059999999995
2000,nan,1535.796,1535.796
2001,nan,1528.679,1528.679
2002,nan,1491.1409999999996,1491.1409999999996
2003,nan,1502.9809999999998,1502.9809999999998
2004,nan,1573.0059999999996,1573.0059999999996
2005,nan,1639.9759999999997,1639.9759999999997
2006,nan,1726.043,1726.043
2007,nan,1790.69,1790.69
2008,nan,1786.265,1786.265
2009,nan,1601.9060000000002,1601.9060000000002
2010,nan,1597.4919999999993,1597.4919999999993
2011,nan,1664.1119999999992,1664.1119999999992
2012,nan,1746.195999999999,1746.195999999999
2013,nan,1797.9949999999997,1797.9949999999997
2014,nan,1897.6219999999996,1897.6219999999996
2015,nan,1981.633,1981.633
2016,nan,2016.496,2016.496
2017,nan,2115.191,2115.191
2018,nan,2237.319,2237.319
2019,nan,2341.646,2341.646
2020,nan,2316.44,2316.44
2021,nan,2467.567,2467.567
2022,nan,2672.614,2672.614
2023,nan,2822.844,2822.844
2024,nan,2976.106,2976.106
