,"Rate of Exploitation (e = S*/V*) — S&T 1994; ratio; period=[1948, 1989]; series_status=book_period_validated","Rate of Exploitation (e = S*/V*) — ; ratio; period=[1948, 2024]; series_status=book_period_validated","Rate of Exploitation (e = S*/V*) — BLS CES + BEA NIPA; ratio; period=[1990, 2025]; series_status=book_period_validated"
Year,S506-A,S506-COMBINED,S506-EXT
1948,1.7,1.7,nan
1949,1.75,1.75,nan
1950,1.77,1.77,nan
1951,1.78,1.78,nan
1952,1.75,1.75,nan
1953,1.74,1.74,nan
1954,1.86,1.86,nan
1955,1.9,1.9,nan
1956,1.84,1.84,nan
1957,1.88,1.88,nan
1958,2.01,2.01,nan
1959,1.99,1.99,nan
1960,1.99,1.99,nan
1961,2.03,2.03,nan
1962,2.06,2.06,nan
1963,2.07,2.07,nan
1964,2.12,2.12,nan
1965,2.1,2.1,nan
1966,2.08,2.08,nan
1967,2.1,2.1,nan
1968,2.08,2.08,nan
1969,2.01,2.01,nan
1970,2.03,2.03,nan
1971,2.08,2.08,nan
1972,1.99,1.99,nan
1973,1.94,1.94,nan
1974,1.95,1.95,nan
1975,2.11,2.11,nan
1976,2.11,2.11,nan
1977,2.1,2.1,nan
1978,2.07,2.07,nan
1979,2.03,2.03,nan
1980,2.07,2.07,nan
1981,2.16,2.16,nan
1982,2.19,2.19,nan
1983,2.22,2.22,nan
1984,2.26,2.26,nan
1985,2.33,2.33,nan
1986,2.4,2.4,nan
1987,2.42,2.42,nan
1988,2.4,2.4,nan
1989,2.44,2.44,nan
1998,nan,1.2699892157201351,1.2699892157201351
1999,nan,1.2489718602413469,1.2489718602413469
2000,nan,1.2346734545048172,1.2346734545048172
2001,nan,1.2341191780648697,1.2341191780648697
2002,nan,1.2921377254425332,1.2921377254425332
2003,nan,1.3991267414901474,1.3991267414901474
2004,nan,1.4699957662955958,1.4699957662955958
2005,nan,1.53626272995572,1.53626272995572
2006,nan,1.5783475856391345,1.5783475856391345
2007,nan,1.574182770292213,1.574182770292213
2008,nan,1.579315616441613,1.579315616441613
2009,nan,1.6636564006679029,1.6636564006679029
2010,nan,1.7979731682775637,1.7979731682775637
2011,nan,1.8173366230510648,1.8173366230510648
2012,nan,1.7856290133639765,1.7856290133639765
2013,nan,1.840945271335736,1.840945271335736
2014,nan,1.802093065959636,1.802093065959636
2015,nan,1.7365636705979277,1.7365636705979277
2016,nan,1.7014580234185193,1.7014580234185193
2017,nan,1.7064853312848964,1.7064853312848964
2018,nan,1.7064684613827663,1.7064684613827663
2019,nan,1.6629360745049804,1.6629360745049804
2020,nan,1.6216629515380458,1.6216629515380458
2021,nan,1.812342349157434,1.812342349157434
2022,nan,1.921766663021468,1.921766663021468
2023,nan,1.894343014848968,1.894343014848968
2024,nan,1.8306978678288908,1.8306978678288908
