year,r_star_pct,r_nipa_pct,capacity_utilization,S_star_dollars,K,GDP,exploitation_rate,surplus_ratio,Lp_L_ratio,marxian_productivity,G_S_ratio
1948,300.7556665855843,4.313356636514841,0.82524,1690713.0174941914,562155,2967298.3851673678,1.3244026293171784,0.5697819356305917,0.5333564893867296,94371.05886102446,0.0341137138019333
1949,333.87300525052376,3.4472136800967808,0.74167925,1940159.404621161,581107,3419247.1816541483,1.3117270217140675,0.5674229739900113,0.531591621533902,99181.1033732443,0.032991232497465
1950,321.91727981787494,3.9726833701590905,0.82813575,2111104.54849044,655791,3709460.8038350022,1.3207972511956307,0.5691135882357586,0.530799097661364,101955.13779537794,0.0314631504382364
1951,351.5453303011401,3.2323628493987298,0.8583183333333334,2509699.6902863546,713905,4393803.164147216,1.3320392033159072,0.571190742171869,0.5311388524482511,111969.74981942958,0.0313342270807816
1952,354.9058276732902,2.94903661501306,0.8535198333333334,2668650.4881403246,751932,4675073.43987052,1.3300538083653164,0.57082536188228,0.5317343209494915,115573.79278401352,0.0335702447353567
1953,367.2700471559952,2.962589641485128,0.8925338333333334,2876675.698653576,783259,5073455.297822083,1.309496728639693,0.5670052320927054,0.5334851592884291,123247.30569462,0.0332901619896961
1954,377.2829837457009,2.875914324862399,0.8010539166666666,3075682.5672618654,815219,5416739.685493358,1.3138007369872855,0.56781066579568,0.5321596860706624,128903.84593996452,0.0309546736107939
1955,354.9180505649061,3.3361104954224645,0.8697613333333334,3154500.9858793686,888797,5602249.022862645,1.2887359884341405,0.563077609189796,0.5335387990716849,132022.1268869378,0.0312687332930102
1956,359.9815287393324,3.237860988231366,0.8613851666666666,3450350.9566607527,958480,6046042.190251585,1.3292609352028355,0.5706792721731203,0.5277439828200297,136692.7256095638,0.0300286119590202
1957,395.8617637493819,3.0045812225381874,0.8361425833333332,3993853.293085152,1008901,6922586.09957203,1.3636796379099951,0.5769308226201852,0.5239193232103524,145082.59441845835,0.0285624537580048
1958,425.61546963060505,2.571518375241779,0.7501955833333334,4400863.955980456,1034000,7652139.828764189,1.3535806028703588,0.5751154650151226,0.5251594474498575,150552.19064000202,0.0281306696226693
1959,448.8656933738218,3.073860969551029,0.8162641666666667,4839068.425927426,1078066,8475394.05496837,1.3307577262280814,0.5709549779683353,0.5303814197266887,156253.27905433814,0.0266269225104634
1960,479.8777631986493,2.877452577648082,0.8013516666666668,5331317.180918562,1110974,9198007.04272972,1.3787806551470805,0.5796165578208093,0.5204777754549207,161166.34514305857,0.0253356244650834
1961,498.24973295867255,2.762313716024931,0.7730950833333334,5718128.182818898,1147643,9985188.010420464,1.3400628099543073,0.5726610432223713,0.5251713723419372,168600.85171636616,0.0254187638599502
1962,500.9278911519331,3.0165215316712386,0.8142910833333333,5962975.486367851,1190386,10381650.89052106,1.3494938960130722,0.5743764213659246,0.5231929507854524,172882.1735262562,0.0263495549091558
1963,518.719235473755,3.1679176843138417,0.8346466666666668,6373674.423613735,1228733,10946554.655745951,1.3937986783095453,0.5822539259207125,0.515149953370684,180342.33217490616,0.0260063879927553
1964,497.81895539246176,3.415150931664256,0.8564734166666667,6541037.404294158,1313939,11301140.06714608,1.374137884743692,0.5787944725426265,0.5197834689516488,185313.48585696853,0.0267600900562176
1965,479.9408775149169,3.802286857235727,0.8953758333333333,6733023.378933916,1402886,11616173.994848292,1.3788277095100718,0.5796248732086807,0.5181498987317729,190005.7115811852,0.0279477345331592
1966,473.6303387280603,3.8205563169395607,0.9113013333333332,7209042.132318834,1522082,12471643.127239766,1.369862951661443,0.5780346710349099,0.519185819038592,197228.4781641925,0.0296630254165564
1967,481.8087689899169,3.459253139720543,0.8715514166666667,7884949.865238378,1636531,13450393.04850804,1.4167694477488173,0.5862244944665763,0.5122484844256726,201338.4281430123,0.0308804119444631
1968,468.7881578870652,3.365693363114054,0.8709925,8460440.215822073,1804747,14541857.610976204,1.3911954510084477,0.5817991375074478,0.5137025327619151,207469.83572745576,0.032325652451103
1969,476.50046378223794,3.041136562669233,0.8666854166666667,9353232.368586186,1962901,15886049.96952328,1.4317302180983171,0.5887701717248763,0.5091673977795361,213451.9170873236,0.0319001750669753
1970,460.22100177499794,2.593140123085134,0.7947939166666668,9761153.983557193,2120971,16587763.467191013,1.429868517740568,0.5884550984141901,0.506693592152561,216657.6398068689,0.0345823096909064
1971,440.2392549762156,2.739955871845583,0.7798388333333334,10357478.135077575,2352693,17933616.71895176,1.367118357249096,0.5775454163761664,0.5199693390341449,226732.21009528235,0.03636336423675
1972,427.7365216748613,2.959771898503161,0.8345174166666667,11095198.78877638,2593933,18811634.68914961,1.4378657364651632,0.5898051377308531,0.5044905758141235,232309.28729452987,0.0377695576237814
1973,376.30810543298,3.4101053958852137,0.8770660833333334,11090097.150513211,2947079,18847122.262987807,1.4296843170816198,0.5884238981296404,0.5077731627449864,238456.50718680595,0.0410276838719076
1974,326.75335031176627,3.2951338344720096,0.8434192500000001,11333443.223097116,3468501,19267003.59965286,1.4285443968622558,0.5882307108356649,0.5082920361255959,242027.71003745805,0.0448953367466514
1975,305.30173030207874,2.865957181562368,0.7359436666666666,11559108.189416882,3786126,19628898.69801808,1.4323925976884513,0.5888821562151114,0.5067268668340631,246398.2542904074,0.051345094299177
1976,293.28741136306064,3.2812948252851317,0.7829800833333332,12227046.596257908,4168964,20629182.449819364,1.455230766243224,0.5927063094235695,0.5031720759570885,253633.13593263668,0.0523511745016088
1977,270.8515720861223,3.37828235893804,0.8238131666666666,12827013.127496067,4735809,21806440.302511703,1.428489020233491,0.5882213212955546,0.5085269313618819,259291.9057771394,0.054189525113216
1978,250.62492460319476,3.5575418236827234,0.8440140833333334,13565482.562775018,5412663,23253155.33258045,1.4002829043788467,0.5833824428880048,0.5118808677694452,263662.3402267856,0.0565253942461403
1979,242.32762391324772,3.5220931416791634,0.8399011666666667,15180560.687968142,6264478,25194835.461463444,1.5158921670640002,0.6025266849306258,0.4911480668442983,268309.27906262176,0.0554593810666874
1980,224.2702103406558,2.905925670647404,0.787342,15963241.836455503,7117861,27090737.8678409,1.43457627766667,0.5892509061336895,0.5043788777310275,277603.48696904833,0.060405415133027
1981,210.48967328161777,2.6043193300317338,0.7705910833333333,16545397.635323731,7860432,27913929.88744144,1.455367963814475,0.5927290676031811,0.5018761222674945,281593.5257863227,0.06568445944628
1982,202.92702743260955,2.1565367080283915,0.7096051666666666,16837269.43721958,8297204,28586077.31095012,1.4331045003184075,0.5890024452837371,0.5057177472087653,288297.16623044224,0.0711098081826333
1983,202.30260685995864,2.274581752343431,0.7355025,17397154.288746946,8599570,29040267.908402875,1.4942011954067884,0.5990700341890798,0.4951043444300815,293059.47946482536,0.0744751830383014
1984,193.3443025594736,2.372023489123096,0.7941946666666666,17618447.36777034,9112473,29492022.77537113,1.483836735183575,0.5973970487532498,0.4965349965515334,301337.2067927078,0.0785536586232767
1985,186.53921053607,2.148126085412934,0.7814544166666667,17943271.95018826,9619035,30020349.971544668,1.4857295712140322,0.5977036232820776,0.4949993032257371,305498.89374140627,0.0833100565019478
1986,185.3997984415976,1.6960004246018456,0.78433875,18967810.273041576,10230761,31640951.36912356,1.4966936870059506,0.5994702893652902,0.494397033437481,316102.321148575,0.0841001004879939
1987,181.35606962279348,2.0557821744047846,0.8091769166666667,19665280.121362545,10843464,32982239.334428277,1.4767094955181856,0.5962384761678412,0.4968813923737344,319530.403765247,0.0846732916960162
1988,184.5853425056202,2.3047347190335783,0.8390375833333333,21294069.67726348,11536165,35284415.45179614,1.5220545668017849,0.6034978730582744,0.489816100788722,322664.0739474211,0.0828426541631707
1989,185.6358181986408,2.2076628226901827,0.8325165833333333,22653278.121643785,12203075,37811805.6636403,1.4944247097142629,0.5991059597406929,0.4933245498092478,332542.57391610724,0.0839853172588844
