year,N1601,N1602,N1701
1980,0.271,-0.0168942383321481,0.32
1981,0.238,-0.0134540528478549,0.32
1982,0.225,,0.31
1983,0.2339999999999999,-0.0112940051215957,0.31
1984,0.21,-0.0109665951520261,0.32
1985,0.1969999999999999,-0.0090726871173656,0.32
1986,0.1939999999999999,-0.0082689754488925,0.34
1987,0.207,-0.009205164106869,0.37
1988,0.215,-0.0065229254180586,0.37
1989,0.24,-0.0105816174493057,0.38
1990,0.272,-0.0167440291297388,0.38
1991,0.319,-0.0234335092622205,0.38
1992,0.317,-0.0251888363168174,0.38
1993,0.309,-0.0156126785446516,0.37
1994,0.255,-0.0071690365947464,0.38
1995,0.222,0.0004657986611349,0.38
1996,0.239,0.0023791041476121,
1997,0.258,0.0013577293479871,
1998,0.255,0.0043429357089055,
1999,0.307,,
2000,0.292,,
2001,0.283,,
2002,0.263,,
2003,0.261,,
2004,0.263,,
2005,0.266,,
2006,0.262,,
2007,0.2620270422468022,,
2008,0.2621133273348509,,
2009,0.2622362679539652,,
2010,0.2725459682324,,
2011,0.2657863834925138,,
2012,0.2784361173828379,,
2013,0.2746632550137219,,
2014,0.2785737319379003,,
2015,0.2802066420587175,,
2016,0.3009039844670869,,
2017,0.2850128738688991,,
2018,0.2801523230947707,,
2019,0.2862701429530822,,
