year,Lp_productive,Lu_unproductive,L_total,Lp_L_ratio,Lu_L_ratio
1948,17331.95,15164.05,32496.0,0.5333564130969966,0.46664358690300345
1949,18923.6,16674.4,35598.0,0.5315916624529468,0.46840833754705324
1950,19851.89,17548.11,37400.0,0.5307991978609625,0.4692008021390375
1951,21496.78,18976.22,40473.0,0.5311387838806118,0.46886121611938825
1952,22084.52,19448.48,41533.0,0.5317342835817302,0.4682657164182698
1953,22734.47,19880.53,42615.0,0.5334851578082835,0.4665148421917165
1954,23093.6,20302.4,43396.0,0.5321596460503272,0.4678403539496728
1955,23421.29,20476.71,43898.0,0.5335388855984328,0.46646111440156723
1956,24032.93,21506.07,45539.0,0.5277439118118535,0.4722560881881464
1957,25684.62,23339.38,49024.0,0.5239193048302871,0.4760806951697128
1958,27486.32,24852.68,52339.0,0.5251594413343778,0.4748405586656222
1959,29627.11,26232.89,55860.0,0.5303814894378804,0.46961851056211956
1960,30542.16,28138.84,58681.0,0.5204778378009918,0.4795221621990082
1961,32158.34,29075.66,61234.0,0.5251713100565045,0.4748286899434954
1962,32403.43,29530.57,61934.0,0.5231929150385894,0.47680708496141055
1963,32285.48,30386.52,62672.0,0.515149987235129,0.4848500127648711
1964,32609.14,30126.86,62736.0,0.5197835373629176,0.4802164626370824
1965,32649.14,30361.86,63011.0,0.5181498468521369,0.48185015314786306
1966,33912.18,31405.82,65318.0,0.5191858293272911,0.4808141706727089
1967,35074.68,33397.32,68472.0,0.512248510339993,0.48775148966000703
1968,37122.71,35142.29,72265.0,0.5137024839133744,0.48629751608662564
1969,38967.6,37564.4,76532.0,0.5091674070976846,0.4908325929023154
1970,40011.57,38954.43,78966.0,0.506693640300889,0.493306359699111
1971,42631.77,39357.23,81989.0,0.5199693861371647,0.4800306138628353
1972,42101.76,41352.24,83454.0,0.5044906175857359,0.4955093824142641
1973,41595.76,40322.24,81918.0,0.5077731389926512,0.4922268610073488
1974,41612.34,40254.66,81867.0,0.5082919857818168,0.4917080142181832
1975,41501.44,40399.56,81901.0,0.5067269019914287,0.4932730980085713
1976,42185.95,41654.05,83840.0,0.5031721135496183,0.49682788645038173
1977,44192.52,42710.48,86903.0,0.5085269783551776,0.4914730216448224
1978,46722.95,44554.05,91277.0,0.5118808681266912,0.48811913187330874
1979,47367.3,49074.7,96442.0,0.49114804753115865,0.5088519524688413
1980,50889.81,50006.19,100896.0,0.5043788653663178,0.49562113463368224
1981,51317.34,50933.66,102251.0,0.5018761674702448,0.49812383252975523
1982,51896.76,50723.24,102620.0,0.5057177938023777,0.49428220619762225
1983,50542.23,51541.77,102084.0,0.4951043258493006,0.5048956741506994
1984,50175.85,50876.15,101052.0,0.4965349523017852,0.5034650476982148
1985,50113.23,51125.77,101239.0,0.494999259178775,0.505000740821225
1986,51222.0,52383.0,103605.0,0.49439698856232805,0.505603011437672
1987,53122.09,53788.91,106911.0,0.496881424736463,0.503118575263537
1988,55069.04,57358.96,112428.0,0.48981606005621375,0.5101839399437862
1989,58123.01,59696.0,117819.01000000001,0.49332454923870095,0.506675450761299
1990,58730.14428366029,60703.81063669847,119433.95492035875,0.49173741523357295,0.508262584766427
1991,57814.22473776838,60426.78639942194,118241.01113719032,0.4889523878537274,0.5110476121462726
1992,58032.98746482928,60597.31154310248,118630.29900793175,0.4891919513829189,0.5108080486170812
1993,59484.26226412587,61482.85441046947,120967.11667459534,0.49173910976269747,0.5082608902373025
1994,61718.89245132844,63012.43074931575,124731.32320064418,0.4948147014527116,0.5051852985472883
1995,63682.260043613904,64347.65085729036,128029.91090090427,0.49740142436640655,0.5025985756335934
1996,65231.04597835205,65425.74021839569,130656.78619674774,0.49925494019212113,0.5007450598078789
1997,67161.59119498235,66886.47029029723,134048.06148527958,0.5010262024740855,0.49897379752591453
1998,68907.94871133415,68634.98007289867,137542.92878423282,0.5009923034242774,0.4990076965757226
1999,70609.45429202121,70306.2122630891,140915.6665551103,0.5010759698915859,0.4989240301084141
2000,72126.77217242977,71831.22816242452,143958.0003348543,0.5010264938708435,0.4989735061291564
2001,71860.36920109269,72164.1481088743,144024.517309967,0.49894539168241814,0.5010546083175819
2002,70627.29946713471,71821.52884221218,142448.8283093469,0.49580821622314775,0.5041917837768523
2003,70069.08008311587,72042.80158180775,142111.88166492363,0.49305574778277306,0.5069442522172269
2004,71079.80212179819,72591.4119105211,143671.2140323193,0.4947393435807438,0.5052606564192562
2005,72831.89558729359,73312.44138855954,146144.33697585313,0.49835592055357797,0.5016440794464221
2006,74694.72473764501,74077.57797626656,148772.30271391157,0.5020741319120576,0.49792586808794237
2007,75874.33861222287,74582.69732380498,150457.03593602785,0.5042923924440698,0.4957076075559302
2008,75417.53399570167,74219.48939467478,149637.02339037645,0.5040031690482822,0.4959968309517177
2009,71387.23306270422,71778.01578187269,143165.2488445769,0.4986352039956543,0.5013647960043457
2010,70851.87780929955,71270.90827777369,142122.78608707324,0.4985258153178287,0.5014741846821713
2011,72178.23638280171,71669.62928834143,143847.86567114314,0.5017678645841817,0.4982321354158183
2012,73902.92475794426,72385.35059028385,146288.2753482281,0.5051869302719166,0.49481306972808337
2013,75347.18895273197,73346.60192170231,148693.7908744343,0.5067272043414344,0.49327279565856563
2014,77022.56409843144,74464.93973073552,151487.50382916696,0.5084417008104515,0.49155829918954846
2015,78668.22384092855,75957.57268289907,154625.79652382762,0.5087651970724425,0.49123480292755756
2016,80099.34315226212,77286.36261763432,157385.70576989645,0.5089365820131737,0.49106341798682634
2017,81587.1846273493,78282.54850823061,159869.7331355799,0.5103354026253242,0.4896645973746758
2018,82988.5885354805,79371.71461907263,162360.30315455314,0.5111384182159506,0.4888615817840494
2019,84101.28300338275,80451.89944545897,164553.18244884172,0.5110887662687968,0.48891123373120315
2020,77979.43194793198,77040.0142154969,155019.4461634289,0.5030299996409634,0.4969700003590366
2021,80648.40095084322,78865.84802265906,159514.24897350228,0.5055874410582601,0.49441255894173985
2022,84603.57688325128,81742.29256698798,166345.86945023926,0.5086004068682909,0.4913995931317091
2023,86299.34651479474,83695.1425867074,169994.48910150214,0.5076596716218618,0.4923403283781382
2024,87141.17671758153,84815.01792863726,171956.1946462188,0.5067638121259025,0.49323618787409756
