year,N1301,N1302,N1304,N1305
1959,-0.0148425110736561,-0.027088417451053,-0.0148425110736561,-0.0148425110736561
1960,-0.0165511962591157,-0.0297961415991334,-0.0165511962591157,-0.0165511962591157
1961,-0.0105699271303775,-0.0191433215495113,-0.0105699271303775,-0.0105699271303775
1962,-0.0140732160392259,-0.0255842071295218,-0.0140732160392259,-0.0140732160392259
1963,-0.0146168791560748,-0.0265905162497428,-0.0146168791560748,-0.0146168791560748
1964,-0.0099632209336871,-0.0181379777917986,-0.0099632209336871,-0.0099632209336871
1965,-0.011314205104289,-0.0207155877129795,-0.011314205104289,-0.011314205104289
1966,-0.0149492062983885,-0.0270671580615592,-0.0149492062983885,-0.0149492062983885
1967,-0.0102837022601688,-0.0183556369205516,-0.0102837022601688,-0.0102837022601688
1968,-0.0124767439515294,-0.0221125568764828,-0.0124767439515294,-0.0124767439515294
1969,-0.0190191344263584,-0.0331147088059,-0.0190191344263584,-0.0190191344263584
1970,-0.0042166233799047,-0.0072603453991467,-0.0042166233799047,-0.0042166233799047
1971,0.0092716955528789,0.0162409259690239,0.0092716955528789,0.0092716955528789
1972,0.0031713915166089,0.0055468009823291,0.0031713915166089,0.0031713915166089
1973,0.0082962388406223,0.0145508885182672,0.0082962388406223,0.0082962388406223
1974,0.0120665890801165,0.021004277622803,0.0120665890801165,0.0120665890801165
1975,0.0346213737713066,0.061583449798644,0.0346213737713066,0.0346213737713066
1976,0.0289344614245022,0.0517063217104637,0.0289344614245022,0.0289344614245022
1977,0.022369186548215,0.0399448923765782,0.022369186548215,0.022369186548215
1978,0.0153722209281448,0.0274531137768732,0.0153722209281448,0.0153722209281448
1979,0.0117200456968256,0.0208447174617768,0.0117200456968256,0.0117200456968256
1980,0.0194909315216793,0.03432989863653,0.0194909315216793,0.0194909315216793
1981,0.0194288157109247,0.0347604683708064,0.0194288157109247,0.0194288157109247
1982,0.0276484059077437,0.0488384922325495,0.0276484059077437,0.0276484059077437
1983,0.0330034279367782,0.0595957102138265,0.0330034279367782,0.0330034279367782
1984,0.0275775311576614,0.0502499234207024,0.0275775311576614,0.0275775311576614
1985,0.0234570859474695,0.0426334269362958,0.0234570859474695,0.0234570859474695
1986,0.0239660423139233,0.0431758104846949,0.0239660423139233,0.0239660423139233
1987,0.0181719064329348,0.032408298064315,0.0181719064329348,0.0181719064329348
1988,0.0202349438311372,0.0359428412693924,0.0202349438311372,0.0202349438311372
1989,0.0193003277457503,0.0346809492683529,0.0193003277457503,0.0193003277457503
1990,0.0236799949036129,0.0422728897430047,0.0236799949036129,0.0236799949036129
1991,0.034707231685257,0.0619419269322908,0.034707231685257,0.034707231685257
1992,0.041944504770763,0.0745565828895976,0.041944504770763,0.041944504770763
1993,0.0426959543873128,0.0767122021713555,0.0426959543873128,0.0426959543873128
1994,0.0406701751248449,0.0739787719350631,0.0406701751248449,0.0406701751248449
1995,0.0410986457362999,0.074791985700455,0.0410986457362999,0.0410986457362999
1996,0.0363676369960069,0.0664714117415347,0.0363676369960069,0.0363676369960069
1997,0.0297250040004737,0.0541468724240927,0.0297250040004737,0.0297250040004737
1998,0.022290534930064,0.0398362337809142,,0.022290534930064
1999,0.0172700790633793,0.0307867651497913,,0.0172700790633793
2000,0.0120719239989657,0.021163951346699,,0.0120719239989657
2001,0.0213642877122059,0.0374399381595985,,0.0213642877122059
2002,0.0413843315783984,0.0737221436481837,,0.0413843315783984
2003,0.0479515624720247,0.0864634473529879,,0.0479515624720247
2004,0.0484651190033419,0.0881180021494425,,0.0484651190033419
2005,0.0432887348253325,0.0798813747468402,,0.0432887348253325
2006,0.0415765357113613,0.0767953157292878,,0.0415765357113613
2007,0.0403961050643549,0.0742151793352684,,0.0403961050643549
2008,0.0545155020702043,0.0999384177389002,,0.0545155020702043
2009,0.0839051875069713,0.1565642417390001,,0.0839051875069713
2010,0.0897751199800338,0.1704681734189347,,0.0897751199800338
2011,0.0807216443336939,0.1530767359319421,,0.0807216443336939
2012,0.0769859256586065,0.1460574188437237,,0.0769859256586065
2013,0.0695448006475204,0.1328758972121105,,0.0695448006475204
2014,0.0676305253235151,0.1287373887061728,,0.0676305253235151
2015,0.0669100386194892,0.1262055415725715,,0.0669100386194892
2016,0.0692644223073489,0.1306940919649833,,0.0692644223073489
2017,0.068278092107649,0.1284563623382403,,0.068278092107649
2018,0.0691249726624722,0.1303119884784681,,0.0691249726624722
2019,0.0709100488535895,0.1334369776281765,,0.0709100488535895
2020,0.1255117799714455,0.2313172653834451,,0.1255117799714455
2021,0.1179026191166669,0.2227450532793699,,0.1179026191166669
2022,0.0696253983776817,0.1349410106795877,,0.0696253983776817
2023,0.0797884180587825,0.156188890195755,,0.0797884180587825
2024,0.0820078644692624,0.1598894021326921,,0.0820078644692624
