year,G_total,G_federal,G_state_local,G_S_ratio,G_GDP_ratio,net_surplus
1948,57676.5,41.40225,16.274250000000002,0.0341137138019333,0.0194373778816136,1633036.5174941914
1949,64008.25000000001,46.33275,17.6755,0.032991232497465,0.0187199832593075,1876151.154621161
1950,66422.0,46.91975,19.50225,0.0314631504382364,0.0179061064431062,2044682.54849044
1951,78639.5,58.4145,20.225,0.0313342270807816,0.0178978204216535,2431060.1902863546
1952,89587.25,67.92925,21.658,0.0335702447353567,0.0191627470995367,2579063.2381403246
1953,95765.0,72.76625,22.99875,0.0332901619896961,0.0188756960253714,2780910.698653576
1954,95206.75,70.50450000000001,24.70225,0.0309546736107939,0.0175763938324329,2980475.8172618654
1955,98637.25,71.64125,26.996,0.0312687332930102,0.0176067235850216,3055863.7358793686
1956,103609.25,74.4365,29.17275,0.0300286119590202,0.0171367064171427,3346741.7066607527
1957,114074.25,81.94200000000001,32.13225,0.0285624537580048,0.0164785599426567,3879779.043085152
1958,123799.25,88.115,35.68425,0.0281306696226693,0.0161783831412282,4277064.705980456
1959,128849.49999999996,90.50975,38.33975,0.0266269225104634,0.0152027739553262,4710218.925927426
1960,135072.25,93.398,41.67425,0.0253356244650834,0.0146849474426923,5196244.930918562
1961,145347.75,99.81075,45.537,0.0254187638599502,0.0145563358294622,5572780.432818898
1962,157121.75000000003,108.557,48.56475,0.0263495549091558,0.0151345630533058,5805853.736367851
1963,165756.25,113.498,52.25825,0.0260063879927553,0.015142321507799,6207918.173613735
1964,175038.75,118.2105,56.82825,0.0267600900562176,0.0154885922092816,6365998.654294158
1965,188172.75,125.94225,62.2305,0.0279477345331592,0.0161992020852523,6544850.628933916
1966,213842.0,144.37475,69.46725,0.0296630254165564,0.0171462571385593,6995200.132318834
1967,243490.5,165.78300000000002,77.7075,0.0308804119444631,0.0181028538810625,7641459.365238378
1968,273489.25,184.34525,89.14399999999999,0.032325652451103,0.0188070367154173,8186950.965822073
1969,298369.75,196.9845,101.38525,0.0319001750669753,0.0187818715522367,9054862.618586186
1970,337563.25000000006,219.944,117.61925,0.0345823096909064,0.0203501364525523,9423590.733557193
1971,376632.75,241.60175,135.031,0.03636336423675,0.0210014943389519,9980845.385077575
1972,419060.75,268.01975,151.041,0.0377695576237814,0.0222766791363278,10676138.03877638
1973,455001.0,287.5555,167.44549999999998,0.0410276838719076,0.0241416696751384,10635096.150513211
1974,508818.75,319.84925,188.9695,0.0448953367466514,0.0264088158476893,10824624.473097116
1975,593503.5,374.759,218.7445,0.051345094299177,0.0302362098419676,10965604.689416882
1976,640100.25,403.484,236.61625,0.0523511745016088,0.0310288714328378,11586946.346257908
1977,695089.7500000001,437.31675,257.773,0.054189525113216,0.0318754340624745,12131923.377496067
1978,766794.25,485.865,280.92925,0.0565253942461403,0.0329759225805209,12798688.312775018
1979,841904.5,534.38625,307.51825,0.0554593810666874,0.0334157570224155,14338656.187968142
1980,964266.25,622.45525,341.81100000000004,0.060405415133027,0.0355939456025178,14998975.586455503
1981,1086775.5,709.135,377.6405,0.06568445944628,0.0389330884036125,15458622.135323731
1982,1197295.0,786.0165,411.2785,0.0711098081826333,0.0418838509032285,15639974.43721958
1983,1295656.25,851.942,443.71425,0.0744751830383014,0.0446158504489932,16101498.038746946
1984,1383993.5,907.6855,476.308,0.0785536586232767,0.0469277238303157,16234453.86777034
1985,1494855.0,974.97075,519.8842500000001,0.0833100565019478,0.0497947226270488,16448416.95018826
1986,1595194.75,1033.848,561.3467499999999,0.0841001004879939,0.0504155115751877,17372615.523041576
1987,1665124.0,1065.22775,599.89625,0.0846732916960162,0.0504854744129478,18000156.121362545
1988,1764057.25,1122.38875,641.6685,0.0828426541631707,0.0499953655859757,19530012.42726348
1989,1902542.75,1201.838,700.70475,0.0839853172588844,0.0503161041005105,20750735.371643785
