year,marxian_productivity,conventional_productivity,marxian_index,conventional_index,bls_productivity_index
1948,94371.05886102446,91312.72726388996,100.0,100.0,23.089
1949,99181.1033732443,96051.66530856084,105.096948757673,105.18978918565811,23.8285
1950,101955.13779537794,99183.44395280756,108.03644573440909,108.619517700059,25.41375
1951,111969.74981942958,108561.34124347629,118.64839832339048,118.88960553082435,26.07275
1952,115573.79278401352,112562.86422532731,122.46741127935556,123.27182376233858,26.56775
1953,123247.30569462,119053.27461743711,130.5986254494825,130.37971615213962,27.2245
1954,128903.84593996452,124821.17442836572,136.5925607868772,136.69636004588685,27.75175
1955,132022.1268869378,127619.687066897,139.89683752659826,139.76111643022276,28.94175
1956,136692.7256095638,132766.2484958296,144.84602298556842,145.39730930622704,28.77275
1957,145082.59441845835,141208.10418513443,153.7363214628271,154.64230279427414,29.512
1958,150552.19064000202,146203.4014552091,159.5321621448719,160.11284060401283,30.18475
1959,156253.27905433814,151725.63650140297,165.57330281145255,166.1604477795546,31.2565
1960,161166.34514305857,156745.9150786408,170.77941806332828,171.65834355779526,31.622
1961,168600.85171636616,163066.07457328384,178.65736990898472,178.57978779018362,32.65325
1962,172882.1735262562,167624.42100495787,183.19405929401637,183.5718043121528,34.13875
1963,180342.33217490616,174664.1986173403,191.09919328179552,191.2813293951544,35.29875
1964,185313.48585696853,180138.03983591686,196.36686087190188,197.27593867098665,36.245000000000005
1965,190005.7115811852,184351.5258422861,201.3389633160703,201.8902855781735,37.40075
1966,197228.4781641925,190937.30866284584,208.9925455373358,209.1026238993443,38.75175
1967,201338.4281430123,196436.3980679408,213.3476412927753,215.12488341329225,39.473
1968,207469.83572745576,201229.60784579263,219.8447683340993,220.37410761398849,40.8495
1969,213451.9170873236,207573.9555940428,226.18366230441853,227.3220413121193,40.92075
1970,216657.6398068689,210062.09592978007,229.5805964474021,230.0468973210157,41.50525
1971,226732.21009528235,218731.985009596,240.2560836253618,239.5416187466066,43.12575
1972,232309.28729452987,225413.2179302324,246.1658161922716,246.85848806026524,44.62025
1973,238456.50718680595,230073.02745413472,252.679698696577,251.9616206284512,45.9965
1974,242027.71003745805,235345.1769290784,256.4639127276088,257.7353496943976,45.2255
1975,246398.2542904074,239666.1664450749,261.0951463978652,262.4674277359494,46.43375
1976,253633.13593263668,246054.1799835325,268.7615663040822,269.4631814822989,48.0505
1977,259291.9057771394,250928.5099767753,274.7578642293138,274.8012434801147,48.88025
1978,263662.3402267856,254753.72035211997,279.38898154684045,278.99037514879205,49.567
1979,268309.27906262176,261243.3945942996,284.3130958801124,286.0974613531333,49.5015
1980,277603.48696904833,268501.60430384654,294.1616744788899,294.04619963642983,49.4735
1981,281593.5257863227,272994.1994449095,298.3897067436866,298.96620944851173,50.19325
1982,288297.16623044224,278562.4372534605,305.49319856101545,305.0641959783183,49.78075
1983,293059.47946482536,284474.23600567057,310.53956901808147,311.53842901171043,51.81475
1984,301337.2067927078,291849.9661102317,319.3110371225908,319.6158682970858,52.979
1985,305498.89374140627,296529.4992201095,323.72095579779307,324.7406009056674,53.89925
1986,316102.321148575,305399.8491300956,334.9568447823427,334.454854521542,55.5025
1987,319530.403765247,308501.83175190835,338.58940190106745,337.8519522917665,55.80125
1988,322664.0739474211,313840.1061283322,341.909985796167,343.6980972229068,56.7235
1989,332542.57391610724,320931.30703570985,352.377707667587,351.4639378892187,57.22525
