year,N1401,N1402,N1403,N1404
1948,1.195688656514848,0.5662287879782861,1351420.373905503,1.4217747995996728
1949,1.1851127280899332,0.5645236123447863,1564792.1215684856,1.4766527761629102
1950,1.1914128819584016,0.564022210949502,1692725.6540173143,1.4856310745025163
1951,1.1992037681887673,0.5648593458438517,1997906.3457889075,1.4843182178191832
1952,1.190409613333238,0.566865930524927,2134337.528201524,1.4700822140539225
1953,1.1741701857334863,0.5677202739181346,2333513.416343019,1.4818976168374165
1954,1.1793910930012117,0.5663372046623307,2485437.1952277897,1.577084998384068
1955,1.1622191557250996,0.5664220934110541,2590971.8762915744,1.6348035485739387
1956,1.206952777517299,0.5596757827832777,2739543.0712627443,1.524500406540245
1957,1.219855170232378,0.5580163414428488,3118485.4725668263,1.5411665629468674
1958,1.2241255582989294,0.5572347233857491,3440516.116642601,1.6419884270639182
1959,1.1992060827480524,0.5635253472445803,3853842.585037692,1.659431209221184
1960,1.248798403471587,0.5523164874549642,4090187.46568402,1.5935318258478834
1961,1.2089243127729654,0.558216551633317,4520384.855507156,1.679178736461752
1962,1.2097849025599925,0.5569060438216793,4698036.84444315,1.70278203641068
1963,1.2593957407183507,0.5474725128464436,4844903.643248267,1.6436453872865142
1964,1.2391598455015658,0.5529482952426822,5047044.80559969,1.7108365863339472
1965,1.23547578775227,0.551900301292443,5196287.098474076,1.6997500240944254
1966,1.2339482272489393,0.5520561533301157,5582780.735522388,1.6856460863332288
1967,1.2832401379782366,0.5436075021345331,5890923.527832728,1.6364824773238316
1968,1.2684498803043691,0.5440357713812127,6410482.213971177,1.6397967568895166
1969,1.279143278276893,0.5432014466483399,6970184.85890613,1.5713642358404356
1970,1.2837403911841785,0.5401147686018536,7263419.052018354,1.581316607267797
1971,1.247485110729858,0.5503017860507478,7979415.1397638945,1.6673545696934755
1972,1.29853691654528,0.5368535905883841,8184177.749654616,1.5324939742909562
1973,1.2921419517124544,0.5400350924810599,8222493.484274464,1.5013830310431064
1974,1.2989941015797293,0.5389625025738799,8380623.328443402,1.5011615507942424
1975,1.294272628015343,0.538831827800278,8555608.630957704,1.630259308840909
1976,1.3104778708096725,0.5357446829141732,8928534.962592036,1.6100996796659728
1977,1.2923842385771802,0.5399177741620206,9512558.992312023,1.62490375332335
1978,1.265885313159328,0.5443312091231676,10262282.560170064,1.635219224428638
1979,1.3699525220871691,0.5229134228469027,10630945.230613677,1.4818031773153904
1980,1.298291578393304,0.5356449548648221,11787337.2214937,1.5944030096549813
1981,1.329388610236865,0.531418197196244,11983371.84477046,1.6248070604540084
1982,1.3081014911360112,0.535402364545825,12385104.130269635,1.67418202245004
1983,1.3541626662722954,0.5258150039290759,12335709.98489529,1.6393894583662978
1984,1.3558153272265945,0.5257915316865335,12518817.767473688,1.6668936798516447
1985,1.3505157649386814,0.5255177135489294,12771813.922434092,1.7252667910217183
1986,1.3597080183805546,0.5252088889117206,13408841.739173494,1.765084832594029
1987,1.3397057210812051,0.528036428688897,14096746.884555548,1.8063668475245047
1988,1.382463430937923,0.5200866565526228,14810055.421461578,1.7360314539182684
1989,1.3523278998418728,0.5248532514955704,16074207.0296331,1.8042961328279248
