year,T601,T602,T603,T604,T605,T606,T607,T608,T609
1952,22.7849,6.923,23.500400000000003,53.2083,10.994,32.694900000000004,-9.5194,-0.0857526348977569,-0.0337
1953,23.9122,7.106,25.4814,56.4996,11.674,35.5765,-9.2491,-0.0787895050685748,-0.0309
1954,21.3699,8.074,25.3058,54.7497,13.747,34.159099999999995,-6.8436,-0.0611308619919606,-0.0226
1955,23.3723,9.091,27.6062,60.0694,14.754,35.4786,-9.8369,-0.0816204779289744,-0.0303
1956,26.2177,9.987,30.2576,66.4623,15.593,37.3249,-13.5444,-0.1051420586865393,-0.0389
1957,27.7473,11.413,32.432,71.59230000000001,18.132,40.3739,-13.0864,-0.098393984962406,-0.0356
1958,26.9229,11.384,33.2266,71.5334,22.226,42.2429,-7.0645,-0.0553124021296586,-0.0186
1959,30.0037,13.834,36.532,80.3697,22.917,43.8992,-13.5535,-0.0971089775739772,-0.0336
1960,32.8791,16.444,39.9125,89.2356,24.428,45.7671,-19.0405,-0.1320148374124662,-0.0451
1961,33.2915,17.005,41.8828,92.1793,28.089,48.0852,-16.0051,-0.1095264490522137,-0.0363
1962,36.5301,19.117,45.178,100.8251,28.843,52.4926,-19.4895,-0.1253021730744503,-0.0416
1963,38.7915,21.669,48.084900000000005,108.5454,30.341,55.6591,-22.5453,-0.1385186778078152,-0.0458
1964,37.0634,22.387,51.6084,111.0588,31.317,59.163,-20.5788,-0.1196441860465116,-0.039
1965,40.9664,23.416,54.7232,119.1056,33.913,63.6485,-21.544,-0.1143342355251287,-0.0378
1966,48.0709,31.336,58.0449,137.45170000000002,37.504,73.3488,-26.599,-0.1284541459409861,-0.0429
1967,52.8026,34.867,62.6486,150.31820000000002,45.752,82.5943,-21.9719,-0.1015994636086192,-0.033
1968,63.1653,38.695,70.43060000000001,172.2909,53.306,92.6141,-26.3708,-0.1113772859737297,-0.0361
1969,76.3172,44.127,77.6187,198.0628,58.973,101.6905,-37.3993,-0.1431716560753387,-0.0467
1970,74.2717,46.359,84.2087,204.8395,71.737,109.4205,-23.682,-0.0875716451577117,-0.0274
1971,72.50689999999999,51.176,91.8653,215.5482,85.412,118.5487,-11.5875,-0.0403001425938163,-0.0124
1972,88.26339999999999,59.204,98.6605,246.128,94.808,128.9116,-22.4084,-0.0690977489978415,-0.0219
1973,94.3257,75.496,106.6841,276.5059,108.628,137.71429999999998,-30.1636,-0.0814154228184296,-0.0264
1974,107.1142,85.181,113.063,305.3582,128.556,153.1299,-23.6723,-0.059403513174404,-0.0189
1975,102.1023,89.31,120.2758,311.6881,163.134,168.2074,19.6533,0.0478473524041387,0.0144
1976,120.4668,101.334,131.2536,353.05440000000004,177.643,180.3396,4.9282,0.0107221025607553,0.0033
1977,139.0352,113.094,143.7843,395.9136,189.482,197.2382,-9.1933,-0.0178230356138888,-0.0055
1978,162.2527,131.26,152.6177,446.1304,203.427,215.5593,-27.1441,-0.0460694161575016,-0.0146
1979,190.7355,152.749,159.94420000000002,503.4287,227.334,236.3132,-39.7815,-0.0598416017329041,-0.0191
1980,209.0304,166.188,174.224,549.4424,271.498,259.4812,-18.4632,-0.0261322236847692,-0.0079
