year,sector,log_labor_value,log_market_price,labor_value,market_price
1947,Dairy farm products,7.965084346196183,16.386673341284016,2878.6719727151494,13081026.000000004
1947,Poultry & eggs,7.763902597399264,16.15570968948551,2354.073703902878,10383303.999999998
1947,Meat animals & misc livestock,5.294813015895926,13.465113012723114,199.3003564836802,704408.0000000001
1947,"Cotton, food grains, tobacco, fruits, vegetables",4.891600815418562,13.486624473588437,133.1665786275947,719725.0000000001
1947,Coal mining,4.705982893458389,12.163832979922297,110.60694638146835,191728.00000000003
1947,Crude petroleum & natural gas,5.446760422086384,12.669105157904372,232.00534775909105,317777.0
1947,Stone & clay mining,7.005133626380167,14.30804287483678,1102.2773385001772,1636455.0000000005
1947,Chemical & fertilizer mineral mining,6.906829431618693,14.35980906153929,999.0745811009848,1723399.0
1947,New construction,7.3436412527113415,12.628768448900004,1546.3324621722238,305214.00000000006
1947,Maintenance & repair construction,6.230594352905879,11.456979257287898,508.057359144333,94559.0
1947,Ordnance & accessories,8.409035091747313,16.700262833883745,4487.4284651117905,17899133.000000004
1947,Meat products,7.2113574560954135,15.747880160476493,1354.7300062717775,6905854.999999998
1947,Dairy products,2.60747954222671,11.46975696956885,13.564818177529595,95775.0
1947,Canned & frozen foods,8.823790471267246,17.352026226470795,6793.968221456715,34347034.0
1947,Grain mill products,6.182905728886108,14.930769190914202,484.39744102191264,3050357.0000000005
1947,Bakery products,7.339917792706931,15.77531839943901,1540.5854610998967,7097963.000000001
1947,Sugar,5.30520269409611,13.99316122310833,201.38181718250686,1194408.0000000005
1947,Confectionery products,7.197892914889635,15.743789181176076,1336.6114410945745,6877661.000000001
1947,Alcoholic beverages,5.357069362057066,13.705048160925521,212.10243926719806,895419.9999999998
1947,Soft drinks & flavorings,6.6656417997417305,15.253561156297147,784.9670950277289,4212476.000000001
1947,Tobacco manufactures,4.539226864428478,13.110750204795796,93.61839242326678,494227.00000000006
1947,Fabrics & yarn,5.562986071360312,14.18602874059771,260.59984537813506,1448485.0
1947,"Floor covering, misc textiles",4.730891658919045,13.405362501951728,113.39662839884275,663552.0000000001
1947,Lumber & wood products,6.5550981219269255,15.128773905264115,702.8181083067923,3718288.0
1947,Wooden containers,5.745398181808483,14.25238582792335,312.7481336578912,1547863.0
1947,Household furniture,6.531717432449488,15.343042728353534,686.5763480164112,4606793.999999999
1947,Other furniture & fixtures,7.43832893422152,15.172835580574732,1699.9071896348137,3885784.999999998
1947,Paper & paperboard,5.797669096529686,13.975749239671968,329.5305600995469,1173791.0000000002
1947,Paper containers & products,6.494539050559526,14.691798126650944,661.5192281029376,2401966.0
1947,Printing & publishing,5.72857607546195,13.925746967109687,307.5310554443192,1116541.9999999998
1947,Basic chemicals,8.4810345783499,16.07847834717337,4822.436505309402,9611572.000000002
1947,Synthetic materials,5.9490702894245855,14.691786885795848,383.39672532290484,2401939.0
1947,"Drugs, cleaning & toilet items",4.564349434963797,13.399316095643023,96.00011937568652,659551.9999999999
1947,Paints & allied products,5.751832346506486,14.452535434795584,314.76689421332605,1890846.9999999995
1947,Petroleum refining,5.158034342540591,13.607331970908747,173.82244419255107,812061.9999999998
1947,Rubber & plastic products,7.090988688611425,14.599255468521767,1201.0947224394276,2189657.0
1947,Leather tanning & finishing,7.748857177740234,16.23063992154967,2318.920785436998,11191218.0
1947,Footwear & leather products,7.262088846167746,15.512450793520895,1425.2305173306042,5457224.000000001
1947,Glass & glass products,5.787453685727354,13.960715054042442,326.1814056752765,1156276.0
1947,Stone & clay products,6.924226868206274,15.127746022649287,1016.6079937539116,3714468.0
1947,Primary iron & steel,6.249939522344984,14.559582289934434,517.9814974147469,2104487.0000000005
1947,Primary nonferrous metals,6.3023844159705655,14.659731116883908,545.8719453820289,2326164.0
1947,Metal containers,5.610683949352605,13.851914808607981,273.3311187306986,1037075.0
1947,"Heating, plumbing, structural metal",6.028498339328596,14.259820667629315,415.0912349528527,1559414.0000000005
1947,Screw machine products,6.09707377535885,14.393537529396319,444.55499712203704,1782518.0
1947,Other fabricated metal products,4.973015793113067,13.309241205279495,144.4618982877105,602739.9999999998
1947,Engines & turbines,5.6234040605402225,14.105006484387872,276.8301276647982,1335754.0000000002
1947,Farm machinery,5.865835786154511,14.269127531334364,352.77687895897895,1573995.0
1947,Construction & mining machinery,5.998728543763379,14.353332869606685,402.91617739074405,1712274.0000000002
1947,Materials handling equipment,4.2543628067538,12.661980519762583,70.41193688060439,315521.00000000006
1947,Metalworking machinery,4.363102389559368,12.816677538735185,78.50029553508027,368309.0
1947,Special industry machinery,5.765420112619651,13.934949998801619,319.07306250299973,1126865.0000000002
1947,General industrial machinery,6.2226956056156055,14.531883422041519,504.0601497112834,2046995.0000000007
1947,Machine shop products,6.476088861498524,14.579557390948398,649.4259777078324,2146947.0
1947,Office & computing machines,5.479997433309213,13.815629550884335,239.84609176271127,1000118.9999999998
1947,Service industry machines,6.095046816093275,14.25289607880992,443.65481487613926,1548653.0000000002
1947,Electric industrial equipment,4.816176585404768,13.03763521008843,123.49202578053996,459381.0
1947,Household appliances,5.326241970364493,13.571898958010202,205.6636300469149,783792.0000000003
1947,Electric lighting & wiring,8.190663547023977,16.373977565706994,3607.114942927804,12916002.000000004
1947,"Radio, TV, communication equipment",5.713141457411337,14.041510027259681,302.82087449427956,1253575.0000000002
1947,Electronic components,6.388185119906473,14.676475031869533,594.7761521627065,2365441.0000000005
1947,Misc electrical machinery,5.646146669701794,13.92650258684332,283.1981047985888,1117386.0
1947,Motor vehicles & equipment,4.706086609214947,13.0034401920242,110.61841865951055,443938.0000000002
1947,Aircraft & parts,6.4884352533421765,14.612487433073074,657.4937467380803,2218823.0000000005
1947,Transportation & warehousing,8.066813270741484,16.297200790624068,3186.9297475793737,11961465.000000004
1947,Communications except radio & TV,7.434370610933105,13.840333893717318,1693.1917072115327,1025133.9999999998
1947,Radio & TV broadcasting,6.083171213183648,12.401581861627701,438.41730729947335,243186.0
1947,"Electric, gas, water & sanitary services",8.078627110758896,15.443634592281349,3224.80289895442,5094309.0
1947,Wholesale trade,8.301502081812197,16.792801531195906,4029.9211210639733,19634554.0
1947,Retail trade,8.065077306542213,15.834427777484997,3181.402150875126,7530167.0
1947,Finance & insurance,7.796078555144528,16.371773140564823,2431.0500325087064,12887561.000000004
1947,Real estate & rental,6.544047613413155,15.028302062992426,695.0943650603376,3362859.0
1947,Hotels & personal services,7.629198201531271,15.607681775745592,2057.399738369392,6002471.000000001
1947,Business services,5.555883334381907,13.329018132613621,258.75543116835166,614779.0
1947,Eating & drinking places,6.513728823884579,14.655884359428937,674.3362163740762,2317233.0
1947,Automobile repair & services,6.538638601523364,14.621995798787278,691.344741396708,2240021.0000000005
1947,Amusements,6.990534380472474,15.216032475690186,1086.3018195896207,4057316.999999999
1947,"Medical, educational services & nonprofit orgs",5.189618069815145,13.474360195957916,179.40002156216786,710952.0000000001
1947,Federal government enterprises,5.740025368143301,13.925952939042709,311.0723022080388,1116771.9999999998
1947,Gross imports of goods & services,8.002720049595544,15.426484490115854,2989.0773781759435,5007686.0
1958,Dairy farm products,11.257796323970851,16.666142605829354,77481.64309316168,17298712.000000004
1958,Poultry & eggs,10.84213032336819,16.2641648779201,51130.185872927446,11572762.999999993
1958,Meat animals & misc livestock,7.930951858147794,13.693618592204782,2782.0736840941586,885244.0000000001
1958,"Cotton, food grains, tobacco, fruits, vegetables",8.275423229721063,13.6710418561551,3926.18395658676,865481.9999999998
1958,Coal mining,7.702454826551927,13.598711835584872,2213.775762565654,805092.0000000001
1958,Crude petroleum & natural gas,7.926526023989823,13.647100190328667,2769.7878948404764,845007.0000000002
1958,Stone & clay mining,8.695846707221795,13.95275542211078,5978.0320683371765,1147109.0
1958,Chemical & fertilizer mineral mining,9.71390549827274,15.246211441501243,16546.096604477167,4181629.000000001
1958,New construction,8.512275942841336,13.450018283941672,4975.474106501219,693855.0000000001
1958,Maintenance & repair construction,7.564979202867935,12.494648068825237,1929.4286520564233,266904.9999999999
