Year,Period,Book_e,Book_C_V,ST94_e,ST94_Lp_L,ST94_r,M05_e,M05_Lp_L,M05_r,TP19_e,TP19_Lp_L,TP19_r,Validation_Status
1948,Book,1.70,2.35,1.70,0.566,0.519,1.79,0.566,0.510,1.76,0.583,0.506,Validated
1949,Book,,,1.72,0.558,0.523,1.81,0.558,0.514,1.78,0.575,0.510,Interpolated
1950,Book,,,1.74,0.550,0.531,1.83,0.550,0.522,1.80,0.567,0.518,Interpolated
1951,Book,,,1.76,0.542,0.538,1.85,0.542,0.529,1.82,0.559,0.525,Interpolated
1952,Book,,,1.77,0.534,0.545,1.86,0.534,0.536,1.83,0.551,0.532,Interpolated
1953,Book,,,1.78,0.526,0.551,1.87,0.526,0.542,1.84,0.543,0.538,Interpolated
1954,Book,,,1.79,0.518,0.556,1.88,0.518,0.547,1.85,0.535,0.543,Interpolated
1955,Book,,,1.80,0.510,0.561,1.89,0.510,0.552,1.86,0.527,0.548,Interpolated
1956,Book,,,1.81,0.504,0.565,1.90,0.504,0.556,1.87,0.521,0.552,Interpolated
1957,Book,,,1.82,0.501,0.567,1.90,0.501,0.558,1.87,0.517,0.554,Interpolated
1958,Book,1.83,2.39,1.83,0.498,0.569,1.90,0.498,0.560,1.87,0.513,0.556,Validated
1959,Book,,,1.86,0.489,0.582,1.93,0.489,0.573,1.90,0.504,0.569,Interpolated
1960,Book,,,1.89,0.480,0.594,1.96,0.480,0.585,1.93,0.495,0.581,Interpolated
1961,Book,,,1.92,0.471,0.603,1.99,0.471,0.594,1.96,0.486,0.590,Interpolated
1962,Book,,,1.95,0.462,0.612,2.02,0.462,0.603,1.99,0.476,0.599,Interpolated
1963,Book,,,1.97,0.458,0.618,2.04,0.458,0.609,2.01,0.472,0.605,Interpolated
1964,Book,,,1.99,0.456,0.622,2.06,0.456,0.613,2.03,0.470,0.609,Interpolated
1965,Book,,,2.02,0.455,0.626,2.07,0.455,0.617,2.05,0.469,0.613,Interpolated
1966,Book,,,2.05,0.454,0.629,2.08,0.454,0.620,2.07,0.468,0.616,Interpolated
1967,Book,2.10,2.45,2.10,0.454,0.631,2.11,0.454,0.622,2.08,0.468,0.617,Validated
1968,Book,,,2.10,0.446,0.631,2.11,0.446,0.622,2.08,0.459,0.617,Interpolated
1969,Book,,,2.10,0.437,0.630,2.11,0.437,0.621,2.07,0.450,0.616,Interpolated
1970,Book,,,2.09,0.428,0.627,2.11,0.428,0.618,2.06,0.441,0.613,Interpolated
1971,Book,,,2.09,0.419,0.624,2.10,0.419,0.615,2.05,0.432,0.610,Interpolated
1972,Book,,,2.08,0.415,0.622,2.10,0.415,0.613,2.04,0.428,0.608,Interpolated
1973,Book,,,2.08,0.412,0.620,2.10,0.412,0.611,2.03,0.425,0.606,Interpolated
1974,Book,,,2.08,0.410,0.618,2.10,0.410,0.609,2.03,0.423,0.604,Interpolated
1975,Book,,,2.09,0.408,0.617,2.11,0.408,0.608,2.03,0.421,0.603,Interpolated
1976,Book,,,2.09,0.408,0.617,2.11,0.408,0.608,2.03,0.421,0.603,Interpolated
1977,Book,2.10,2.53,2.10,0.407,0.616,2.11,0.407,0.607,2.02,0.427,0.594,Validated
1978,Book,,,2.13,0.400,0.619,2.14,0.400,0.610,2.05,0.420,0.597,Interpolated
1979,Book,,,2.16,0.393,0.621,2.17,0.393,0.612,2.08,0.413,0.600,Interpolated
1980,Book,,,2.19,0.386,0.623,2.20,0.386,0.614,2.10,0.406,0.602,Interpolated
1981,Book,,,2.22,0.380,0.624,2.24,0.380,0.615,2.12,0.400,0.594,Interpolated
1982,Book,,,2.26,0.376,0.626,2.28,0.376,0.617,2.15,0.396,0.596,Interpolated
1983,Book,,,2.30,0.372,0.627,2.32,0.372,0.618,2.18,0.392,0.597,Interpolated
1984,Book,,,2.33,0.370,0.628,2.35,0.370,0.619,2.20,0.390,0.598,Interpolated
1985,Book,,,2.36,0.368,0.629,2.38,0.368,0.620,2.22,0.388,0.598,Interpolated
1986,Book,,,2.38,0.366,0.629,2.40,0.366,0.620,2.23,0.386,0.598,Interpolated
1987,Book,,,2.40,0.365,0.630,2.42,0.365,0.621,2.24,0.385,0.598,Interpolated
1988,Book,,,2.42,0.364,0.631,2.43,0.364,0.622,2.24,0.390,0.598,Interpolated
1989,Book,2.44,2.89,2.44,0.363,0.631,2.44,0.363,0.623,2.25,0.392,0.599,Validated
1990,Extension,,,2.46,0.357,0.632,2.45,0.357,0.624,2.27,0.386,0.591,Extended
1991,Extension,,,2.48,0.351,0.633,2.46,0.351,0.624,2.29,0.380,0.583,Extended
1992,Extension,,,2.50,0.346,0.634,2.47,0.346,0.625,2.31,0.376,0.575,Extended
1993,Extension,,,2.51,0.343,0.635,2.45,0.343,0.625,2.33,0.375,0.570,Extended
1994,Extension,,,2.52,0.341,0.636,2.45,0.341,0.626,2.35,0.374,0.567,Extended
1995,Extension,,,2.53,0.340,0.636,2.46,0.337,0.627,2.35,0.374,0.567,Extended
1996,Extension,,,2.55,0.335,0.638,2.47,0.332,0.628,2.37,0.368,0.560,Extended
1997,Transition,,,2.58,0.328,0.640,2.49,0.325,0.629,2.39,0.360,0.548,SIC-NAICS Bridge
1998,Extension,,,2.60,0.324,0.641,2.50,0.321,0.629,2.40,0.356,0.540,Extended
1999,Extension,,,2.61,0.322,0.642,2.51,0.319,0.629,2.40,0.354,0.535,Extended
2000,Extension,,,2.61,0.320,0.644,2.51,0.317,0.629,2.41,0.352,0.528,Extended
2001,Extension,,,2.63,0.316,0.646,2.52,0.313,0.629,2.42,0.348,0.520,Extended
2002,Extension,,,2.64,0.312,0.648,2.53,0.309,0.630,2.44,0.344,0.510,Extended
2003,Extension,,,2.66,0.308,0.650,2.54,0.305,0.630,2.46,0.340,0.500,Extended
2004,Extension,,,2.68,0.302,0.651,2.56,0.299,0.631,2.47,0.334,0.492,Extended
2005,Extension,,,2.70,0.298,0.653,2.57,0.295,0.631,2.49,0.328,0.483,Extended
2006,Extension,,,2.71,0.296,0.654,2.58,0.293,0.631,2.49,0.326,0.479,Extended
2007,Extension,,,2.73,0.294,0.655,2.59,0.291,0.631,2.50,0.323,0.476,Extended
2008,Extension,,,2.75,0.290,0.657,2.60,0.287,0.632,2.51,0.320,0.467,Extended
2009,Extension,,,2.77,0.286,0.659,2.62,0.284,0.632,2.52,0.316,0.459,Extended
2010,Extension,,,2.78,0.285,0.659,2.63,0.282,0.632,2.53,0.314,0.455,Extended
2011,Extension,,,2.80,0.282,0.661,2.64,0.279,0.633,2.55,0.310,0.448,Extended
2012,Extension,,,2.82,0.278,0.663,2.65,0.275,0.633,2.56,0.306,0.440,Extended
2013,Extension,,,2.84,0.275,0.665,2.66,0.272,0.634,2.57,0.302,0.430,Extended
2014,Extension,,,2.85,0.272,0.666,2.68,0.269,0.634,2.59,0.299,0.420,Extended
2015,Extension,,,2.87,0.270,0.667,2.68,0.267,0.634,2.60,0.297,0.420,Extended
2016,Extension,,,2.88,0.268,0.669,2.70,0.265,0.635,2.61,0.294,0.415,Extended
2017,Extension,,,2.90,0.266,0.671,2.71,0.263,0.635,2.63,0.291,0.405,Extended
2018,Extension,,,2.92,0.263,0.672,2.72,0.260,0.636,2.64,0.288,0.398,Extended
