entity_id,entity_type,entity_name,document_count,document_ids
ENT0001,PERSON,Mohun,2,"[2005] Mohun - On measuring the wealth of nations the US economy, 1964-2001;[2013] Mohun - Unproductive Labor in the US Economy 1964-2010"
ENT0002,PERSON,Tsoulfidis,2,"[2011] Paitardis & Tsoulfidis - the Growth of Unproductive Activities, the Rate of Profit, and the Phase-Change of the U.S. Economy;[2019] Tsoulfidis & Paitaridis - Capital intensity, unproductive activities and the Great Recession in the US economy"
ENT0003,PERSON,Semmler,1,"[1984] Semmler - Competition, Monopoly, and Differential Profit Rates"
ENT0004,PERSON,Tonak,1,[1984] Tonak -A Conceptualization of State Revenues and Expenditures USA 1952-1980
ENT0005,PERSON,Cronin,1,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95
ENT0006,PERSON,Matthews,1,[2002] Matthews - An Econometric Model of the Circuit of Capital
ENT0007,PERSON,Paitardis,1,"[2011] Paitardis & Tsoulfidis - the Growth of Unproductive Activities, the Rate of Profit, and the Phase-Change of the U.S. Economy"
ENT0008,PERSON,Paitaridis,1,"[2019] Tsoulfidis & Paitaridis - Capital intensity, unproductive activities and the Great Recession in the US economy"
ENT0009,PERSON, Semmler Competition Monopoly,1,1984_Semmler_Competition_Monopoly
ENT0010,PERSON, Tonak State Revenues,1,1984_Tonak_State_Revenues
ENT0011,PERSON, Semmler Nonlinear Cycles,1,1985_Semmler_Nonlinear_Cycles
ENT0012,PERSON, Shaikh Tonak Social Wage Myth,1,1987_Shaikh_Tonak_Social_Wage_Myth
ENT0013,PERSON, Measuring Wealth,1,1994_Measuring_Wealth
ENT0014,PERSON, Cronin New Zealand,1,2001_Cronin_New_Zealand
ENT0015,PERSON, Matthews,1,2002_Matthews
ENT0016,PERSON, Matthews Econometric Model,1,2002_Matthews_Econometric_Model
ENT0017,PERSON, Shaikh Tonak Welfare State,1,2002_Shaikh_Tonak_Welfare_State
ENT0018,PERSON, Mohun US 1964 2001,1,2005_Mohun_US_1964_2001
ENT0019,PERSON, Paitaridis Tsoulfidis,1,2011_Paitaridis_Tsoulfidis
ENT0020,PERSON, Mohun Unproductive 1964 2010,1,2013_Mohun_Unproductive_1964_2010
ENT0021,PERSON, Moos NSW 21st Century,1,2017_Moos_NSW_21st_Century
ENT0022,PERSON, Tsoulfidis Paitaridis Great Recession,1,2019_Tsoulfidis_Paitaridis_Great_Recession
ENT0023,PERSON, Karabacak Tonak NSW Turkey,1,2022_Karabacak_Tonak_NSW_Turkey
ENT0024,PERSON, Savran Tonak Marx Capital,1,2024_Savran_Tonak_Marx_Capital
ENT0025,PERSON, Savran Tonak Tracks Marx Capital,1,2024_Savran_Tonak_Tracks_Marx_Capital
