table_id,document_id,file,chars,lines,preview
T00001,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] table_selection_integrity.json,26555,789,"{   ""groups"": [     {       ""page"": ""001"";       ""candidates"": [         {           ""file"": ""..\\Projects\\Shaikh Tonak\\[2001] Cronin - Productive a"
T00002,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_001_table_01_pdfplumber_strategy_2.csv,742,26,ISSN: 09;53-8259 (;Print) 1465-3982 (Onl;ine) Journal homepage: www.tandfo ;;; Produc;tive;and Unpr;oductive Capita of the;New;Zealand;system of natio
T00003,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_002_table_01_pdfplumber_strategy_2.csv,2815,48,"""Review of Political Economy; Volume 13; Number 3; 2001"" """" Productive and Unproductive Capital: a mapping of the New Zealand system of national accou"
T00004,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_003_table_01_pymupdf_text_analysis.csv,249,4,"""‘New Zealand;’"";The Economist;""remarked in April 1995; ‘now probably boasts"" cally conceived national accounts data.;1;The most comprehensive of thes"
T00005,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_004_table_01_pdfplumber_strategy_2.csv,3675,50,"Productive and Unproductive Capital 311 """" ""production price (see Marx; 1867; pp.251–252). Constant capital is similarly"" de(cid:142)ned as the money "
T00006,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_005_table_01_pymupdf_text_analysis.csv,182,3,"only with production of outputs.;5;""First; the relationship between the neoclassical"" non-market production and non-market consumption (Fraad;et al.;"""
T00007,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_006_table_01_pdfplumber_strategy_2.csv,1811,27,;;;Producti;ve and Unprod;uctive Capital 313 ;;;;; Fig. 1. Rel;ationship bet;ween conven;tional natio;nal accounts an;d classical categories ;as;sumin
T00008,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_007_table_01_pdfplumber_strategy_2.csv,1673,24,"314 Bruce;Cronin;; ;;; ;Fig. 2. De;rivation of classica;l production and trade categories ;;; paid for acc;ess to la;""nd; interest a roy"";""alty paid f"
T00009,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_008_table_01_pdfplumber_strategy_2.csv,1530,23,";;Productive and Unproductive Capital 315 ;; ;;Fig. 3. Value and secondary/(cid:142)ctitious categories ;; ;Similar;""ly; of(cid:142)cial national acco"
T00010,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_009_table_01_pdfplumber_strategy_2.csv,3491,50,"316 Bruce Cronin """" relatively large andhighly mechanised holdings.6 There is insuf(cid:142)cientdata in the national accounts and from other sources "
T00011,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_010_table_01_pymupdf_text_analysis.csv,170,3,"covered by these studies with annual data from the NZSNA.;7;""However; as only"" 7;The main of; cial national accounting in New Zealand is the System o"
T00012,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_011_table_01_pymupdf_text_analysis.csv,904,27,Gross;Total;Constant;Variable;Surplus; output;value;capital;capital;value; 1972;12469;10423;5094;1739;3589 1973;14633;12267;5957;1936;4374 1974;17168;
T00013,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_012_table_01_pdfplumber_strategy_2.csv,973,16,;;Product;ive and Un;produc;tive Capita;l 319 ;;;;;; ;Fig. 5. Estimat;es of rate of sur;plus-value;post-197;0; ;;;;;; tive sales and m;onetary transa;
T00014,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_013_table_01_pdfplumber_strategy_2.csv,980,17,320 Bruc;e Cron;in;;;;; ;;;;;;; ;F;ig. 7. Estimates of;rate of surplu;s-va;lue pre-1970;; ;;;;;;; for the U;nited S;tates and those i;n this study;(se
T00015,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_014_table_01_pdfplumber_strategy_2.csv,1889,29,;;Productive;and Unproductive Capital 321 ;;; ;Fig. 9. Rate of sur;plus-value and;pro(cid:142)t/wage ratio ;;; the rate of surpl;us-value and is sub;j
T00016,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_015_table_01_pymupdf_text_analysis.csv,498,27,1972;34%;206%;293% 1973;36%;226%;308% 1974;34%;216%;319% 1975;29%;169%;306% 1976;30%;185%;326% 1977;33%;223%;353% 1978;31%;204%;346% 1979;32%;208%;334
T00017,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_016_table_01_pdfplumber_strategy_2.csv,539,12,;Productive and Unproductive Capi;tal 323 ;; Fig. 10. Accum;ulation of surplus-value; ;; Fig. 11. Rate of surplus-val;ue and value composition of capi
T00018,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_017_table_01_pdfplumber_strategy_2.csv,410,9,"324 Bruce Cr;onin; ;; ;Fig. 12. Accumulation rate and rate of surplus-value; ;; late 1980s and;""early 1990s; because of the growth of classically"";unp"
T00019,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_018_table_01_pdfplumber_strategy_2.csv,1871,29,;Productive;and;Unproductive C;apital 325 ;;;; Fig. 14. Classical and;conventional measur;es of v;alue added and s;urplus ;;;; While neoclassical out;
T00020,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_019_table_01_pdfplumber_strategy_2.csv,3257,54,"326 Bruce Cronin """" ""mid-1970s until the late-1980s. The derived classical economic categories; by"" ""contrast; reveal growing unproductive activity th"
T00021,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_020_table_01_pymupdf_text_analysis.csv,1569,18,"""waiting to be cleaned: a Marxist-feminist analysis of the household;"";""Rethinking Marxism;"";""2;""; ""1950–86; in: P. Dunne (Ed.)"";Quantitative Marxism;"
T00022,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_001_table_01_pdfplumber_strategy_2.csv,742,26,ISSN: 09;53-8259 (;Print) 1465-3982 (Onl;ine) Journal homepage: www.tandfo ;;; Produc;tive;and Unpr;oductive Capita of the;New;Zealand;system of natio
T00023,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_001_table_01_pymupdf_text_analysis.csv,142,3,"""classical economic categories; 1972"";‐;95 ""New Zealand system of national accounts to classical economic categories; 1972"";‐;""95; Review of"" "
T00024,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_002_table_01_pdfplumber_strategy_2.csv,2815,48,"""Review of Political Economy; Volume 13; Number 3; 2001"" """" Productive and Unproductive Capital: a mapping of the New Zealand system of national accou"
T00025,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_003_table_01_pdfplumber_strategy_2.csv,3567,50,"310 Bruce Cro;nin;;;; ;;;;; ""‘New Zealand;’"";The Economist re;marked i;n April 19;""95; ‘now prob"";ably boasts the best framewo;rk for monetary;and (ci"
T00026,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_003_table_01_pymupdf_text_analysis.csv,249,4,"""‘New Zealand;’"";The Economist;""remarked in April 1995; ‘now probably boasts"" cally conceived national accounts data.;1;The most comprehensive of thes"
T00027,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_004_table_01_pdfplumber_strategy_2.csv,3675,50,"Productive and Unproductive Capital 311 """" ""production price (see Marx; 1867; pp.251–252). Constant capital is similarly"" de(cid:142)ned as the money "
T00028,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_005_table_01_pdfplumber_strategy_2.csv,3426,51,"312 Bruce Cronin """" ""rather than unproductive activities. Unproductive activity; variously de(cid:142)ned to"" ""comprise activities such as government "
T00029,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_005_table_01_pymupdf_text_analysis.csv,182,3,"only with production of outputs.;5;""First; the relationship between the neoclassical"" non-market production and non-market consumption (Fraad;et al.;"""
T00030,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_006_table_01_pdfplumber_strategy_2.csv,1811,27,;;;Producti;ve and Unprod;uctive Capital 313 ;;;;; Fig. 1. Rel;ationship bet;ween conven;tional natio;nal accounts an;d classical categories ;as;sumin
T00031,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_006_table_01_pymupdf_text_analysis.csv,160,3,"represents the;sale;""of produced goods and services; summarised in Fig. 2"" ""classical framework; but rather a later"";re;distribution of already produc"
T00032,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_007_table_01_pdfplumber_strategy_2.csv,1673,24,"314 Bruce;Cronin;; ;;; ;Fig. 2. De;rivation of classica;l production and trade categories ;;; paid for acc;ess to la;""nd; interest a roy"";""alty paid f"
T00033,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_008_table_01_pdfplumber_strategy_2.csv,1530,23,";;Productive and Unproductive Capital 315 ;; ;;Fig. 3. Value and secondary/(cid:142)ctitious categories ;; ;Similar;""ly; of(cid:142)cial national acco"
T00034,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_009_table_01_pdfplumber_strategy_2.csv,3491,50,"316 Bruce Cronin """" relatively large andhighly mechanised holdings.6 There is insuf(cid:142)cientdata in the national accounts and from other sources "
T00035,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_010_table_01_pdfplumber_strategy_2.csv,1501,21,"4. Empirical Estimates of Classical Economic Categories """" ""The classicaleconomic categoriesof totalvalue; constantcapital; variablecapital"" ""and surp"
T00036,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_010_table_01_pymupdf_text_analysis.csv,170,3,"covered by these studies with annual data from the NZSNA.;7;""However; as only"" 7;The main of; cial national accounting in New Zealand is the System o"
T00037,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_011_table_01_pdfplumber_strategy_2.csv,2329,47,;Gross;Total;Constant V;ariable S;urplus ;output;value;capital;capital;value ;;;;; 1972;12469;10423;5094;1739;3589 1973;14633;12267;5957;1936;4374 197
T00038,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_011_table_01_pymupdf_text_analysis.csv,904,27,Gross;Total;Constant;Variable;Surplus; output;value;capital;capital;value; 1972;12469;10423;5094;1739;3589 1973;14633;12267;5957;1936;4374 1974;17168;
T00039,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_012_table_01_pdfplumber_strategy_2.csv,973,16,;;Product;ive and Un;produc;tive Capita;l 319 ;;;;;; ;Fig. 5. Estimat;es of rate of sur;plus-value;post-197;0; ;;;;;; tive sales and m;onetary transa;
T00040,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_013_table_01_pdfplumber_strategy_2.csv,980,17,320 Bruc;e Cron;in;;;;; ;;;;;;; ;F;ig. 7. Estimates of;rate of surplu;s-va;lue pre-1970;; ;;;;;;; for the U;nited S;tates and those i;n this study;(se
T00041,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_014_table_01_pdfplumber_strategy_2.csv,1889,29,;;Productive;and Unproductive Capital 321 ;;; ;Fig. 9. Rate of sur;plus-value and;pro(cid:142)t/wage ratio ;;; the rate of surpl;us-value and is sub;j
T00042,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_014_table_01_pymupdf_text_analysis.csv,135,3,"Fig. 9.;Rate of surplus-value and pro; t/wage ratio ""discussion see Easton; 1997b; Hall; 1996; Rankin; 1995; Fa¨re"";et al;"".; 1996)."" "
T00043,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_015_table_01_pdfplumber_strategy_2.csv,1979,51,322 Bru;ce Croni;n;;;;; ;;;;;;; ;;Table 2. R;ate of;surpl;us-value a;nd value; ;;;composit;ion o;f capital;; ;;;;;;; ;;;S/TV;;s/v;c/v; ;;;;;;; ;;1972;
T00044,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_015_table_01_pymupdf_text_analysis.csv,498,27,1972;34%;206%;293% 1973;36%;226%;308% 1974;34%;216%;319% 1975;29%;169%;306% 1976;30%;185%;326% 1977;33%;223%;353% 1978;31%;204%;346% 1979;32%;208%;334
T00045,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_016_table_01_pdfplumber_strategy_2.csv,539,12,;Productive and Unproductive Capi;tal 323 ;; Fig. 10. Accum;ulation of surplus-value; ;; Fig. 11. Rate of surplus-val;ue and value composition of capi
T00046,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_017_table_01_pdfplumber_strategy_2.csv,410,9,"324 Bruce Cr;onin; ;; ;Fig. 12. Accumulation rate and rate of surplus-value; ;; late 1980s and;""early 1990s; because of the growth of classically"";unp"
T00047,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_018_table_01_pdfplumber_strategy_2.csv,1871,29,;Productive;and;Unproductive C;apital 325 ;;;; Fig. 14. Classical and;conventional measur;es of v;alue added and s;urplus ;;;; While neoclassical out;
T00048,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_019_table_01_pdfplumber_strategy_2.csv,3257,54,"326 Bruce Cronin """" ""mid-1970s until the late-1980s. The derived classical economic categories; by"" ""contrast; reveal growing unproductive activity th"
T00049,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_019_table_01_pymupdf_text_analysis.csv,680,9,"""Aglietta; M. (1979)"";A Theory of Capitalist Regulation: the US experience;""(London; New Left""; ""data;"";Capital and Class;""; 55; pp. 103–129.""; ""Croni"
T00050,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_020_table_01_pdfplumber_strategy_2.csv,2931,45,"""Freeman; A. (1991) National accounts in value terms: the social wage and pro(cid:142)t rate in Britain"" ""1950–86; in: P. Dunne (Ed.) Quantitative Mar"
T00051,[2001] Cronin - Productive and Unproductive Capital A mapping of the New Zealand system of national accounts to classical economic categories 1972-95,[2025.10.02] page_020_table_01_pymupdf_text_analysis.csv,1569,18,"""waiting to be cleaned: a Marxist-feminist analysis of the household;"";""Rethinking Marxism;"";""2;""; ""1950–86; in: P. Dunne (Ed.)"";Quantitative Marxism;"
T00052,[2002] Matthews - An Econometric Model of the Circuit of Capital,[2025.10.02] table_selection_integrity.json,74159,2649,"{   ""groups"": [     {       ""page"": ""001"";       ""candidates"": [         {           ""file"": ""..\\Projects\\Shaikh Tonak\\[2002] Matthews - An Econome"
T00053,[2002] Matthews - An Econometric Model of the Circuit of Capital,[2025.10.02] page_001_table_01_pdfplumber_strategy_2.csv,17751,51,(cid:77)(cid:101)(cid:116)(cid:114)(cid:111)(cid:101)(cid:99)(cid:111)(cid:110)(cid:111)(cid:109)(cid:105)(cid:99)(cid:97) (cid:53)(cid:49);(cid:58)(c
T00054,[2002] Matthews - An Econometric Model of the Circuit of Capital,[2025.10.02] page_002_table_03_pymupdf_text_analysis.csv,225,4,"productive workers in the form of labor income.;6;The conversion of other; 5;""In this simple case; then; the calculation of"";v;is consistent with its "
T00055,[2002] Matthews - An Econometric Model of the Circuit of Capital,[2025.10.02] page_003_table_01_pdfplumber_strategy_2.csv,23030,70,";;;;;""1467999x;"" (cid:65);(cid:110) (cid:69)(cid:99)(cid:111)(cid:110)(cid:111)(cid:109)(cid:101)(cid:116)(cid:114)(cid:105)(cid:99) (cid:77);(cid:111"
T00056,[2002] Matthews - An Econometric Model of the Circuit of Capital,[2025.10.02] page_004_table_01_pdfplumber_strategy_2.csv,16012,92,";;;;;;""1467999x;"" (cid:52);(cid:80)(cid:101)(cid:116)(cid:101);(cid:114) (cid:72)(cid:97)(cid:110)(cid:115) (cid:77)(cid:97)(cid:116)(cid:116);(cid:10"
T00057,[2002] Matthews - An Econometric Model of the Circuit of Capital,[2025.10.02] page_005_table_01_pdfplumber_strategy_2.csv,20312,93,";;;;;;""1467999x;"" (cid:65);(cid:110) (cid:69)(cid:99)(cid:111)(cid:110)(cid:111)(cid:109)(cid:101)(cid:116)(cid:114)(cid:105);(cid:99) (cid:77)(cid:11"
T00058,[2002] Matthews - An Econometric Model of the Circuit of Capital,[2025.10.02] page_007_table_02_pymupdf_text_analysis.csv,21,3,1;2;1;2 C;0;) ¯ows.; 
T00059,[2002] Matthews - An Econometric Model of the Circuit of Capital,[2025.10.02] page_008_table_01_pymupdf_text_analysis.csv,87,3,"which the composition of costs;k;""; recommittal rate"";p;and new borrow- ings;B;0;and;B "
T00060,[2002] Matthews - An Econometric Model of the Circuit of Capital,[2025.10.02] page_009_table_02_pymupdf_text_analysis.csv,690,9,"""other series plotted there; indicate."";17;""Even without this correction; how-"";; 14;N;t;is itself the product of the number of productive (as de®ned "
