table_number,title,pdf_pages,chapter,n_data_columns,n_data_rows,is_time_series,notes
5.2,"Primary Marxian and IO measures, benchmark years (millions of dollars)",1,Ch5,"6 benchmark years (1947,1958,1963,1967,1972,1977)",24,FALSE,"Book p.94; benchmark-year cross-section (not annual series); Marxian measures + selected IO measures"
5.3,"Primary Marxian and NIPA measures, benchmark years (NIPA based; billions of dollars)",2,Ch5,"6 benchmark years (1947,1958,1963,1967,1972,1977)",34,FALSE,"Book p.99; includes IO-vs-NIPA comparison ratios block"
5.4,"Primary Marxian and NIPA measures, 1948-89 (NIPA based; billions of dollars)",3-8,Ch5,"1948-1989 = 42",43,TRUE,"Book pp.100-105; spans 6 PDF pages (5-year column blocks); Marxian measures + selected NIPA-IO measures + comparisons"
5.5,"Total labor and productive employment, 1948-89 (thousands)",9,Ch5,"1948-1989 = 42",5,TRUE,"Book p.113; single page, years stacked in 6 row-blocks; rows L, Lp, Lu, Lp/Lu, Lp/L; Source: Appendix F"
5.6,"Total wages and variable capital, 1948-89",10-12,Ch5,"1948-1989 = 42",15,TRUE,"Book pp.115-117; years stacked in 7-year blocks across 3 PDF pages; billions of $ and 1982 $"
5.7,"Marxian variables and their orthodox counterparts, 1948-89 (billions of dollars)",13-14,Ch5,"1948-1989 = 42 (subset of years shown)",10,TRUE,"Book pp.120-121; only selected years displayed in stacked blocks but logically annual 1948-89"
5.8,"Aggregate rates of profit and compositions of capital, 1948-89",15-17,Ch5,"1948-1989 = 42",~25,TRUE,"Book pp.125-127; spans 3 PDF pages; profit rates, K*, utilization, corporate rates, value compositions"
5.9,"Changes in profit rates and basic components",18,Ch5,"4 (Overall change 1948-80 & 1980-89; Annual trend 1948-80 & 1980-89)",6,FALSE,"Book p.129; summary percentage-change table, not annual series"
5.10,"Marxian and conventional measures of productivity, 1948-89",19-21,Ch5,"1948-1989 = 42",~11,TRUE,"Book pp.133-135; spans 3 PDF pages; q*, y*, y, y1, y2 with index numbers"
5.11,"Government absorption of surplus value, 1948-89 (billions of dollars)",22-23,Ch5,"1948-1989 = 42",6,TRUE,"Book pp.143 ff; years stacked in 7-year blocks over 2 PDF pages; rows G*t, G*, WG, SP*, G*t/SP*"
5.12,"Labor value and money rates of surplus value",24,Ch5,"5 benchmark years (1958,1963,1967,1972,1977)",6,FALSE,"Book p.144; revenue-side and use-side blocks; Source: Khanjian (1989, table 19)"
5.13,"Approximation to the rate of surplus value, 1948-89",25-27,Ch5,"1948-1989 = 42",~9,TRUE,"Book pp.147-149; spans 3 PDF pages; S*/V* and approximation-procedure components"
5.14,"Comparison of key Marxian and orthodox measures",28,Ch5,"3 (Typical relative levels 1967; Change 1948-89; Change 1972-82)",10,FALSE,"Book p.151; summary comparison table, not annual series"
6.1,"Wolff's estimates of the money and value rates of surplus value in Puerto Rico",29,Ch6,"2 (1948,1963) + Change",3,FALSE,"Book p.158; Source: Wolff (1975, p.940)"
6.2,"Sectoral (manufacturing) estimates of the rate of surplus value, 1899-1984",30-31,Ch6,"selected years 1899-1984 (stacked 8-year blocks)",~5,TRUE,"Book pp.168-169; spans 2 PDF pages; rows are estimates by Shaikh, Varga, Gillman, Mandel, Perlo; sparse/irregular year coverage"
6.6,"Rates of surplus value in Greece, selected years",32,Ch6,"11 selected years (1958-1977)",2,TRUE,"Book p.190; Papadimitriou and Tsaliki/Tsoulfidis rows; selected years only"
6.10,"Rates of surplus value, Wolff vs. others",33,Ch6,"6 benchmark years (1947,1958,1963,1967,1972,1977)",4,FALSE,"Book p.202; benchmark cross-section comparing Wolff/Khanjian/our estimates"
6.11,"Real surplus value and economic surplus",34,Ch6,"4 (S*, Stanfield, Phillips, ratios)",23,TRUE,"Book p.205; annual rows 1948-1970 down the page; year is a row not a column"
7.1,"Profit, accumulation, social savings, and burden rates",35-37,Ch7,"1948-1989 = 42",~14,TRUE,"Book pp.217-219; spans 3 PDF pages; burden rate b, Pn, S*, net investment, utilization, accumulation rate, K*"
A.1,"Mapping between sectors of the original 1972 85-order table and the final 82x88 IO tables",38-39,AppA,2 (Original IO sector; Final tables sector),85,FALSE,"Book pp.235-236; concordance/mapping list of 85 sectors; spans 2 PDF pages; not a numeric data series"
A.2,"Sectoral correspondence for the different IO tables",40-42,AppA,"4 (1963-77 105x116; 1963-77 87x98; 1947/58 90x99; Final 82x88)","~116 rows + final-demand columns block",FALSE,"Book pp.244-246; sector concordance across 4 IO table vintages; spans 3 PDF pages; includes Final-demand columns sub-block"
