# source=BookTableE.3(p.320) | nipa_refs=6.10B | methodology=Shaikh-Tonak1994_Appendix | period=1948-1961 | note=Sector_employment_decomposition_Lp_Lu
,Sector,Units,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961
,Agriculture,thousands,4310,4079,3862,3713,3432,3338,3303,3193,3118,3065,3116,3181,3255,3191
,(Lp/L)_min,ratio,0.782,0.777,0.765,0.761,0.763,0.759,0.747,0.756,0.757,0.760,0.759,0.760,0.759,
,(Lp)_agr,thousands,3395,3199,3027,2902,2666,2554,2513,2435,2367,2290,2357,2408,2475,2423
,(Lu)_agr,thousands,915,880,835,811,766,784,790,758,751,775,759,773,780,768
,GovEnt_Federal,thousands,691,694,700,718,785,824,835,848,866,870,843,838,854,838
,(Lp)_gefed,thousands,510,511,513,527,575,598,605,612,621,622,606,601,608,587
,GovEnt_StateLocal,thousands,389,399,420,428,429,429,461,479,507,521,530,555,596,644
,(Lp)_gest,thousands,287,294,308,314,314,311,334,346,363,373,381,398,424,451
,(Lp)_getotal,thousands,797,804,821,841,888,909,939,958,984,995,986,999,1032,1037
,(Lu)_getotal,thousands,283,289,299,305,326,344,357,369,389,396,387,394,418,445
,Trade_Total,thousands,12433,12499,12849,13213,13615,13822,14179,14637,14889,15158,15488,16209,16565,16500
,DUMMY_Ld,thousands,10268,10460,10770,11118,12023,12695,13099,13325,13251,13198,13231,13418,13630,13902
,Gov_Federal,thousands,4718,4657,4660,4671,5203,5626,5696,5636,5228,4845,4501,4356,4307,4278
,Gov_StateLocal,thousands,5550,5803,6110,6447,6820,7069,7403,7689,8023,8353,8730,9062,9323,9624
,L_total,thousands,66091,66655,67874,70128,73301,75137,76929,78875,78275,77937,79856,83299,84612,82827
,Lp_total,thousands,29937,30013,30280,31365,32566,32856,33445,34125,33247,32727,33896,35462,35657,33615
,Lp_L_ratio,ratio,0.453,0.450,0.446,0.447,0.444,0.437,0.435,0.433,0.425,0.420,0.424,0.426,0.421,0.406
