series_id,year,value,units,stage,provenance
ES1001-A,1952,34.58,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1953,36.31,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1954,34.89,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1955,38.56,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1956,43.68,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1957,47.35,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1958,47.84,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1959,53.68,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1960,59.96,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1961,62.27,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1962,68.43,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1963,74.28,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1964,74.52,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1965,80.74,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1966,97.21,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1967,108.52,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1968,125.15,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1969,144.77,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1970,151.39,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1971,157.06,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1972,184.74,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1973,211.25,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1974,236.71,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1975,241.7,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1976,277.57,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1977,315.86,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1978,362.21,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1979,413.94,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
ES1001-A,1980,456.39,billions_usd,book_period,Tonak1984_table_V_taxes_labor_nonlabor_1952_1980.csv:labor_taxes
