series_id,year,value,units,stage,provenance
S514-A,1948,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1949,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1950,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1951,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1952,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1953,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1954,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1955,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1956,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1957,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1958,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1959,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1960,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1961,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1962,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1963,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1964,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1965,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1966,,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1967,0.3635248471651058,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1968,0.36092264262683155,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1969,0.34777472221990213,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1970,0.3108471303397541,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1971,0.3041845013179543,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1972,0.31998033058556863,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1973,0.32918607762051305,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1974,0.28866777104557745,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1975,0.26314689601753766,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1976,0.2820396673342173,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1977,0.2961745633584927,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1978,0.3003675442361031,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1979,0.28748391977950766,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1980,0.2621203370003683,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1981,0.2617747290377996,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1982,0.2362743536082311,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1983,0.2504807047709059,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1984,0.283484894326389,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1985,0.2842176076650408,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1986,0.28564407684369914,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1987,0.2979321586062128,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1988,0.3108336367856671,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
S514-A,1989,0.3117626322942385,rate,book_period_derived,S513 × (TCU/100); TCU NaN pre-1967
