series_id,year,value,units,stage,provenance
S513-A,1948,0.39461321641089886,rate,book_period_derived,Stock-form r* = S505-A / (S517-A + S504-A); Book Table 5.11 / §5.5
S513-A,1949,0.38942495369290864,rate,book_period_derived,Stock-form r* = S505-A / (S517-A + S504-A); Book Table 5.11 / §5.5
S513-A,1950,0.38519630420392137,rate,book_period_derived,Stock-form r* = S505-A / (S517-A + S504-A); Book Table 5.11 / §5.5
S513-A,1951,0.3987198603792128,rate,book_period_derived,Stock-form r* = S505-A / (S517-A + S504-A); Book Table 5.11 / §5.5
S513-A,1952,0.3911163838172605,rate,book_period_derived,Stock-form r* = S505-A / (S517-A + S504-A); Book Table 5.11 / §5.5
S513-A,1953,0.39247142626864295,rate,book_period_derived,Stock-form r* = S505-A / (S517-A + S504-A); Book Table 5.11 / §5.5
S513-A,1954,0.3951608923575655,rate,book_period_derived,Stock-form r* = S505-A / (S517-A + S504-A); Book Table 5.11 / §5.5
S513-A,1955,0.39570824070418925,rate,book_period_derived,Stock-form r* = S505-A / (S517-A + S504-A); Book Table 5.11 / §5.5
S513-A,1956,0.3735611346346046,rate,book_period_derived,Stock-form r* = S505-A / (S517-A + S504-A); Book Table 5.11 / §5.5
S513-A,1957,0.3714914286053596,rate,book_period_derived,Stock-form r* = S505-A / (S517-A + S504-A); Book Table 5.11 / §5.5
S513-A,1958,0.377203729773987,rate,book_period_derived,Stock-form r* = S505-A / (S517-A + S504-A); Book Table 5.11 / §5.5
S513-A,1959,0.3902013793412742,rate,book_period_derived,Stock-form r* = S505-A / (S517-A + S504-A); Book Table 5.11 / §5.5
S513-A,1960,0.3918194725223019,rate,book_period_derived,Stock-form r* = S505-A / (S517-A + S504-A); Book Table 5.11 / §5.5
S513-A,1961,0.3951453645640396,rate,book_period_derived,Stock-form r* = S505-A / (S517-A + S504-A); Book Table 5.11 / §5.5
S513-A,1962,0.40928758140694205,rate,book_period_derived,Stock-form r* = S505-A / (S517-A + S504-A); Book Table 5.11 / §5.5
S513-A,1963,0.41520206844914265,rate,book_period_derived,Stock-form r* = S505-A / (S517-A + S504-A); Book Table 5.11 / §5.5
S513-A,1964,0.423235088550338,rate,book_period_derived,Stock-form r* = S505-A / (S517-A + S504-A); Book Table 5.11 / §5.5
