series_id,year,value,units,stage,provenance
ES1704-A,1972,10423.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1973,12267.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1974,14233.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1975,15553.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1976,18847.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1977,23454.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1978,25195.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1979,28131.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1980,33317.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1981,38400.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1982,46691.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1983,52322.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1984,57628.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1985,67193.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1986,77232.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1987,87537.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1988,93389.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1989,96845.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1990,100038.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1991,100112.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1992,100125.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1993,105252.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1994,115853.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
ES1704-A,1995,123284.0,millions_nzd,book_period,Cronin2001_cronin_table1_nzsna_classical_1972_1995.csv:total_value_mNZD
