Year,Labour_Benefit_Ratio_Pct_GDP,Labour_Tax_Ratio_Pct_GDP,Net_Social_Wage_Ratio_Pct_GDP
1980,5.77,6.19,-0.42
1981,5.19,5.85,-0.66
1982,5.00,5.35,-0.34
1983,4.93,6.17,-1.24
1984,4.51,5.12,-0.61
1985,3.97,5.42,-1.45
1986,4.13,5.62,-1.49
1987,5.03,6.63,-1.60
1988,4.25,6.36,-2.12
1989,5.33,7.65,-2.32
1990,6.63,8.78,-2.14
1991,8.11,10.62,-2.51
1992,8.03,10.44,-2.42
1993,9.00,10.14,-1.14
1994,7.66,9.86,-2.20
1995,7.66,9.24,-1.58
1996,10.13,12.07,-1.94
1997,10.77,10.77,0.00
1998,8.45,9.70,-1.25
1999,10.00,11.17,-1.17
2000,8.69,11.53,-2.63
2001,9.41,12.54,-3.13
2002,10.17,12.48,-2.30
2003,11.08,12.65,-1.57
2004,10.56,12.29,-1.72
2005,11.76,12.65,-0.89
2006,11.93,12.43,-0.50
2007,12.97,12.46,0.51
2008,13.15,12.20,0.94
2009,16.27,14.29,1.98
2010,15.85,14.94,0.91
2011,13.78,14.73,-0.95
2012,14.20,15.38,-1.18
2013,14.51,15.78,-1.26
2014,14.31,15.71,-1.40
2015,14.67,16.38,-1.72
2016,16.54,17.47,-0.92
2017,14.28,14.79,-0.51
2018,14.30,14.35,-0.05
