Year,Rank,Sector,CB_Value
1995,1,Motor Vehicles,21.52
1995,2,Food,13.85
1995,3,Construction,8.22
1995,4,Machine,7.69
1995,5,Transportation,7.69
1995,6,Trade,7.26
1995,7,Health,6.41
1995,8,Agriculture,6.16
1995,9,Chemicals,5.58
1995,10,Telecommunications,5.06
1995,11,Fabricate Metal,3.25
2005,1,Motor Vehicles,67.47
2005,2,Health,22.27
2005,3,Food,11.58
2005,4,Machine,10.64
2005,5,Transportation,8.77
2005,6,Trade,8.34
2005,7,Construction,7.21
2005,8,Chemicals,5.52
2005,9,Agriculture,3.95
2005,10,Telecommunications,3.73
2005,11,Fabricate Metal,3.60
