Year,Rank,Sector,CB_Value
1995,1,Construction,30.56
1995,2,Food,21.09
1995,3,Motor Vehicles,18.06
1995,4,Trade,16.64
1995,5,Hotels-Restaurant,15.33
1995,6,Textiles,12.04
1995,7,Transportation,10.08
1995,8,Agriculture,8.40
1995,9,Chemicals,8.00
1995,10,Other Services,7.92
2005,1,Construction,71.49
2005,2,Trade,20.31
2005,3,Food,20.13
2005,4,Transportation,15.6
2005,5,Motor Vehicles,15.55
2005,6,Hotels-Restaurant,14.30
2005,7,Health,11.85
2005,8,Other Business,10.76
2005,9,Other Services,9.51
2005,10,Real Estate,8.76
