Year,Rank,Sector,CB_Value
1995,1,Health,38.91
1995,2,Finance,23.73
1995,3,Trade,21.32
1995,4,Public Administration,14.23
1995,5,Motor Vehicles,13.52
1995,6,Construction,12.40
1995,7,Hotel-Restaurant,10.14
1995,8,Food,9.55
1995,9,Real Estate,6.74
1995,10,Other Services,6.72
2005,1,Public Administration,23.305
2005,2,Health,13.83
2005,3,Trade,11.49
2005,4,Real Estate,10.00
2005,5,Other Services,9.73
2005,6,Finance,8.65
2005,7,Food,7.62
2005,8,Motor Vehicles,7.38
2005,9,Construction,6.62
2005,10,R&D,5.90
