Year,Rank,Sector,CB_Value
1995,1,Health,66.21
1995,2,Trade,15.92
1995,3,Motor Vehicles,15.46
1995,4,Construction,12.93
1995,5,Food,9.64
1995,6,Hotels-Restaurant,6.91
1995,7,Paper,6.24
1995,8,Education,5.00
1995,9,Machinery,4.64
1995,10,Aircraft,4.59
2005,1,Health,40.54
2005,2,Motor Vehicles,13.14
2005,3,Trade,11.05
2005,4,Construction,9.70
2005,5,Food,9.08
2005,6,R&D,7.11
2005,7,Hotels-Restaurant,60.91
2005,8,Chemicals,5.46
2005,9,Telecommunications,4.90
2005,10,Paper,4.50
