year,mean_lambda,max_lambda,all_positive,n_sectors
1997,0.0015821804711578357,0.008052530223783326,True,71
2002,0.0012538000421846959,0.006944295094625227,True,71
2007,0.0009812694704383548,0.007764172852918638,True,71
2012,0.0008606641354087761,0.00783747976099426,True,71
2017,0.0007946665660498722,0.007118995259191359,True,71
