# source=BookTableE.2(p.310) | nipa_refs=1.7.5,1.1.5,D.2,E.1 | methodology=Shaikh-Tonak1994_Appendix | period=1948-1961 | note=Revenue_accounts_for_Marxian_national_accounts
,TP_star,C_star_m,M_prime_u,M_prime_y,GFP,CON_star,CON,GVA_ir,RY_con,HH_con,ROW_con,IG_star,IG,RY_i,ABR,X_IM_star,X_IM,RY_x_im,ROW_x_im,G_star,G,RY_G,W_G,ROW_s,C_star_d,FP_star
1948,446.21,198.47,21.68,4.86,247.74,158.46,174.90,8.40,6.90,2.40,-1.27,44.27,47.10,0.05,2.77,4.06,7.00,0.07,2.87,14.40,32.60,0.20,18.10,-0.10,9.42,238.32
1949,431.96,189.06,21.36,5.31,242.90,160.16,173.80,9.40,7.48,2.40,-1.14,33.55,36.50,0.06,2.89,3.76,6.50,0.09,2.65,18.76,39.00,0.25,20.10,-0.11,9.29,233.60
1950,481.62,212.56,22.74,5.86,269.06,171.79,192.10,10.70,8.20,2.60,-1.18,51.96,55.10,0.06,3.07,-0.71,2.20,0.10,2.81,17.42,38.80,0.31,21.20,-0.13,10.81,258.25
1951,551.62,244.59,24.73,6.54,307.03,185.65,208.10,12.20,9.07,2.70,-1.52,56.94,60.50,0.07,3.49,0.67,4.50,0.12,3.71,32.50,60.40,0.39,27.70,-0.19,12.85,294.18
1952,573.95,254.35,25.42,7.25,319.61,194.14,219.10,14.00,9.98,2.60,-1.61,49.73,53.50,0.08,3.69,-0.98,3.20,0.15,4.04,44.06,75.80,0.47,31.50,-0.22,13.80,305.81
1953,605.37,268.66,25.97,8.10,336.71,204.41,232.60,15.90,11.07,2.70,-1.48,50.96,54.90,0.08,3.86,-2.69,1.30,0.17,3.81,49.96,82.70,0.57,32.40,-0.23,15.04,321.68
1954,596.63,261.36,26.38,8.78,335.26,209.09,239.80,17.70,11.90,2.60,-1.49,49.97,54.10,0.09,4.04,-1.55,2.60,0.20,3.95,42.59,76.00,0.67,33.00,-0.26,15.08,320.18
1955,652.91,287.18,28.43,9.53,365.74,224.27,257.90,19.40,12.82,3.10,-1.69,65.31,69.70,0.10,4.30,-1.85,3.00,0.23,4.62,40.05,75.30,0.78,34.80,-0.33,17.07,348.67
1956,687.21,303.11,29.84,10.47,384.10,234.18,270.60,21.00,13.99,3.30,-1.87,67.95,72.70,0.10,4.65,-0.24,5.30,0.26,5.27,41.89,79.60,0.91,37.20,-0.40,18.54,365.56
1957,717.30,314.63,31.18,11.39,402.67,246.03,285.30,22.90,15.10,3.30,-2.02,66.06,71.10,0.11,4.93,1.09,7.30,0.30,5.91,46.93,87.30,1.05,39.80,-0.49,19.79,382.88
1958,711.67,308.00,31.61,12.32,403.67,251.64,294.60,24.90,16.21,3.50,-1.65,58.40,63.60,0.12,5.09,-2.03,3.30,0.34,4.99,51.73,95.40,1.20,42.90,-0.44,19.92,383.75
1959,774.29,334.93,34.00,13.61,439.36,269.19,316.30,27.00,18.18,3.60,-1.67,74.79,80.20,0.13,5.28,-4.14,1.50,0.37,5.27,51.92,97.90,1.68,44.80,-0.50,21.44,417.91
1960,795.67,343.72,34.61,14.49,451.95,279.74,330.70,29.30,19.65,3.80,-1.79,72.55,78.20,0.13,5.52,-0.37,5.90,0.39,5.88,50.93,100.60,2.17,48.10,-0.59,21.78,430.16
1961,811.42,347.54,35.24,15.42,463.88,286.69,341.10,31.30,21.24,3.70,-1.83,71.27,77.10,0.13,5.69,0.48,7.20,0.41,6.31,54.77,108.40,2.71,51.60,-0.68,21.80,442.08
