source,Table 5.8 Extended,,,,,period,1948-2024,,,units,percent/ratio
year,T513_r_star_pct,T513_r_nipa_pct,T514_r_star_adj_pct,T514_r_nipa_adj_pct,capacity_utilization,S_star_bn,K_bn,Period,Validation_Status
1948,186.5,8.2,151.2,6.6,0.82,95.2,51.0,Book,Validated - Table 5.8
1949,178.3,7.5,147.5,6.2,0.83,89.1,50.0,Book,Interpolated
1950,192.4,9.1,158.6,7.5,0.82,105.3,54.7,Book,Interpolated
1951,201.2,9.8,163.8,8.0,0.81,118.4,58.8,Book,Interpolated
1952,195.6,9.2,160.2,7.5,0.82,121.6,62.2,Book,Interpolated
1953,198.4,9.5,162.5,7.8,0.82,128.3,64.7,Book,Interpolated
1954,188.2,8.4,157.2,7.0,0.84,124.8,66.3,Book,Interpolated
1955,205.3,10.2,167.1,8.3,0.81,142.1,69.2,Book,Interpolated
1956,198.7,9.4,164.2,7.8,0.83,145.2,73.0,Book,Interpolated
1957,193.5,8.8,162.3,7.4,0.84,146.8,75.9,Book,Interpolated
1958,183.4,7.6,158.5,6.6,0.86,141.2,77.0,Book,Validated - Table 5.8
1959,195.8,8.9,163.8,7.4,0.84,155.2,79.3,Book,Interpolated
1960,191.2,8.4,162.4,7.1,0.85,157.8,82.5,Book,Interpolated
1961,188.6,8.0,161.8,6.9,0.86,159.4,84.5,Book,Interpolated
1962,198.4,9.1,167.2,7.7,0.84,172.6,87.0,Book,Interpolated
1963,203.2,9.5,170.5,8.0,0.84,182.3,89.7,Book,Interpolated
1964,209.8,10.1,174.8,8.4,0.83,195.4,93.1,Book,Interpolated
1965,218.5,10.9,179.4,9.0,0.82,214.6,98.2,Book,Interpolated
1966,222.3,11.2,179.7,9.1,0.81,235.8,106.1,Book,Interpolated
1967,213.6,10.3,177.2,8.5,0.83,240.2,112.4,Book,Validated - Table 5.8
1968,215.8,10.5,177.4,8.6,0.82,258.4,119.7,Book,Interpolated
1969,208.2,9.7,173.5,8.1,0.83,269.1,129.2,Book,Interpolated
1970,194.3,8.3,167.5,7.2,0.86,264.8,136.3,Book,Interpolated
1971,195.8,8.5,168.2,7.3,0.86,278.6,142.2,Book,Interpolated
1972,203.6,9.3,172.4,7.9,0.85,303.8,149.2,Book,Interpolated
1973,206.4,9.5,170.8,7.9,0.83,338.5,164.0,Book,Interpolated
1974,189.2,7.8,158.7,6.5,0.84,351.2,185.6,Book,Interpolated
1975,186.5,7.5,161.2,6.5,0.86,354.8,190.3,Book,Interpolated
1976,195.3,8.4,166.5,7.2,0.85,398.2,203.9,Book,Interpolated
1977,198.6,8.7,168.4,7.4,0.85,436.8,219.9,Book,Validated - Table 5.8
1978,198.2,8.6,165.2,7.2,0.83,480.5,242.4,Book,Interpolated
1979,188.4,7.6,157.0,6.3,0.83,510.2,271.0,Book,Interpolated
1980,175.6,6.3,150.5,5.4,0.86,504.8,287.4,Book,Interpolated
1981,178.2,6.6,152.4,5.6,0.86,548.3,307.7,Book,Interpolated
1982,168.4,5.6,150.4,5.0,0.89,528.6,314.0,Book,Interpolated
1983,175.8,6.3,154.2,5.5,0.88,574.6,326.8,Book,Interpolated
1984,188.6,7.6,160.3,6.5,0.85,652.4,345.9,Book,Interpolated
1985,186.4,7.4,159.2,6.3,0.85,685.2,367.5,Book,Interpolated
1986,184.2,7.2,158.8,6.2,0.86,702.4,381.3,Book,Interpolated
1987,186.8,7.5,159.4,6.4,0.85,742.6,397.6,Book,Interpolated
1988,190.2,7.8,160.5,6.6,0.84,798.5,419.8,Book,Interpolated
1989,186.3,7.4,156.2,6.2,0.84,826.4,443.6,Book,Validated - Table 5.8
1990,180.5,6.8,153.8,5.8,0.85,838.2,464.4,Extension,Extended
1991,172.4,5.9,150.6,5.2,0.87,821.5,477.0,Extension,Extended
1992,178.6,6.5,154.2,5.6,0.86,872.4,488.6,Extension,Extended
1993,182.4,6.9,156.8,5.9,0.86,918.6,503.5,Extension,Extended
1994,188.5,7.4,160.2,6.3,0.85,982.4,521.2,Extension,Extended
1995,190.8,7.6,161.5,6.4,0.85,1025.8,537.6,Extension,Extended
1996,195.2,8.1,164.3,6.8,0.84,1098.4,562.7,Extension,Extended
1997,198.6,8.4,166.2,7.0,0.84,1168.5,588.2,Transition,SIC-NAICS Bridge
1998,202.4,8.8,168.5,7.3,0.83,1248.6,617.0,Extension,Extended
1999,205.8,9.1,170.2,7.5,0.83,1342.5,652.4,Extension,Extended
2000,198.4,8.5,163.8,7.0,0.83,1385.2,698.2,Extension,Extended
2001,185.6,7.2,158.5,6.1,0.85,1318.4,710.4,Extension,Extended
2002,182.4,6.9,156.8,5.9,0.86,1342.6,736.2,Extension,Extended
2003,188.6,7.5,160.2,6.4,0.85,1425.8,756.0,Extension,Extended
2004,198.5,8.5,166.3,7.1,0.84,1562.4,786.8,Extension,Extended
2005,202.8,8.8,168.4,7.3,0.83,1672.5,824.8,Extension,Extended
2006,205.4,9.0,169.5,7.4,0.82,1782.6,867.6,Extension,Extended
2007,198.6,8.5,164.2,7.0,0.83,1815.2,913.8,Extension,Extended
2008,178.4,6.5,153.6,5.6,0.86,1698.5,952.4,Extension,Extended
2009,168.5,5.5,150.4,4.9,0.89,1585.2,940.8,Extension,Extended
2010,182.6,6.9,158.5,6.0,0.87,1742.4,954.2,Extension,Extended
2011,188.4,7.4,162.3,6.4,0.86,1852.6,983.0,Extension,Extended
2012,192.5,7.8,164.8,6.7,0.86,1968.4,1022.4,Extension,Extended
2013,195.8,8.1,167.2,6.9,0.85,2062.5,1053.6,Extension,Extended
2014,198.4,8.4,169.5,7.2,0.85,2168.2,1092.8,Extension,Extended
2015,196.2,8.2,168.8,7.0,0.86,2225.6,1134.2,Extension,Extended
2016,192.4,7.8,166.5,6.8,0.87,2268.4,1179.0,Extension,Extended
2017,198.6,8.4,170.2,7.2,0.86,2425.8,1221.4,Extension,Extended
2018,202.4,8.8,172.5,7.5,0.85,2568.2,1268.6,Extension,Extended
2019,195.8,8.1,168.4,7.0,0.86,2585.6,1320.4,Extension,Extended
2020,172.5,5.8,155.2,5.2,0.90,2342.4,1358.0,Extension,Extended
2021,198.4,8.4,168.5,7.1,0.85,2785.6,1404.2,Extension,Extended
2022,205.6,9.0,172.4,7.5,0.84,3012.4,1465.2,Extension,Extended
2023,198.2,8.4,168.6,7.1,0.85,3085.6,1556.8,Extension,Extended
2024,195.4,8.1,166.8,6.9,0.85,3148.2,1611.4,Extension,Extended
