# source=BookTable5.14(p.140) | nipa_refs=multiple | methodology=Shaikh-Tonak1994 | period=benchmarks_1948-1989 | note=Marxian_vs_orthodox_ratio_comparison
,Variable,Typical_relative_levels_1967,Change_1948_1989,Change_1972_1982
1,TP*/GP,82%,-12%,
2,TP*/GNP,147%,-14%,
3,Lp/L,44%,-37%,
4,V*/W,42%,-33%,
5,S*/P,224%,+34%,
6,C*/V*,245%,+23%,
7,M/EC,136%,-12%,
8,S*/V*,210%,+44%,
9,P+/EC,58%,-27%,
10,q*/y,306%,"+49%a",+19%b
