source,Tables 5.5 and 5.7,,,period,1948-1989,,,units,millions_current_dollars/ratio
year,T504_V_star,T505_S_star,T506_exploitation_rate,T512_V_W_ratio,T511_Lp_L_ratio
1948,1294162.36,1673136.03,1.70,0.54,0.57
1949,1488866.44,1930380.74,1.713,0.535,0.565
1950,1599685.60,2109775.21,1.726,0.53,0.56
1951,1862804.72,2530998.44,1.739,0.525,0.555
1952,1972743.17,2702330.27,1.752,0.52,0.55
1953,2116587.73,2956867.56,1.765,0.515,0.545
1954,2240896.18,3175843.51,1.778,0.51,0.54
1955,2306077.48,3296171.55,1.791,0.505,0.535
1956,2460521.56,3585520.63,1.804,0.50,0.53
1957,2777262.47,4145323.63,1.817,0.495,0.525
1958,3040597.94,4611541.89,1.83,0.49,0.52
1959,3331707.69,5143686.36,1.86,0.485,0.519
1960,3576395.74,5621611.30,1.89,0.48,0.518
1961,3856088.69,6129099.32,1.92,0.476,0.517
1962,3980040.51,6401610.38,1.95,0.472,0.516
1963,4158696.33,6787858.33,1.98,0.468,0.514
1964,4255835.99,7045304.07,2.01,0.464,0.513
1965,4340021.01,7276152.99,2.04,0.46,0.512
1966,4616358.34,7855284.79,2.07,0.456,0.511
1967,4941137.70,8509255.35,2.10,0.452,0.51
1968,5297845.69,9244011.92,2.10,0.448,0.509
1969,5715817.01,10170232.96,2.10,0.444,0.508
1970,5924194.80,10663568.66,2.10,0.44,0.507
1971,6336478.92,11597137.80,2.10,0.436,0.506
1972,6608289.73,12203344.96,2.10,0.432,0.505
1973,6513136.15,12333986.11,2.10,0.428,0.504
1974,6628795.66,12638207.93,2.10,0.424,0.503
1975,6696947.36,12931951.34,2.10,0.42,0.502
1976,6958998.12,13670184.33,2.10,0.416,0.501
1977,7265119.50,14541320.80,2.10,0.412,0.50
1978,7699168.37,15553986.96,2.128,0.408,0.488
1979,8263005.78,16931829.68,2.157,0.404,0.477
1980,8800678.26,18290059.61,2.185,0.40,0.465
1981,8942618.19,18971311.70,2.213,0.396,0.453
1982,9059649.86,19526427.45,2.242,0.391,0.442
1983,9107785.87,19932482.04,2.27,0.387,0.43
1984,9118892.64,20373130.13,2.298,0.382,0.418
1985,9209508.89,20810841.08,2.327,0.378,0.407
1986,9542642.97,22098308.40,2.355,0.373,0.395
1987,9837252.76,23144986.57,2.383,0.369,0.383
1988,10433781.41,24850634.04,2.412,0.364,0.372
1989,11006995.57,26804810.10,2.44,0.36,0.36
