# source=ShinyApp/data/employment_1948_1989.csv | nipa_refs=6.10B | methodology=Shaikh-Tonak1994+Phase2_BLS | period=1948-1989 | note=Employment_decomposition_productive_unproductive
,T515,T516,T515_ratio,T516_ratio
1948,17331.95,15164.05,0.5334,0.4666
1949,18923.60,16674.40,0.5316,0.4684
1950,19851.89,17548.11,0.5308,0.4692
1951,21496.78,18976.22,0.5311,0.4689
1952,22084.52,19448.48,0.5317,0.4683
1953,22734.47,19880.53,0.5335,0.4665
1954,23093.60,20302.40,0.5322,0.4678
1955,23421.29,20476.71,0.5335,0.4665
1956,24032.93,21506.07,0.5277,0.4723
1957,25684.62,23339.38,0.5239,0.4761
1958,27486.32,24852.68,0.5252,0.4748
1959,29627.11,26232.89,0.5304,0.4696
1960,30542.16,28138.84,0.5205,0.4795
1961,32158.34,29075.66,0.5252,0.4748
1962,32403.43,29530.57,0.5232,0.4768
1963,32285.48,30386.52,0.5151,0.4849
1964,32609.14,30126.86,0.5198,0.4802
1965,32649.14,30361.86,0.5181,0.4819
1966,33912.18,31405.82,0.5192,0.4808
1967,35074.68,33397.32,0.5122,0.4878
1968,37122.71,35142.29,0.5137,0.4863
1969,38967.60,37564.40,0.5092,0.4908
1970,40011.57,38954.43,0.5067,0.4933
1971,42631.77,39357.23,0.5200,0.4800
1972,42101.76,41352.24,0.5045,0.4955
1973,41595.76,40322.24,0.5078,0.4922
1974,41612.34,40254.66,0.5083,0.4917
1975,41501.44,40399.56,0.5067,0.4933
1976,42185.95,41654.05,0.5032,0.4968
1977,44192.52,42710.48,0.5085,0.4915
1978,46722.95,44554.05,0.5119,0.4881
1979,47367.30,49074.70,0.4911,0.5089
1980,50889.81,50006.19,0.5044,0.4956
1981,51317.34,50933.66,0.5019,0.4981
1982,51896.76,50723.24,0.5057,0.4943
1983,50542.23,51541.77,0.4951,0.5049
1984,50175.85,50876.15,0.4965,0.5035
1985,50113.23,51125.77,0.4950,0.5050
1986,51222.00,52383.00,0.4944,0.5056
1987,53122.09,53788.91,0.4969,0.5031
1988,55069.04,57358.96,0.4898,0.5102
1989,58123.01,59696.00,0.4933,0.5067
